GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	62920	1718623	217	-0.0071
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	1719488	1732392	6	-0.2794
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	1737662	1741164	3	-1.2324
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	1756148	9267424	4436	-0.0051
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	9270420	9342344	54	0.5115
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	9344634	16855942	3983	0.0021
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	16863509	16934768	50	-0.6696
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	16935200	25256352	5263	0.0047
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	25256800	25351871	31	-0.3097
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	25351886	34626073	4946	0.0095
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	34637053	34648667	21	-0.607
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	34649941	58325495	14075	0.0036
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	58332371	58337815	8	-0.798
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	58340949	72303233	9668	-0.0009
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	72303253	72345450	44	-1.2457
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	72345465	105470754	20933	0.0035
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	105476583	105479753	17	0.694
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	105481433	109684893	2633	0.0018
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	109690352	109697556	13	1.2948
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	109702376	112147704	1950	0.0055
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	112153343	112154591	22	-1.5036
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	112154619	196745692	37262	0.0024
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	196745743	196832525	58	-0.5205
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	196832720	198337730	823	0.0034
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	198337802	198338649	2	-1.3719
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	198342229	240228440	29107	-0.0007
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	240230715	240230839	6	-1.676
5e998dbf-d9e9-45fd-81ff-549fbfa14286	1	240232805	248930189	5859	0.0057
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	12784	52527330	37116	0.0045
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	52527342	52554404	39	-0.5832
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	52560811	82499740	19485	0.0047
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	82499871	82499884	2	-1.3354
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	82503373	86897011	2469	0.0084
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	86901078	87644835	128	-0.182
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	87650116	89920951	668	-0.0187
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	89928014	90228220	123	-0.8562
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	90228237	91702815	13	-0.3491
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	91703526	97537802	940	-0.0224
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	97540809	97545247	3	1.1269
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	97545726	130036283	19850	0.0036
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	130036310	130116915	13	0.5918
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	130117303	207485467	46454	0.0019
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	207485523	207485538	2	-1.4496
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	207485595	234353102	17250	0.0012
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	234353509	234358324	3	-1.6088
5e998dbf-d9e9-45fd-81ff-549fbfa14286	2	234360118	242147305	4833	-0.0034
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	20930	182919	154	0.0799
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	188339	191117	4	-0.899
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	193194	6161309	5225	0.0362
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	6163206	59740125	34891	0.0018
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	59740869	61035665	1456	0.067
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	61035828	99047482	21813	0.0041
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	99048578	99218940	111	0.0697
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	99225614	99230264	30	-0.474
5e998dbf-d9e9-45fd-81ff-549fbfa14286	3	99230312	125724765	16234	0.0015
