GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	62920	259422	15	0.3791
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	259926	1696479	196	-0.0888
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	1696979	1732392	12	-1.5812
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	1737662	2916595	337	-0.0399
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	2916767	2917279	3	-1.9981
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	2924777	16920587	8143	-0.0169
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	16921178	16931149	14	0.8791
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	16931448	44136750	15590	-0.0159
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	44137359	45909024	884	0.3067
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	45910272	45950676	28	0.7744
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	45955220	46435874	209	0.3516
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	46436727	46439395	3	-1.4963
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	46440130	65406324	12742	0.3094
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	65408145	65459666	30	0.7999
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	65460164	67078551	1207	0.2945
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	67086738	68422976	978	0.4765
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	68423214	68910728	288	0.1287
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	68914258	70028533	629	0.4148
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	70031494	72280884	1367	0.1308
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	72280898	72297687	12	0.858
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	72302735	72345465	48	-1.3754
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	72346221	74786918	1489	0.1198
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	74787080	74787460	2	-2.2142
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	74788922	75585159	437	0.1533
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	75589078	75589169	2	2.0182
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	75593824	89009572	8997	0.1422
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	89012275	89012522	2	2.0171
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	89015841	90094154	652	0.1363
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	90094535	90097143	2	-1.6505
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	90098324	94661129	2801	0.1656
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	94661145	94665268	8	1.2436
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	94665962	94676177	18	-0.4209
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	94676200	103616762	5600	0.1455
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	103620877	103717617	6	-1.1676
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	103760781	110823480	4406	0.1585
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	110827750	110840371	35	0.6965
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	110840603	111750508	718	0.2004
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	111755048	111755205	2	-1.8626
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	111768064	112153465	370	0.1596
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	112153571	112163583	34	0.8755
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	112163591	121472255	5091	0.1566
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	121483000	143662805	115	0.4057
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	143664677	147355278	490	0.1504
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	147355900	147396281	20	0.7836
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	147397751	152787202	2069	0.1513
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	152789447	152796224	37	-2.0333
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	152801429	194479104	27982	0.1491
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	194482281	194485888	2	-2.8795
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	194487886	199138424	2883	0.1496
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	199138468	199143883	11	-1.0567
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	199144712	225486599	17970	0.1544
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	225487029	225496494	17	-0.6089
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	225503140	246638346	15043	0.1459
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	246638558	246666766	19	0.7622
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	246667186	248586259	1150	0.1604
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	248589915	248633912	29	0.8742
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	1	248645563	248930189	141	0.2859
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	2	12784	4168830	2981	-0.018
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	2	4168862	4176429	38	-0.7148
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	2	4182472	4605672	353	-0.0377
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	2	4606898	4608395	3	-2.0268
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	2	4610837	6259887	1439	-0.0316
8c0a72ca-8803-4ef7-b985-a2ee1255cc54	2	6261777	6266608	6	-1.3176
