GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	62920	72704	3	-0.9256
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	72776	16609512	8648	0.0098
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	16617118	16935752	104	0.2451
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	16949746	25256850	5261	0.0086
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	25266637	25320455	24	0.4342
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	25336819	63621773	22793	0.0032
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	63621862	63622576	2	-1.1863
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	63623100	72284670	5933	0.008
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	72290430	72297687	9	-1.0003
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	72302735	72345465	48	1.0741
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	72346221	72977100	413	-0.0151
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	72985507	72989897	4	1.4218
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	72994094	105476583	20536	0.0059
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	105476614	105479753	16	-0.5298
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	105481433	108186662	1936	0.0049
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	108187137	108192255	3	-0.9662
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	108194874	109028555	404	0.006
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	109031904	109032025	2	-1.3289
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	109061619	109690352	291	0.0038
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	109690415	109697556	12	-1.9229
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	109702376	112153343	1951	0.0068
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	112153465	112154768	24	-1.8507
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	112163334	121705338	5159	0.0021
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	143459641	143708096	75	-0.7374
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	143708149	143760271	42	-0.3443
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	143762042	143928045	9	-0.7659
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	143942271	152789570	2518	0.0344
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	152789781	152801429	33	0.4653
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	152804279	169247699	11283	0.0021
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	169264736	169272528	7	0.9585
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	169273163	196769493	18180	0.0052
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	196769506	196847600	57	-0.384
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	196854187	248574146	35633	0.0069
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	248585893	248645808	34	-0.8474
0568b1c7-e381-446d-8b49-14a284a2ebb7	1	248646068	248930189	138	-0.0132
0568b1c7-e381-446d-8b49-14a284a2ebb7	2	12784	24194475	17832	0.0067
0568b1c7-e381-446d-8b49-14a284a2ebb7	2	24199261	24201010	2	-1.3346
0568b1c7-e381-446d-8b49-14a284a2ebb7	2	24202751	34474248	6254	0.0052
