GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	62920	462894	19	0.4366
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	599171	1027305	57	0.2315
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	1027585	1068249	6	-0.8553
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	1081836	3409606	726	0.0647
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	3410232	3410239	2	-1.6272
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	3410905	7492401	2840	0.1434
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	7492530	7511749	15	-0.456
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	7511936	9529354	1148	0.1176
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	9536422	9536806	2	-1.7619
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	9542315	13012913	1704	0.1146
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	13110913	13119897	4	-1.9215
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	13270143	16679483	2151	0.1243
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	16685961	16972001	89	-0.3713
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	16973232	25273814	5255	0.1217
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	25273831	25346663	22	0.6987
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	25351593	37805906	6654	0.1292
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	37810130	38220238	209	0.3284
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	38221388	54762611	9246	0.1408
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	54763376	54764639	2	-1.7541
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	54768847	55022696	208	0.0692
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	55025942	55257768	148	0.1965
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	55258350	55258626	6	-0.7242
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	55263695	62857212	5764	0.1728
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	62859522	63008565	139	0.3666
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	63008602	101728382	25303	0.1848
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	101728683	105459540	2034	0.2365
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	105470132	105479753	19	1.0542
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	105481433	106114520	406	0.3057
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	106116276	108187137	1532	0.1946
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	108191613	108192255	2	-4.2259
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	108194874	109684893	695	0.1755
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	109690352	109697556	13	1.4878
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	109702376	110827773	826	0.1673
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	110827875	110841313	43	0.4518
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	110841332	114114624	2266	0.1702
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	114115298	121503002	3957	0.3573
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	121503523	143714499	136	0.5983
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	143714665	143754062	19	1.1394
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	143754077	143890323	9	0.5301
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	143893019	144442342	11	-0.0647
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	144445555	147927045	794	0.6049
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	147946265	148334778	38	0.5349
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	148335153	148335991	5	-0.3729
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	148336809	151526803	834	0.4955
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	151527879	152582700	639	0.7163
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	152583051	152614064	34	0.2671
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	152614100	152787202	169	0.6954
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	152789447	152789479	3	-0.7564
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	152789532	152795141	21	0.006
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	152795198	152796224	13	-0.5061
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	152801429	155687178	1555	0.6976
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	155691436	155693566	3	-3.1141
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	155697170	166944755	7963	0.7225
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	166944857	167039278	53	0.2394
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	167042267	167097964	53	0.7448
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	167098825	168005378	673	0.2969
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	168007127	169247699	986	0.715
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	169264736	169272528	7	-2.1801
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	169273163	174560261	3390	0.719
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	174562714	174590044	25	0.2188
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	174602571	174624074	7	1.0091
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	174625846	174828177	105	0.234
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	174828195	174834635	25	0.0051
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	174835841	175588486	534	0.3235
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	175588544	179724343	2756	0.7309
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	179727651	179832433	88	0.3625
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	179833243	179876472	33	0.8263
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	179881408	183019473	2142	0.2908
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	183022282	183022729	2	-1.8616
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	183024980	189801575	4436	0.3187
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	189805515	189806842	10	-0.6539
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	189807087	191000822	834	0.3408
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	191001526	192792198	1097	0.1606
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	192794459	192795031	4	-1.1797
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	192798787	196843377	2754	0.1516
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	196843400	196847600	3	-1.2569
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	196854187	199105352	1330	0.136
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	199105436	199108697	4	0.9173
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	199109969	199120294	13	0.2566
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	199120933	199124222	5	0.8719
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	199124748	199897475	526	0.1212
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	199899310	199939093	23	0.4486
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	199940174	200207892	233	0.1299
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	200208067	213684970	9122	0.0994
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	213686870	220152669	4695	0.1278
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	220153384	221456620	858	0.2984
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	221457125	232126268	6806	0.0993
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	232127401	237158988	3857	0.1599
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	237161500	246035757	6606	0.2068
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	246036401	246779555	492	0.308
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	246779839	248546369	1067	0.2272
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	248550567	248633821	34	-0.5679
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	1	248633912	248930189	141	0.2197
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	12784	4158097	2987	0.3099
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	4166274	4175577	36	-0.3452
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	4175922	7089698	2520	0.3412
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	7093393	7094345	10	-0.7238
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	7096019	23828459	12123	0.3347
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	23831550	28785926	2470	0.2912
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	28791043	34423631	3929	0.3323
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	34424117	34511990	62	0.7029
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	34512096	38150449	2790	0.3669
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	38151968	38283580	128	0.5547
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	38284194	41046568	1936	0.3307
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	41047413	41332629	212	0.4769
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	41333586	50617691	6623	0.3259
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	50620962	52527743	1319	0.3802
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	52531615	52554404	33	1.1122
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	52560811	54329413	1337	0.3423
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	54330344	54330439	2	-1.438
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	54340453	55681804	989	0.3052
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	55687655	55714305	14	1.451
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	55716278	71115246	9918	0.3224
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	71115321	71122913	9	-0.5554
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	71122944	89284150	10507	0.3235
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	89296555	90230139	131	-0.5942
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	90235899	94953808	157	0.3214
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	94954333	97674132	837	0.4352
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	97676494	100670601	1766	0.3176
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	100672437	106258266	3758	0.1306
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	106263639	106268901	12	-2.0314
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	106270799	107824280	992	0.159
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	107830513	107864451	2	-1.2379
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	107875632	111741134	1749	0.1288
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	111742015	111759305	7	0.8501
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	111762497	114103804	1320	0.1449
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	114105161	116017393	1200	0.1975
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	116017591	127085066	7086	0.1287
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	127085617	127101070	9	-0.7992
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	127103254	129786973	1765	0.1002
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	129787992	129794612	7	-0.8827
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	129798082	137657550	4480	0.1191
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	137658333	138312265	402	0.2433
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	138314552	146107526	4806	0.134
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	146107615	146109341	16	1.2886
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	146109366	148257979	1098	0.1383
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	148258135	148258317	2	-2.417
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	148263941	156057454	4946	0.1287
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	156058173	179196928	14225	0.0938
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	179202465	179214417	3	-2.3603
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	179218864	179553484	219	0.1216
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	179553606	179556785	22	0.533
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	179557019	183220725	2326	0.1046
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	183221060	183224417	8	-1.1817
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	183224996	184379336	779	0.1447
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	184392326	184397509	10	-0.6204
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	184399818	188320404	2110	0.1318
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	188321039	191005649	1525	0.3696
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	191005898	192359859	906	0.1058
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	192360621	195550998	1659	0.173
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	195552932	197300397	1040	0.0933
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	197302101	197311458	3	-0.9185
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	197312042	199810870	1432	0.1104
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	199811558	202350325	1443	-0.1795
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	202351108	202860066	247	0.1226
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	202866349	224664014	14112	0.3779
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	224665865	226236695	1028	0.1054
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	226239001	228892105	1709	0.4047
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	228892153	228895503	17	-0.2118
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	2	228900174	242147305	8191	0.3825
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	20930	336165	302	-0.1648
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	336336	2716704	2044	-0.0817
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	2717422	5383300	2377	-0.1908
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	5386304	5408784	30	-2.9157
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	5409915	10234242	3921	-0.173
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	10234479	10234991	2	-2.7122
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	10237296	18338342	5480	-0.2215
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	18339753	30302327	8461	-0.1611
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	30303498	30951310	517	-0.2071
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	30954097	30957257	6	-1.5713
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	30962871	40452783	6102	-0.1974
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	40457782	40457892	2	-2.3566
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	40458376	54596240	7562	-0.2235
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	54596678	54596802	3	-2.2962
73d9c63c-d9e5-4ff2-a4c1-2ab0b350cbc5	3	54597875	59810199	3546	-0.1998
