GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	13116	13818199	4	2	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	13819419	14192258	2	2	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	14194378	76425709	4	2	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	76430088	101445031	8	6	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	101447274	121742438	6	3	3
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	143417573	143461702	9	9	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	143497185	143525746	6	3	3
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	143528356	143534459	11	11	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	143535674	143722125	13	13	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr1	143723338	248945703	5	3	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr2	10587	242183243	6	3	3
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	18519	74985588	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	74987365	75850926	12	6	6
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	75852150	76451506	19	15	4
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	76452518	76681323	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	76682480	78516496	12	6	6
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	78517718	81501164	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	81502473	81543860	13	7	6
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	81545430	84310217	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	84312040	90455495	12	6	6
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	93786619	93854032	8	4	4
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	93857968	93860573	11	11	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	93862130	94114644	7	4	3
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	94119717	162786879	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	162789498	162907431	0	0	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	162908555	168589822	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	168591011	184048913	8	4	4
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	184050091	184110630	7	6	1
8fdc6653-8ff5-432f-a33a-63811422f376	chr3	184111945	198181744	4	4	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	11961	39328676	5	3	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	39331813	49313404	7	5	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	49314417	49629342	3	3	0
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	49630647	55153429	4	2	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	55154772	55181169	5	4	1
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	55182540	56424827	8	6	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	56426060	56480608	5	4	1
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	56482511	189973091	4	2	2
8fdc6653-8ff5-432f-a33a-63811422f376	chr4	189974204	190100106	1	1	0
