GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	62920	1575421	210	0.0956
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	1696479	1756148	17	-0.9954
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	1756211	25256800	13777	0.0796
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	25256850	25336819	26	0.6373
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	25336853	72284670	28707	0.0765
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	72290430	72297687	9	-1.1408
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	72302735	72345450	46	1.6293
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	72345465	78880386	4101	0.074
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	78882821	79024676	75	0.2723
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	79031234	90078859	7395	0.0737
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	90085141	90094125	8	-1.0593
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	90094154	95253385	3280	0.0795
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	95253651	95548177	220	0.2106
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	95557856	100628749	3092	0.0727
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	100629053	103621165	1836	-0.0544
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	103697067	103717617	4	-1.351
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	103760781	105420836	887	-0.0506
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	105421313	105476614	33	0.0977
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	105476688	105479753	15	0.7559
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	105481433	106717927	811	0.084
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	106721266	107358423	452	-0.0445
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	107360959	109690640	1373	0.0831
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	109690705	109697556	9	-0.8268
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	109702376	112147704	1944	0.0873
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	112153343	112163518	32	0.4953
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	112163527	114178536	1214	0.0829
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	114179339	116071909	1300	-0.0225
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	116072176	117734630	1088	0.0882
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	117734677	143748012	1643	0.1365
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	143748074	143754062	15	0.9744
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	143754077	152583230	2325	0.2083
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	152583291	152614064	32	-2.1906
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	152614100	152789447	169	0.228
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	152789463	152796224	36	-0.249
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	152801429	159677866	4121	0.1788
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	159677881	159787363	78	0.4602
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	159787383	161509648	1050	0.1714
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	161532067	161647612	7	-0.8013
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	161647641	169247699	6013	0.1881
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	169264736	169272528	7	1.2419
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	169273163	176251121	4496	0.18
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	176263861	176307251	23	0.7195
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	176316411	193186662	11245	0.1701
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	193187149	193187218	4	-1.5244
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	193190593	194479104	940	0.1838
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	194482281	194485888	2	1.5948
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	194487886	196745692	1450	0.1739
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	196745743	196832525	58	-0.7689
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	196832720	226717486	20103	0.1589
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	226720699	248400525	15462	0.0543
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	248400632	248773369	125	0.2431
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	1	248773570	248930189	92	0.0372
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	12784	60225	28	0.6403
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	70126	4155990	2956	-0.0452
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	4158097	4176429	43	-0.5352
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	4182472	17503091	10153	-0.0386
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	17510402	34466002	10890	0.1024
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	34474248	34511990	46	-1.9904
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	34512096	52527330	12994	0.1117
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	52527342	52554404	39	0.5708
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	52560811	57223101	3419	0.1212
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	57223479	57228337	2	-1.8547
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	57233909	65698881	4982	0.1008
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	65698981	75333935	6173	-0.0229
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	75334332	87286164	7454	-0.0654
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	87287256	87299357	4	-1.1368
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	87299505	87462096	20	-0.249
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	87463778	87465499	2	-1.9933
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	87466706	88847124	537	-0.1024
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	88847392	89201750	146	-0.361
3bd2198f-33b1-40ea-aa9e-c25ff8f11b3a	2	89218971	94696525	221	-0.0934
