GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bee7099d-6443-47c1-8043-16f39774c0fe	1	62920	599171	20	-0.5776
bee7099d-6443-47c1-8043-16f39774c0fe	1	668210	46568238	25484	-0.0163
bee7099d-6443-47c1-8043-16f39774c0fe	1	46569256	56524727	5940	-0.0614
bee7099d-6443-47c1-8043-16f39774c0fe	1	56525368	56530519	3	-2.4056
bee7099d-6443-47c1-8043-16f39774c0fe	1	56530675	72303233	11192	-0.0786
bee7099d-6443-47c1-8043-16f39774c0fe	1	72303253	72345465	45	-1.5539
bee7099d-6443-47c1-8043-16f39774c0fe	1	72346221	98718230	16854	-0.0852
bee7099d-6443-47c1-8043-16f39774c0fe	1	98730725	98731187	2	-2.5398
bee7099d-6443-47c1-8043-16f39774c0fe	1	98731676	102219474	2371	-0.1014
bee7099d-6443-47c1-8043-16f39774c0fe	1	102220070	102363451	100	0.1976
bee7099d-6443-47c1-8043-16f39774c0fe	1	102363466	103616762	640	-0.0954
bee7099d-6443-47c1-8043-16f39774c0fe	1	103620877	103717410	5	2.1901
bee7099d-6443-47c1-8043-16f39774c0fe	1	103717617	109684893	3568	-0.0717
bee7099d-6443-47c1-8043-16f39774c0fe	1	109690352	109697556	13	-2.0063
bee7099d-6443-47c1-8043-16f39774c0fe	1	109702376	120141112	7013	-0.0708
bee7099d-6443-47c1-8043-16f39774c0fe	1	120144437	121170716	21	0.4964
bee7099d-6443-47c1-8043-16f39774c0fe	1	121201569	121601998	82	0.0376
bee7099d-6443-47c1-8043-16f39774c0fe	1	121705338	143709115	79	-0.6892
bee7099d-6443-47c1-8043-16f39774c0fe	1	143709361	146150530	228	-0.0228
bee7099d-6443-47c1-8043-16f39774c0fe	1	146161924	148001943	621	0.7236
bee7099d-6443-47c1-8043-16f39774c0fe	1	148006214	149370761	79	-0.1817
bee7099d-6443-47c1-8043-16f39774c0fe	1	149761178	152583051	1432	0.6583
bee7099d-6443-47c1-8043-16f39774c0fe	1	152583230	152614118	35	-1.9619
bee7099d-6443-47c1-8043-16f39774c0fe	1	152618018	152778030	154	0.6043
bee7099d-6443-47c1-8043-16f39774c0fe	1	152778194	152795783	45	1.0995
bee7099d-6443-47c1-8043-16f39774c0fe	1	152795805	157174685	2276	0.7087
bee7099d-6443-47c1-8043-16f39774c0fe	1	157175435	185564330	19829	0.6228
bee7099d-6443-47c1-8043-16f39774c0fe	1	185564436	187952782	1521	-0.1016
bee7099d-6443-47c1-8043-16f39774c0fe	1	187953745	189117856	726	0.5846
bee7099d-6443-47c1-8043-16f39774c0fe	1	189117869	189120301	3	-0.9111
bee7099d-6443-47c1-8043-16f39774c0fe	1	189120409	194611588	3718	0.605
bee7099d-6443-47c1-8043-16f39774c0fe	1	194616758	196719029	1363	-0.0827
bee7099d-6443-47c1-8043-16f39774c0fe	1	196720486	196973325	165	0.1537
bee7099d-6443-47c1-8043-16f39774c0fe	1	196974508	199575899	1604	-0.103
bee7099d-6443-47c1-8043-16f39774c0fe	1	199576577	203534759	2637	0.6656
bee7099d-6443-47c1-8043-16f39774c0fe	1	203540920	207014061	2201	1.0999
bee7099d-6443-47c1-8043-16f39774c0fe	1	207016229	207635145	383	0.9516
bee7099d-6443-47c1-8043-16f39774c0fe	1	207635761	223043718	10940	0.6178
bee7099d-6443-47c1-8043-16f39774c0fe	1	223116005	246801485	16693	-0.072
bee7099d-6443-47c1-8043-16f39774c0fe	1	246805305	246815289	13	0.8807
bee7099d-6443-47c1-8043-16f39774c0fe	1	246820865	248572774	1030	-0.0079
bee7099d-6443-47c1-8043-16f39774c0fe	1	248574146	248646068	36	-0.6575
bee7099d-6443-47c1-8043-16f39774c0fe	1	248661836	248930189	137	-0.0013
bee7099d-6443-47c1-8043-16f39774c0fe	2	12784	34492841	24040	-0.0698
bee7099d-6443-47c1-8043-16f39774c0fe	2	34492907	34512096	18	0.7481
bee7099d-6443-47c1-8043-16f39774c0fe	2	34512489	52514599	12966	-0.0694
bee7099d-6443-47c1-8043-16f39774c0fe	2	52516787	52584592	62	0.366
bee7099d-6443-47c1-8043-16f39774c0fe	2	52585049	71688527	12577	-0.0755
bee7099d-6443-47c1-8043-16f39774c0fe	2	71693059	71803473	65	0.3761
bee7099d-6443-47c1-8043-16f39774c0fe	2	71803630	143138931	38765	-0.0653
bee7099d-6443-47c1-8043-16f39774c0fe	2	143139428	143143546	2	-2.8571
bee7099d-6443-47c1-8043-16f39774c0fe	2	143144212	146104517	1691	-0.1048
bee7099d-6443-47c1-8043-16f39774c0fe	2	146106836	146109366	24	-1.9502
bee7099d-6443-47c1-8043-16f39774c0fe	2	146120238	212323288	39966	-0.0846
bee7099d-6443-47c1-8043-16f39774c0fe	2	212324573	212492205	137	-0.7796
bee7099d-6443-47c1-8043-16f39774c0fe	2	212492382	242147305	18832	-0.065
bee7099d-6443-47c1-8043-16f39774c0fe	3	20930	1092326	878	-0.0595
bee7099d-6443-47c1-8043-16f39774c0fe	3	1092661	1092761	2	-2.7066
bee7099d-6443-47c1-8043-16f39774c0fe	3	1096461	12408184	9327	-0.069
bee7099d-6443-47c1-8043-16f39774c0fe	3	12408294	12408855	2	-2.6296
bee7099d-6443-47c1-8043-16f39774c0fe	3	12409838	26571710	9756	-0.081
bee7099d-6443-47c1-8043-16f39774c0fe	3	26573483	26573486	3	-2.2002
bee7099d-6443-47c1-8043-16f39774c0fe	3	26574458	37935926	7593	-0.0745
bee7099d-6443-47c1-8043-16f39774c0fe	3	37940617	37945437	18	-0.8742
bee7099d-6443-47c1-8043-16f39774c0fe	3	37945615	46293270	5233	-0.0791
bee7099d-6443-47c1-8043-16f39774c0fe	3	46295865	46750055	293	-0.0332
bee7099d-6443-47c1-8043-16f39774c0fe	3	46751887	46817989	42	0.3534
bee7099d-6443-47c1-8043-16f39774c0fe	3	46818342	50208655	1296	0.0015
bee7099d-6443-47c1-8043-16f39774c0fe	3	50208687	68697013	13227	-0.0752
bee7099d-6443-47c1-8043-16f39774c0fe	3	68697108	68698262	14	-1.5278
bee7099d-6443-47c1-8043-16f39774c0fe	3	68699607	162794869	54838	-0.0854
bee7099d-6443-47c1-8043-16f39774c0fe	3	162794951	162908207	69	-1.7753
bee7099d-6443-47c1-8043-16f39774c0fe	3	162908784	175228122	7508	-0.0812
bee7099d-6443-47c1-8043-16f39774c0fe	3	175228137	175228581	4	1.5118
bee7099d-6443-47c1-8043-16f39774c0fe	3	175228665	193160173	11616	-0.0812
bee7099d-6443-47c1-8043-16f39774c0fe	3	193160256	193165114	18	-1.2753
bee7099d-6443-47c1-8043-16f39774c0fe	3	193168646	195656271	1482	-0.0676
bee7099d-6443-47c1-8043-16f39774c0fe	3	195663809	195728637	25	1.0279
bee7099d-6443-47c1-8043-16f39774c0fe	3	195728990	198169247	1178	-0.0125
bee7099d-6443-47c1-8043-16f39774c0fe	4	68929	10208489	5669	-0.0505
bee7099d-6443-47c1-8043-16f39774c0fe	4	10208518	10233542	38	0.6555
bee7099d-6443-47c1-8043-16f39774c0fe	4	10233558	68455239	36390	-0.0816
bee7099d-6443-47c1-8043-16f39774c0fe	4	68461345	68620122	72	0.5028
