GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
71965e17-e0cc-4e86-bc61-edd79090148f	1	62920	2961213	588	-0.08
71965e17-e0cc-4e86-bc61-edd79090148f	1	2961801	3303596	154	-0.235
71965e17-e0cc-4e86-bc61-edd79090148f	1	3304487	15822793	7595	-0.0682
71965e17-e0cc-4e86-bc61-edd79090148f	1	15822848	15827430	8	0.6488
71965e17-e0cc-4e86-bc61-edd79090148f	1	15827706	25256800	5671	-0.0639
71965e17-e0cc-4e86-bc61-edd79090148f	1	25256850	25320455	25	0.5499
71965e17-e0cc-4e86-bc61-edd79090148f	1	25336819	41336920	8584	-0.0666
71965e17-e0cc-4e86-bc61-edd79090148f	1	41337148	41599764	186	-0.0221
71965e17-e0cc-4e86-bc61-edd79090148f	1	41601054	44547743	1802	0.0915
71965e17-e0cc-4e86-bc61-edd79090148f	1	44547821	61647430	10870	-0.0074
71965e17-e0cc-4e86-bc61-edd79090148f	1	61648334	61649279	2	-2.0919
71965e17-e0cc-4e86-bc61-edd79090148f	1	61652515	72302815	7293	-0.0063
71965e17-e0cc-4e86-bc61-edd79090148f	1	72303233	72345465	45	-0.6143
71965e17-e0cc-4e86-bc61-edd79090148f	1	72346221	84030131	7547	-0.0083
71965e17-e0cc-4e86-bc61-edd79090148f	1	84033129	84839978	575	1.0624
71965e17-e0cc-4e86-bc61-edd79090148f	1	84844402	84994940	125	0.1442
71965e17-e0cc-4e86-bc61-edd79090148f	1	84998055	85261535	165	1.739
71965e17-e0cc-4e86-bc61-edd79090148f	1	85261545	85412453	96	1.2103
71965e17-e0cc-4e86-bc61-edd79090148f	1	85425774	97212525	7579	-0.1723
71965e17-e0cc-4e86-bc61-edd79090148f	1	97218772	97230881	8	-1.2741
71965e17-e0cc-4e86-bc61-edd79090148f	1	97231155	105476688	4852	-0.1747
71965e17-e0cc-4e86-bc61-edd79090148f	1	105476748	105479753	14	0.6188
71965e17-e0cc-4e86-bc61-edd79090148f	1	105481433	108187137	1939	-0.1651
71965e17-e0cc-4e86-bc61-edd79090148f	1	108191613	108194874	3	-1.3097
71965e17-e0cc-4e86-bc61-edd79090148f	1	108196482	121705338	7837	-0.1662
71965e17-e0cc-4e86-bc61-edd79090148f	1	143459641	143657738	60	1.1316
71965e17-e0cc-4e86-bc61-edd79090148f	1	143662805	149370761	947	-0.0287
71965e17-e0cc-4e86-bc61-edd79090148f	1	149761178	151305485	637	1.023
71965e17-e0cc-4e86-bc61-edd79090148f	1	151308519	151486314	132	0.6728
71965e17-e0cc-4e86-bc61-edd79090148f	1	151487113	152067235	343	0.3493
71965e17-e0cc-4e86-bc61-edd79090148f	1	152067254	152633646	390	0.4622
71965e17-e0cc-4e86-bc61-edd79090148f	1	152637475	152787202	131	0.0869
71965e17-e0cc-4e86-bc61-edd79090148f	1	152789447	152796224	37	0.519
71965e17-e0cc-4e86-bc61-edd79090148f	1	152801429	153782053	655	0.1111
71965e17-e0cc-4e86-bc61-edd79090148f	1	153787628	154119580	133	0.2857
71965e17-e0cc-4e86-bc61-edd79090148f	1	154119750	156226977	992	0.3426
71965e17-e0cc-4e86-bc61-edd79090148f	1	156228642	156874278	306	0.244
