GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
98f4de43-99fc-429d-8cfb-e9149c224e12	1	62920	259407	14	-0.9597
98f4de43-99fc-429d-8cfb-e9149c224e12	1	259422	805477	13	-0.3058
98f4de43-99fc-429d-8cfb-e9149c224e12	1	806913	3286332	704	0.1411
98f4de43-99fc-429d-8cfb-e9149c224e12	1	3291811	16886219	7947	0.0127
98f4de43-99fc-429d-8cfb-e9149c224e12	1	16888327	16935393	46	0.5189
98f4de43-99fc-429d-8cfb-e9149c224e12	1	16935737	25256850	5249	0.012
98f4de43-99fc-429d-8cfb-e9149c224e12	1	25266637	25320455	24	-1.8634
98f4de43-99fc-429d-8cfb-e9149c224e12	1	25336819	38666759	7142	0.0151
98f4de43-99fc-429d-8cfb-e9149c224e12	1	38666760	38666761	2	2.2634
98f4de43-99fc-429d-8cfb-e9149c224e12	1	38669516	72284670	21462	-0.0003
98f4de43-99fc-429d-8cfb-e9149c224e12	1	72290430	72297687	9	-1.1312
98f4de43-99fc-429d-8cfb-e9149c224e12	1	72302735	72345465	48	0.9433
98f4de43-99fc-429d-8cfb-e9149c224e12	1	72346221	109684893	23478	-0.0069
98f4de43-99fc-429d-8cfb-e9149c224e12	1	109690352	109697556	12	1.3552
98f4de43-99fc-429d-8cfb-e9149c224e12	1	109702376	190856406	35175	0.0004
98f4de43-99fc-429d-8cfb-e9149c224e12	1	190856514	190863841	5	-1.2817
98f4de43-99fc-429d-8cfb-e9149c224e12	1	190867375	196843377	3936	-0.0141
98f4de43-99fc-429d-8cfb-e9149c224e12	1	196843400	196846661	2	-3.2277
98f4de43-99fc-429d-8cfb-e9149c224e12	1	196847600	247680410	34963	-0.0028
98f4de43-99fc-429d-8cfb-e9149c224e12	1	247686560	247701609	7	-1.1344
98f4de43-99fc-429d-8cfb-e9149c224e12	1	247704090	248930189	681	-0.0688
98f4de43-99fc-429d-8cfb-e9149c224e12	2	12784	242147305	148848	-0.0009
98f4de43-99fc-429d-8cfb-e9149c224e12	3	20930	1790373	1574	-0.1266
98f4de43-99fc-429d-8cfb-e9149c224e12	3	1791923	6003564	3677	-0.0317
98f4de43-99fc-429d-8cfb-e9149c224e12	3	6004802	6019852	5	-1.7566
98f4de43-99fc-429d-8cfb-e9149c224e12	3	6025254	21710974	10946	0.0009
98f4de43-99fc-429d-8cfb-e9149c224e12	3	21711474	22285125	556	-0.1174
98f4de43-99fc-429d-8cfb-e9149c224e12	3	22286251	26035222	2834	-0.001
98f4de43-99fc-429d-8cfb-e9149c224e12	3	26035897	26384700	220	-0.1606
98f4de43-99fc-429d-8cfb-e9149c224e12	3	26392633	39653102	8866	-0.002
98f4de43-99fc-429d-8cfb-e9149c224e12	3	39662697	39709264	25	0.4953
98f4de43-99fc-429d-8cfb-e9149c224e12	3	39721253	46750055	4336	0.0005
98f4de43-99fc-429d-8cfb-e9149c224e12	3	46751887	46807689	40	-0.8874
98f4de43-99fc-429d-8cfb-e9149c224e12	3	46808099	59943125	7285	-0.002
98f4de43-99fc-429d-8cfb-e9149c224e12	3	59944131	61009928	1198	-0.0815
98f4de43-99fc-429d-8cfb-e9149c224e12	3	61010124	84650033	15900	-0.0039
98f4de43-99fc-429d-8cfb-e9149c224e12	3	84650533	84653312	18	-0.8899
98f4de43-99fc-429d-8cfb-e9149c224e12	3	84653449	95737262	4115	-0.0198
98f4de43-99fc-429d-8cfb-e9149c224e12	3	95748036	95749266	2	-3.4309
98f4de43-99fc-429d-8cfb-e9149c224e12	3	95749836	99218940	1834	-0.0132
98f4de43-99fc-429d-8cfb-e9149c224e12	3	99225614	99230212	27	-2.9972
98f4de43-99fc-429d-8cfb-e9149c224e12	3	99230225	99230470	10	-1.1825
98f4de43-99fc-429d-8cfb-e9149c224e12	3	99230577	162795361	38859	-0.0079
98f4de43-99fc-429d-8cfb-e9149c224e12	3	162795671	162910826	69	-1.7255
98f4de43-99fc-429d-8cfb-e9149c224e12	3	162910855	162996729	69	-0.0763
98f4de43-99fc-429d-8cfb-e9149c224e12	3	162999939	163001774	2	-3.1548
98f4de43-99fc-429d-8cfb-e9149c224e12	3	163008371	173444687	6191	-0.011
98f4de43-99fc-429d-8cfb-e9149c224e12	3	173445369	173919621	332	-0.1534
98f4de43-99fc-429d-8cfb-e9149c224e12	3	173920106	192878608	12273	-0.0006
98f4de43-99fc-429d-8cfb-e9149c224e12	3	192884824	192884962	5	1.1823
98f4de43-99fc-429d-8cfb-e9149c224e12	3	192884985	193160113	203	-0.0246
98f4de43-99fc-429d-8cfb-e9149c224e12	3	193160173	193165114	19	-1.6891
98f4de43-99fc-429d-8cfb-e9149c224e12	3	193168646	198169247	2686	0.0016
98f4de43-99fc-429d-8cfb-e9149c224e12	4	68929	9462813	5137	0.0123
98f4de43-99fc-429d-8cfb-e9149c224e12	4	9463248	9477699	4	2.1562
98f4de43-99fc-429d-8cfb-e9149c224e12	4	9484440	10208766	535	0.0278
98f4de43-99fc-429d-8cfb-e9149c224e12	4	10221792	10229874	24	2.668
98f4de43-99fc-429d-8cfb-e9149c224e12	4	10232590	10389091	177	0.0068
98f4de43-99fc-429d-8cfb-e9149c224e12	4	10390730	10399044	16	-0.81
98f4de43-99fc-429d-8cfb-e9149c224e12	4	10401094	16352597	4640	-0.0068
98f4de43-99fc-429d-8cfb-e9149c224e12	4	16352788	16355211	2	-2.1728
98f4de43-99fc-429d-8cfb-e9149c224e12	4	16355359	34764075	12071	-0.0068
98f4de43-99fc-429d-8cfb-e9149c224e12	4	34764149	34822561	47	-0.4212
98f4de43-99fc-429d-8cfb-e9149c224e12	4	34823103	49214614	8929	-0.0137
98f4de43-99fc-429d-8cfb-e9149c224e12	4	49289175	49289338	2	-2.2755
98f4de43-99fc-429d-8cfb-e9149c224e12	4	49295203	63832015	7547	-0.0066
98f4de43-99fc-429d-8cfb-e9149c224e12	4	63832110	63857475	29	-0.6849
98f4de43-99fc-429d-8cfb-e9149c224e12	4	63859786	68506285	2855	-0.008
98f4de43-99fc-429d-8cfb-e9149c224e12	4	68509223	68620261	65	-1.8825
98f4de43-99fc-429d-8cfb-e9149c224e12	4	68623617	69010719	178	-0.0987
98f4de43-99fc-429d-8cfb-e9149c224e12	4	69011295	69011878	2	-2.1607
98f4de43-99fc-429d-8cfb-e9149c224e12	4	69012320	103816743	21092	-0.0079
98f4de43-99fc-429d-8cfb-e9149c224e12	4	103816811	103839885	37	-1.0476
98f4de43-99fc-429d-8cfb-e9149c224e12	4	103839930	114258287	6264	-0.0021
98f4de43-99fc-429d-8cfb-e9149c224e12	4	114258300	114261019	10	-1.047
98f4de43-99fc-429d-8cfb-e9149c224e12	4	114263073	131012610	9897	-0.0121
98f4de43-99fc-429d-8cfb-e9149c224e12	4	131013913	131407836	193	-0.2161
98f4de43-99fc-429d-8cfb-e9149c224e12	4	131409222	156046936	14690	-0.0081
98f4de43-99fc-429d-8cfb-e9149c224e12	4	156047028	156047146	3	-1.5656
98f4de43-99fc-429d-8cfb-e9149c224e12	4	156047321	158955878	1743	-0.005
98f4de43-99fc-429d-8cfb-e9149c224e12	4	158956195	158956216	2	-2.3422
98f4de43-99fc-429d-8cfb-e9149c224e12	4	158956221	160149103	720	0.0015
98f4de43-99fc-429d-8cfb-e9149c224e12	4	160149115	160149426	3	1.4401
98f4de43-99fc-429d-8cfb-e9149c224e12	4	160149572	160958989	597	0.0083
98f4de43-99fc-429d-8cfb-e9149c224e12	4	160959045	160960185	11	-1.2821
98f4de43-99fc-429d-8cfb-e9149c224e12	4	160963111	171448195	6640	-0.0127
98f4de43-99fc-429d-8cfb-e9149c224e12	4	171453733	171456293	8	-1.2221
98f4de43-99fc-429d-8cfb-e9149c224e12	4	171456307	188300104	11300	-0.0013
98f4de43-99fc-429d-8cfb-e9149c224e12	4	188300206	188300221	2	-2.5914
98f4de43-99fc-429d-8cfb-e9149c224e12	4	188300270	190106768	1141	-0.0405
98f4de43-99fc-429d-8cfb-e9149c224e12	5	15532	1927179	938	0.0977
