GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	62920	462894	19	0.2946
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	599171	15823420	8321	-0.224
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	15827002	15827430	6	-1.7016
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	15827706	19057752	1949	-0.232
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	19064614	19064638	2	-1.8224
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	19064683	25129034	3625	-0.2281
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	25129044	25129401	2	1.2461
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	25129421	25256850	84	-0.2426
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	25266637	25320455	24	-1.6829
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	25336819	40555364	8145	-0.2095
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	40556404	40562538	4	-1.4354
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	40563254	60517529	12385	-0.209
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	60517613	60517948	2	-1.8202
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	60518110	72280898	8113	-0.216
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	72284165	72297687	11	-1.0073
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	72302735	103613180	19992	-0.2094
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	103614539	103717410	11	-1.0827
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	103717617	105470754	915	-0.2002
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	105476583	105479231	13	0.4545
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	105479468	109642611	2619	-0.2051
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	109644606	109658958	4	-1.6367
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	109663353	111769532	1604	-0.2086
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	111769589	111769929	3	0.9214
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	111770456	121601998	5539	-0.2204
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	121705338	152583291	2439	0.5895
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	152583319	152613762	29	2.9701
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	152613802	152614118	4	1.3459
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	152618018	152790502	183	0.5636
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	152790514	152796224	20	0.9647
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	152801429	161508746	5240	0.5832
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	161508961	161680704	23	0.206
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	161680831	184960470	16392	0.5962
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	184964018	189679027	2988	0.645
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	189679353	189679397	2	-0.8683
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	189682917	194479104	3268	0.6412
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	194482281	194485888	2	-1.4231
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	194487886	196741937	1445	0.6495
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	196742057	196854187	66	0.9353
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	196854483	198338649	815	0.6344
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	198342229	199142235	552	0.6179
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	199142298	199143396	6	-0.7871
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	199143883	209897717	7385	0.5979
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	209908268	209908720	2	-1.896
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	209910639	222193326	8581	0.6215
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	222201492	222203662	2	-2.727
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	222208792	248546369	18192	0.6149
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	248550567	248620513	26	1.0016
6bea41ca-ad71-46cf-98b9-33a2ff29b335	1	248622945	248930189	150	0.6406
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	12784	3674231	2560	0.0579
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	3674896	3685683	9	-0.7133
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	3688948	9037075	4464	0.0743
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	9045183	9045247	2	-3.1769
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	9048359	41011095	21832	0.0715
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	41011303	41018747	22	-0.5154
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	41024093	52527590	8162	0.0732
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	52527727	52554404	35	-1.8139
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	52560811	86901078	21932	0.0765
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	86902080	86910262	2	-1.5365
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	86934730	106263639	7430	0.0745
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	106264257	106268901	11	-1.7475
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	106270799	141112462	20720	0.0785
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	141114936	141377824	168	-0.2628
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	141380493	146104517	2870	0.0899
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	146106836	146109366	24	1.2187
6bea41ca-ad71-46cf-98b9-33a2ff29b335	2	146120238	242147305	58912	0.0763
6bea41ca-ad71-46cf-98b9-33a2ff29b335	3	20930	68682877	47653	-0.1901
6bea41ca-ad71-46cf-98b9-33a2ff29b335	3	68697013	68698262	15	0.8683
6bea41ca-ad71-46cf-98b9-33a2ff29b335	3	68699607	71903939	2390	-0.1998
6bea41ca-ad71-46cf-98b9-33a2ff29b335	3	71906789	71907291	2	1.0954
6bea41ca-ad71-46cf-98b9-33a2ff29b335	3	71907657	75372019	2458	-0.1841
