GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	62920	98602	13	0.6524
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	259407	25256850	13996	-0.004
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	25266637	25351593	28	0.6243
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	25351871	72303233	28718	0.0001
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	72303253	72343689	39	0.4576
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	72343748	112112308	25523	-0.0008
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	112112973	112115902	5	-1.0566
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	112116168	112147704	26	0.0244
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	112153343	112154619	23	-0.4721
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	112154754	152583051	7594	0.0119
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	152583230	152614100	34	-0.9275
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	152614118	152787202	168	-0.0457
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	152789447	152796224	37	0.635
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	152801429	169247699	11266	0.0083
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	169264736	169272528	7	-4.0621
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	169273163	196740630	18163	0.0078
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	196741937	196846661	65	-0.5566
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	196847600	199863445	1842	0.0107
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	199863750	199868396	2	-1.6096
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	199868751	248525264	33782	0.0082
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	248525284	248633912	39	-0.685
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	1	248645563	248930189	141	0.0517
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	12784	4158097	2983	-0.0046
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	4166274	4176429	42	-0.6522
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	4182472	17493526	10142	-0.0005
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	17494468	17494692	2	-1.479
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	17496781	34466002	10899	0.0026
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	34474248	34511990	46	0.4755
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	34512489	52527590	13003	-0.0039
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	52527727	52554404	35	-0.6631
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	52560811	86901078	21968	-0.0005
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	86902080	86910262	2	-1.5983
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	86934730	95998289	1381	0.01
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	96005615	96011976	5	0.735
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	96013490	97098307	413	0.0178
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	97098713	97359885	65	0.2565
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	97524284	97545247	8	-0.7775
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	97545726	111686882	8289	0.0013
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	111689367	111689789	2	-2.1336
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	111693810	128880504	10665	-0.0042
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	128880904	128882741	15	-0.9125
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	128882755	146106861	10412	0.0039
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	146106875	146109366	22	0.6574
e6f3cb6b-1eda-4a6b-8259-7ad033f05661	2	146120238	158804973	7612	0.0014
