GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	62920	793228	26	0.1616
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	805477	16785682	8669	-0.1115
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	16787932	16931448	49	-0.6418
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	16932568	21151154	2886	-0.1029
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	21154215	23631293	1479	0.0418
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	23632431	23633123	2	-1.9439
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	23634378	25256850	900	0.059
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	25266637	25320455	24	0.716
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	25336819	34626073	4950	0.0386
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	34637053	34648667	21	-0.6733
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	34649941	54269369	10826	0.0422
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	54269873	72918969	13372	0.3154
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	72920271	76209435	2035	0.0373
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	76209483	103616762	17604	-0.341
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	103620877	103717617	6	1.5301
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	103760781	108358141	2937	-0.3256
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	108358744	108367395	3	-1.8139
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	108368123	109684893	628	-0.3049
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	109690352	109697556	13	0.5036
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	109702376	110827750	826	-0.3358
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	110827773	110850675	50	-0.0272
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	110850774	112153343	1072	-0.3252
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	112153465	112163572	33	0.1207
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	112163576	121593055	5140	-0.33
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	121593930	152583051	2448	0.2085
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	152583230	152614118	35	-1.9542
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	152618018	152789447	168	0.1383
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	152789463	152795487	30	0.9646
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	152795783	169247699	11293	0.1943
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	169264736	169272528	7	1.0459
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	169273163	175622830	4116	0.1868
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	175623637	175623934	2	-1.2902
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	175624169	179091973	2185	0.1937
1ea05561-a049-49c8-8a1a-fbd92296ac29	1	179092292	189433802	6968	0.0498
