GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
85e95d7d-a074-41d3-8f5a-d53c09808180	1	62920	1731957	222	0.032
85e95d7d-a074-41d3-8f5a-d53c09808180	1	1732392	1741164	4	-1.2506
85e95d7d-a074-41d3-8f5a-d53c09808180	1	1756148	2262659	178	0.0343
85e95d7d-a074-41d3-8f5a-d53c09808180	1	2263209	3163455	268	0.1306
85e95d7d-a074-41d3-8f5a-d53c09808180	1	3164291	16719082	8011	0.0208
85e95d7d-a074-41d3-8f5a-d53c09808180	1	16719266	16785064	14	0.4619
85e95d7d-a074-41d3-8f5a-d53c09808180	1	16785682	18250457	1013	0.0201
85e95d7d-a074-41d3-8f5a-d53c09808180	1	18250616	18275416	28	-0.9788
85e95d7d-a074-41d3-8f5a-d53c09808180	1	18279110	25256850	4278	0.0164
85e95d7d-a074-41d3-8f5a-d53c09808180	1	25266637	25319167	20	-1.674
85e95d7d-a074-41d3-8f5a-d53c09808180	1	25319693	103613021	48802	0.0174
85e95d7d-a074-41d3-8f5a-d53c09808180	1	103613109	103620877	9	-0.6645
85e95d7d-a074-41d3-8f5a-d53c09808180	1	103621165	112147704	5536	0.0189
85e95d7d-a074-41d3-8f5a-d53c09808180	1	112153343	112154591	22	-1.4661
85e95d7d-a074-41d3-8f5a-d53c09808180	1	112154619	120385535	5065	0.0218
85e95d7d-a074-41d3-8f5a-d53c09808180	1	120414592	120954128	4	0.9121
85e95d7d-a074-41d3-8f5a-d53c09808180	1	120954165	152583051	2536	0.0286
85e95d7d-a074-41d3-8f5a-d53c09808180	1	152583230	152614064	33	-1.7457
85e95d7d-a074-41d3-8f5a-d53c09808180	1	152614100	152787202	169	0.0157
85e95d7d-a074-41d3-8f5a-d53c09808180	1	152789447	152796224	37	-0.3902
85e95d7d-a074-41d3-8f5a-d53c09808180	1	152801429	248930189	65322	0.0201
85e95d7d-a074-41d3-8f5a-d53c09808180	2	12784	34466002	24080	0.0168
85e95d7d-a074-41d3-8f5a-d53c09808180	2	34474248	34512096	47	0.691
85e95d7d-a074-41d3-8f5a-d53c09808180	2	34512489	52527330	13002	0.0136
85e95d7d-a074-41d3-8f5a-d53c09808180	2	52527342	52554404	39	0.8313
85e95d7d-a074-41d3-8f5a-d53c09808180	2	52560811	87440034	22064	0.0165
85e95d7d-a074-41d3-8f5a-d53c09808180	2	87440271	87465499	6	-0.9723
85e95d7d-a074-41d3-8f5a-d53c09808180	2	87466706	89305244	700	0.0309
85e95d7d-a074-41d3-8f5a-d53c09808180	2	89896149	90262403	130	-0.7658
85e95d7d-a074-41d3-8f5a-d53c09808180	2	90281849	91776664	21	0.0719
85e95d7d-a074-41d3-8f5a-d53c09808180	2	91779160	91951483	25	-0.3152
85e95d7d-a074-41d3-8f5a-d53c09808180	2	91957968	106263639	6471	0.0125
85e95d7d-a074-41d3-8f5a-d53c09808180	2	106264257	106268901	11	0.8863
85e95d7d-a074-41d3-8f5a-d53c09808180	2	106270799	113604438	3783	0.0139
85e95d7d-a074-41d3-8f5a-d53c09808180	2	113604837	113623244	3	-1.7266
85e95d7d-a074-41d3-8f5a-d53c09808180	2	113625975	122724137	5708	0.0232
85e95d7d-a074-41d3-8f5a-d53c09808180	2	122724152	122724665	6	-0.7574
85e95d7d-a074-41d3-8f5a-d53c09808180	2	122726077	128880504	3887	0.0145
85e95d7d-a074-41d3-8f5a-d53c09808180	2	128880904	128882741	15	-0.5967
85e95d7d-a074-41d3-8f5a-d53c09808180	2	128882755	146104517	10411	0.0167
85e95d7d-a074-41d3-8f5a-d53c09808180	2	146106836	146109366	24	0.8497
85e95d7d-a074-41d3-8f5a-d53c09808180	2	146120238	207485467	36951	0.0134
85e95d7d-a074-41d3-8f5a-d53c09808180	2	207485523	207485538	2	-1.8061
85e95d7d-a074-41d3-8f5a-d53c09808180	2	207485595	207635609	101	0.0555
85e95d7d-a074-41d3-8f5a-d53c09808180	2	207636221	207638827	2	1.1434
85e95d7d-a074-41d3-8f5a-d53c09808180	2	207639869	212321824	2957	0.0176
85e95d7d-a074-41d3-8f5a-d53c09808180	2	212322478	212327088	23	-1.1475
85e95d7d-a074-41d3-8f5a-d53c09808180	2	212327101	234751269	14487	0.0173
85e95d7d-a074-41d3-8f5a-d53c09808180	2	234751708	234751713	2	-1.3099
85e95d7d-a074-41d3-8f5a-d53c09808180	2	234752229	242147305	4518	0.0104
85e95d7d-a074-41d3-8f5a-d53c09808180	3	20930	7045315	6187	0.0129
85e95d7d-a074-41d3-8f5a-d53c09808180	3	7049651	7050334	4	-1.0031
85e95d7d-a074-41d3-8f5a-d53c09808180	3	7052780	8780118	1532	0.014
85e95d7d-a074-41d3-8f5a-d53c09808180	3	8783681	8816515	27	0.5516
85e95d7d-a074-41d3-8f5a-d53c09808180	3	8825123	61141148	34119	0.0173
85e95d7d-a074-41d3-8f5a-d53c09808180	3	61141532	61141631	2	-1.9218
85e95d7d-a074-41d3-8f5a-d53c09808180	3	61142344	99218940	21821	0.0156
85e95d7d-a074-41d3-8f5a-d53c09808180	3	99225614	99230212	27	-0.5889
85e95d7d-a074-41d3-8f5a-d53c09808180	3	99230225	136300257	22778	0.0167
85e95d7d-a074-41d3-8f5a-d53c09808180	3	136304109	136306584	2	-3.2154
85e95d7d-a074-41d3-8f5a-d53c09808180	3	136319699	162807070	16241	0.0181
85e95d7d-a074-41d3-8f5a-d53c09808180	3	162810842	162822702	10	-1.0504
85e95d7d-a074-41d3-8f5a-d53c09808180	3	162827928	162996729	120	-0.1275
85e95d7d-a074-41d3-8f5a-d53c09808180	3	162999939	163001774	2	-2.9819
85e95d7d-a074-41d3-8f5a-d53c09808180	3	163008371	189645889	16583	0.0168
85e95d7d-a074-41d3-8f5a-d53c09808180	3	189646041	189653199	11	-0.7449
85e95d7d-a074-41d3-8f5a-d53c09808180	3	189653225	195559056	3991	0.0123
85e95d7d-a074-41d3-8f5a-d53c09808180	3	195656271	195735445	36	-0.724
85e95d7d-a074-41d3-8f5a-d53c09808180	3	195737223	198169247	1174	0.0122
85e95d7d-a074-41d3-8f5a-d53c09808180	4	68929	4101617	1622	0.0197
85e95d7d-a074-41d3-8f5a-d53c09808180	4	4108503	4151033	10	-0.9543
85e95d7d-a074-41d3-8f5a-d53c09808180	4	4158336	10208766	4072	0.0208
85e95d7d-a074-41d3-8f5a-d53c09808180	4	10221792	10229625	27	-0.6229
85e95d7d-a074-41d3-8f5a-d53c09808180	4	10229874	22043756	8757	0.0217
85e95d7d-a074-41d3-8f5a-d53c09808180	4	22047014	22069078	23	-1.1024
85e95d7d-a074-41d3-8f5a-d53c09808180	4	22072923	43143057	13759	0.0152
85e95d7d-a074-41d3-8f5a-d53c09808180	4	43143380	43145497	7	-0.7598
85e95d7d-a074-41d3-8f5a-d53c09808180	4	43146144	68418873	13907	0.0136
85e95d7d-a074-41d3-8f5a-d53c09808180	4	68422420	68422424	3	-1.7114
85e95d7d-a074-41d3-8f5a-d53c09808180	4	68429081	68509442	15	0.2071
85e95d7d-a074-41d3-8f5a-d53c09808180	4	68509630	68620261	62	-0.2511
85e95d7d-a074-41d3-8f5a-d53c09808180	4	68623617	72666091	2327	0.0137
85e95d7d-a074-41d3-8f5a-d53c09808180	4	72679319	72695708	6	-0.7274
85e95d7d-a074-41d3-8f5a-d53c09808180	4	72698663	92524749	12331	0.0181
85e95d7d-a074-41d3-8f5a-d53c09808180	4	92524896	92526718	2	-1.3776
85e95d7d-a074-41d3-8f5a-d53c09808180	4	92526718	114252544	13022	0.0188
85e95d7d-a074-41d3-8f5a-d53c09808180	4	114254167	114261019	23	0.7367
85e95d7d-a074-41d3-8f5a-d53c09808180	4	114263073	137170949	13239	0.0165
85e95d7d-a074-41d3-8f5a-d53c09808180	4	137171041	137172260	15	-0.7726
85e95d7d-a074-41d3-8f5a-d53c09808180	4	137173804	151868634	8823	0.017
85e95d7d-a074-41d3-8f5a-d53c09808180	4	151870381	151871415	12	-0.9845
85e95d7d-a074-41d3-8f5a-d53c09808180	4	151871739	151873707	4	0.963
85e95d7d-a074-41d3-8f5a-d53c09808180	4	151874236	172066777	12954	0.0197
85e95d7d-a074-41d3-8f5a-d53c09808180	4	172067997	172068382	12	-1.6324
85e95d7d-a074-41d3-8f5a-d53c09808180	4	172074828	188515761	11140	0.0152
85e95d7d-a074-41d3-8f5a-d53c09808180	4	188515932	188516242	7	-1.068
85e95d7d-a074-41d3-8f5a-d53c09808180	4	188516256	190106768	924	0.0056
85e95d7d-a074-41d3-8f5a-d53c09808180	5	15532	9898850	8007	0.0319
85e95d7d-a074-41d3-8f5a-d53c09808180	5	9901840	9924385	32	-1.2449
85e95d7d-a074-41d3-8f5a-d53c09808180	5	9926299	12800777	2142	0.0324
85e95d7d-a074-41d3-8f5a-d53c09808180	5	12815668	12826538	11	1.0142
85e95d7d-a074-41d3-8f5a-d53c09808180	5	12833745	12838421	3	-0.8468
85e95d7d-a074-41d3-8f5a-d53c09808180	5	12849089	21449167	5508	0.0303
85e95d7d-a074-41d3-8f5a-d53c09808180	5	21451091	21468257	8	0.6847
85e95d7d-a074-41d3-8f5a-d53c09808180	5	21516085	44571042	14320	0.0288
85e95d7d-a074-41d3-8f5a-d53c09808180	5	44571929	44576069	5	-1.0967
85e95d7d-a074-41d3-8f5a-d53c09808180	5	44585098	58033756	5702	0.025
85e95d7d-a074-41d3-8f5a-d53c09808180	5	58033802	58036817	21	-0.4369
85e95d7d-a074-41d3-8f5a-d53c09808180	5	58037089	70959078	7318	0.026
85e95d7d-a074-41d3-8f5a-d53c09808180	5	70959079	71053366	7	-0.837
85e95d7d-a074-41d3-8f5a-d53c09808180	5	71095358	104515520	19510	0.0241
85e95d7d-a074-41d3-8f5a-d53c09808180	5	104524672	104524903	4	-1.6018
85e95d7d-a074-41d3-8f5a-d53c09808180	5	104525348	145296103	26094	0.0237
85e95d7d-a074-41d3-8f5a-d53c09808180	5	145299331	145332419	18	0.4759
85e95d7d-a074-41d3-8f5a-d53c09808180	5	145337577	152134610	4635	0.0252
85e95d7d-a074-41d3-8f5a-d53c09808180	5	152135825	152138502	10	-0.7374
85e95d7d-a074-41d3-8f5a-d53c09808180	5	152138527	155547274	2276	0.02
85e95d7d-a074-41d3-8f5a-d53c09808180	5	155548720	155553506	5	-0.8166
85e95d7d-a074-41d3-8f5a-d53c09808180	5	155562496	163430396	5307	0.0223
85e95d7d-a074-41d3-8f5a-d53c09808180	5	163431168	163468581	21	0.5561
85e95d7d-a074-41d3-8f5a-d53c09808180	5	163472011	180951888	11672	0.024
85e95d7d-a074-41d3-8f5a-d53c09808180	5	180953203	181006225	18	0.5145
85e95d7d-a074-41d3-8f5a-d53c09808180	5	181006264	181363319	169	-0.0293
85e95d7d-a074-41d3-8f5a-d53c09808180	6	149661	253272	98	-0.0428
85e95d7d-a074-41d3-8f5a-d53c09808180	6	253861	294837	26	-0.7618
85e95d7d-a074-41d3-8f5a-d53c09808180	6	302306	366333	70	0.2902
85e95d7d-a074-41d3-8f5a-d53c09808180	6	373453	32641650	22698	0.0185
85e95d7d-a074-41d3-8f5a-d53c09808180	6	32656527	32658841	6	-1.0409
85e95d7d-a074-41d3-8f5a-d53c09808180	6	32682835	32717773	34	0.0571
85e95d7d-a074-41d3-8f5a-d53c09808180	6	32718088	32732907	14	-0.4145
85e95d7d-a074-41d3-8f5a-d53c09808180	6	32733056	54066269	13647	0.0128
85e95d7d-a074-41d3-8f5a-d53c09808180	6	54066286	54067057	8	0.9579
85e95d7d-a074-41d3-8f5a-d53c09808180	6	54070550	68019453	6618	0.009
85e95d7d-a074-41d3-8f5a-d53c09808180	6	68021104	68021435	3	-1.152
85e95d7d-a074-41d3-8f5a-d53c09808180	6	68023800	73880906	3759	0.0217
85e95d7d-a074-41d3-8f5a-d53c09808180	6	73882085	73891694	12	0.6905
85e95d7d-a074-41d3-8f5a-d53c09808180	6	73893839	76307183	1469	0.0178
85e95d7d-a074-41d3-8f5a-d53c09808180	6	76307194	76307209	2	-1.0647
85e95d7d-a074-41d3-8f5a-d53c09808180	6	76307276	76317890	30	0.1141
85e95d7d-a074-41d3-8f5a-d53c09808180	6	76318064	76323492	4	0.8551
85e95d7d-a074-41d3-8f5a-d53c09808180	6	76323667	76730151	262	0.0051
85e95d7d-a074-41d3-8f5a-d53c09808180	6	76730331	76733530	10	0.7043
85e95d7d-a074-41d3-8f5a-d53c09808180	6	76736482	78261995	990	0.019
85e95d7d-a074-41d3-8f5a-d53c09808180	6	78262064	78325468	108	-0.4295
85e95d7d-a074-41d3-8f5a-d53c09808180	6	78329517	91088981	8073	0.0165
85e95d7d-a074-41d3-8f5a-d53c09808180	6	91089538	91090741	4	-0.9946
85e95d7d-a074-41d3-8f5a-d53c09808180	6	91091858	103286954	7387	0.0148
85e95d7d-a074-41d3-8f5a-d53c09808180	6	103290101	103314186	46	-1.3406
85e95d7d-a074-41d3-8f5a-d53c09808180	6	103317795	170741917	44156	0.0153
85e95d7d-a074-41d3-8f5a-d53c09808180	7	43355	29628975	21432	0.0288
85e95d7d-a074-41d3-8f5a-d53c09808180	7	29631102	29646732	7	-0.9794
85e95d7d-a074-41d3-8f5a-d53c09808180	7	29648549	56693807	18594	0.0294
85e95d7d-a074-41d3-8f5a-d53c09808180	7	56694420	56701121	3	-2.0373
85e95d7d-a074-41d3-8f5a-d53c09808180	7	56704473	86600286	13224	0.0214
85e95d7d-a074-41d3-8f5a-d53c09808180	7	86604868	86615167	9	-1.1361
85e95d7d-a074-41d3-8f5a-d53c09808180	7	86615738	144199159	34867	0.0195
85e95d7d-a074-41d3-8f5a-d53c09808180	7	144207186	144264193	8	-0.8817
85e95d7d-a074-41d3-8f5a-d53c09808180	7	144295437	152876850	5091	0.0219
85e95d7d-a074-41d3-8f5a-d53c09808180	7	152881778	152882902	2	-2.3246
85e95d7d-a074-41d3-8f5a-d53c09808180	7	152889438	156270025	2692	0.0215
85e95d7d-a074-41d3-8f5a-d53c09808180	7	156273190	156274357	4	-0.9297
85e95d7d-a074-41d3-8f5a-d53c09808180	7	156275262	159334314	1866	0.0168
85e95d7d-a074-41d3-8f5a-d53c09808180	8	81254	643041	322	-0.003
85e95d7d-a074-41d3-8f5a-d53c09808180	8	644944	645875	8	1.0217
85e95d7d-a074-41d3-8f5a-d53c09808180	8	645892	645908	2	4.0789
85e95d7d-a074-41d3-8f5a-d53c09808180	8	656117	2132302	1144	0.0328
85e95d7d-a074-41d3-8f5a-d53c09808180	8	2132407	2133420	7	-0.5879
85e95d7d-a074-41d3-8f5a-d53c09808180	8	2133761	4145783	2226	0.009
85e95d7d-a074-41d3-8f5a-d53c09808180	8	4145941	4145956	2	-1.9518
85e95d7d-a074-41d3-8f5a-d53c09808180	8	4146039	5695509	2223	0.0183
85e95d7d-a074-41d3-8f5a-d53c09808180	8	5695545	5700524	10	-0.6245
85e95d7d-a074-41d3-8f5a-d53c09808180	8	5702014	5741213	55	0.0977
85e95d7d-a074-41d3-8f5a-d53c09808180	8	5741242	5746464	21	-0.5696
85e95d7d-a074-41d3-8f5a-d53c09808180	8	5746485	6968934	1602	0.0002
85e95d7d-a074-41d3-8f5a-d53c09808180	8	6968962	6969677	9	-1.5397
85e95d7d-a074-41d3-8f5a-d53c09808180	8	6975846	7358321	103	-0.0011
85e95d7d-a074-41d3-8f5a-d53c09808180	8	7358351	7775900	30	-0.4771
85e95d7d-a074-41d3-8f5a-d53c09808180	8	7788805	8426157	211	0.0095
85e95d7d-a074-41d3-8f5a-d53c09808180	8	8429535	8433847	6	-0.971
85e95d7d-a074-41d3-8f5a-d53c09808180	8	8434235	10433706	1800	0.0131
85e95d7d-a074-41d3-8f5a-d53c09808180	8	10434220	10435035	3	-1.1639
85e95d7d-a074-41d3-8f5a-d53c09808180	8	10436547	12092042	1226	0.0011
85e95d7d-a074-41d3-8f5a-d53c09808180	8	12130217	12177488	8	0.7419
85e95d7d-a074-41d3-8f5a-d53c09808180	8	12323772	12359339	3	-2.1121
85e95d7d-a074-41d3-8f5a-d53c09808180	8	12374772	12383996	13	-0.3834
85e95d7d-a074-41d3-8f5a-d53c09808180	8	12385006	25114672	10428	0.0147
85e95d7d-a074-41d3-8f5a-d53c09808180	8	25116928	25126818	27	0.6672
85e95d7d-a074-41d3-8f5a-d53c09808180	8	25133589	39373140	9013	0.0081
85e95d7d-a074-41d3-8f5a-d53c09808180	8	39378084	39529446	59	0.6517
85e95d7d-a074-41d3-8f5a-d53c09808180	8	39530780	40914477	1074	0.0209
85e95d7d-a074-41d3-8f5a-d53c09808180	8	40920333	40920952	2	-1.7198
85e95d7d-a074-41d3-8f5a-d53c09808180	8	40926161	111279265	40915	0.0149
85e95d7d-a074-41d3-8f5a-d53c09808180	8	111282050	111283031	10	-0.6212
85e95d7d-a074-41d3-8f5a-d53c09808180	8	111288052	119139771	4959	0.008
85e95d7d-a074-41d3-8f5a-d53c09808180	8	119142545	119147207	4	-2.948
85e95d7d-a074-41d3-8f5a-d53c09808180	8	119150615	124218842	3378	0.0147
85e95d7d-a074-41d3-8f5a-d53c09808180	8	124221217	124221655	2	-1.1496
85e95d7d-a074-41d3-8f5a-d53c09808180	8	124221821	131976820	5541	0.0206
85e95d7d-a074-41d3-8f5a-d53c09808180	8	131978838	131982329	3	-1.0062
85e95d7d-a074-41d3-8f5a-d53c09808180	8	131984112	137810080	4778	0.018
85e95d7d-a074-41d3-8f5a-d53c09808180	8	137811491	137812412	3	-1.0557
85e95d7d-a074-41d3-8f5a-d53c09808180	8	137812781	145072769	4237	0.0233
85e95d7d-a074-41d3-8f5a-d53c09808180	9	46587	138200944	79484	0.0163
85e95d7d-a074-41d3-8f5a-d53c09808180	10	45792	13007600	10901	0.0168
