GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	62920	3152435	668	0.116
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	3153770	5951541	2118	-0.0045
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	5951845	5989543	21	0.4239
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	5996108	14011386	4165	0.005
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	14011431	14011442	2	-1.2425
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	14011499	15827002	1365	0.0106
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	15827041	15827362	4	0.8917
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	15827430	16471261	284	0.0015
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16477281	16617312	28	0.2453
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16617327	16643961	20	-0.1787
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16679239	16863509	27	0.1955
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16864367	16898730	13	0.9784
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16898872	16902211	3	-0.2143
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16909189	16935752	38	0.8631
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	16949746	18819939	1406	-0.0006
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	18827270	18827571	3	-0.9337
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	18829475	21361648	1563	-0.0037
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	21361926	21452015	44	0.2887
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	21453405	34626073	7196	-0.0021
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	34637053	34648667	21	-0.4799
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	34649941	61648509	16415	-0.0021
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	61649279	61654306	4	-2.9292
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	61654892	72284670	7258	-0.0035
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	72290430	72297687	9	-0.6957
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	72302735	72345465	48	0.2572
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	72346221	89009572	10894	-0.0008
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	89012275	89012522	2	-3.1372
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	89015841	103620877	9047	-0.0009
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	103621165	103697364	3	1.2104
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	103717410	105470754	916	-0.0061
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	105476583	105479753	17	0.8491
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	105481433	109684893	2627	0.0076
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	109690352	109692006	10	-1.6107
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	109696900	109697556	3	-0.739
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	109702376	143546851	7123	0.0004
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	143547055	143811517	115	-0.75
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	143890323	152583291	2314	0.0109
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	152583319	152613762	29	1.671
8fe02970-3564-4052-8d45-2b3df0fb8a8c	1	152613802	248930189	65296	0.0033
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	12784	14212200	10694	0.0002
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	14213786	14228844	58	0.617
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	14229064	34474248	13267	-0.0038
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	34476327	34511990	44	-1.8088
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	34512096	52516787	12957	-0.0061
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	52527330	52554404	40	0.6887
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	52560811	113162939	32979	-0.0036
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	113164835	113165002	3	-1.9946
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	113166971	113604438	155	-0.0025
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	113604837	113623244	3	-1.2965
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	113625975	143117750	18264	-0.008
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	143124005	143129014	5	-1.1384
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	143130680	146106875	1701	0.0019
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	146106889	146109366	21	-1.872
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	146120238	193823021	28771	-0.0035
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	193825580	193829074	2	1.6552
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	193837590	194122969	145	-0.0205
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	194123143	194124834	2	-3.1193
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	194124876	207485467	7921	-0.0097
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	207485523	207485538	2	-2.2496
8fe02970-3564-4052-8d45-2b3df0fb8a8c	2	207485595	242147305	22035	-0.0028
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	20930	6604856	5791	-0.0053
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	6609441	6611557	22	-0.7503
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	6611645	37935926	21709	-0.0005
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	37940617	37945437	18	-0.9207
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	37945615	75519398	25022	-0.0027
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	75523398	75537654	6	-1.5986
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	75546030	87436247	6559	0.008
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	87436674	87448782	8	-1.1407
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	87451899	119631498	16974	0.0035
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	119632551	119636564	6	-0.9879
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	119636899	130044016	6069	0.0028
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	130044855	130087393	38	-1.472
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	130088081	162794951	20201	0.0007
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	162795304	162898127	62	0.6219
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	162906054	172555565	5722	0.0007
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	172556726	172558106	4	-1.0552
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	172558964	175362822	1910	0.0025
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	175362958	175363536	5	-0.9287
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	175368999	189642114	8970	0.0068
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	189642489	189646849	13	-0.5235
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	189653199	193155702	2473	0.0095
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	193155761	193165114	24	-0.4836
8fe02970-3564-4052-8d45-2b3df0fb8a8c	3	193168646	198169247	2690	0.025
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	68929	4112194	1622	0.0308
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	4117230	4158336	9	0.6342
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	4163608	7418848	2576	0.0016
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	7419058	7465589	47	0.3157
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	7468311	9455251	892	0.0082
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	9459504	9477699	6	0.9638
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	9484440	10208766	536	-0.0037
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	10221792	10229188	23	0.5975
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	10229279	10389091	181	0.0185
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	10390730	10399044	16	-0.7308
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	10401094	34777353	16730	-0.0002
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	34777382	34819718	40	0.3383
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	34822561	49214614	8944	0.0017
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	49289175	49289338	2	-1.498
8fe02970-3564-4052-8d45-2b3df0fb8a8c	4	49295203	68378716	10420	0.0035
