GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b45678cd-7050-4f06-81fb-8942b77fc7af	1	62920	98602	13	-0.9303
b45678cd-7050-4f06-81fb-8942b77fc7af	1	259407	21991690	12056	0.0516
b45678cd-7050-4f06-81fb-8942b77fc7af	1	21992508	22002025	4	-1.4432
b45678cd-7050-4f06-81fb-8942b77fc7af	1	22004046	25256352	1908	0.0495
b45678cd-7050-4f06-81fb-8942b77fc7af	1	25256800	25373504	44	-0.3618
b45678cd-7050-4f06-81fb-8942b77fc7af	1	25376228	30912340	2876	0.051
b45678cd-7050-4f06-81fb-8942b77fc7af	1	30912474	32049367	548	-0.1909
b45678cd-7050-4f06-81fb-8942b77fc7af	1	32051319	42358646	5817	0.0696
b45678cd-7050-4f06-81fb-8942b77fc7af	1	42360483	42363085	4	-1.4058
b45678cd-7050-4f06-81fb-8942b77fc7af	1	42363103	48816318	3733	0.0431
b45678cd-7050-4f06-81fb-8942b77fc7af	1	48816385	49448451	340	-0.1496
b45678cd-7050-4f06-81fb-8942b77fc7af	1	49449260	49532002	26	-0.683
b45678cd-7050-4f06-81fb-8942b77fc7af	1	49532191	68137749	12807	-0.1786
b45678cd-7050-4f06-81fb-8942b77fc7af	1	68137903	68140309	3	-2.2425
b45678cd-7050-4f06-81fb-8942b77fc7af	1	68141210	72302815	2464	-0.1652
b45678cd-7050-4f06-81fb-8942b77fc7af	1	72303233	72345465	46	-1.4681
b45678cd-7050-4f06-81fb-8942b77fc7af	1	72346221	81422771	5760	-0.177
b45678cd-7050-4f06-81fb-8942b77fc7af	1	81422917	81422920	2	-2.481
b45678cd-7050-4f06-81fb-8942b77fc7af	1	81422982	103580811	14188	-0.1771
b45678cd-7050-4f06-81fb-8942b77fc7af	1	103581040	103620877	17	-0.9661
b45678cd-7050-4f06-81fb-8942b77fc7af	1	103621165	105470754	921	-0.1907
b45678cd-7050-4f06-81fb-8942b77fc7af	1	105476583	105479753	17	-2.503
b45678cd-7050-4f06-81fb-8942b77fc7af	1	105481433	105497444	20	-0.5159
b45678cd-7050-4f06-81fb-8942b77fc7af	1	105497576	109684893	2606	-0.1745
b45678cd-7050-4f06-81fb-8942b77fc7af	1	109690352	109697556	13	-1.6718
b45678cd-7050-4f06-81fb-8942b77fc7af	1	109702376	121573699	7090	-0.1807
b45678cd-7050-4f06-81fb-8942b77fc7af	1	121580012	152583051	2442	0.2337
b45678cd-7050-4f06-81fb-8942b77fc7af	1	152583230	152614118	35	1.0641
b45678cd-7050-4f06-81fb-8942b77fc7af	1	152618018	152789447	167	0.3047
b45678cd-7050-4f06-81fb-8942b77fc7af	1	152789463	152795783	31	0.7444
b45678cd-7050-4f06-81fb-8942b77fc7af	1	152795805	160144553	4425	0.2567
b45678cd-7050-4f06-81fb-8942b77fc7af	1	160144618	209897717	33819	0.1571
b45678cd-7050-4f06-81fb-8942b77fc7af	1	209908268	209913207	4	-1.764
b45678cd-7050-4f06-81fb-8942b77fc7af	1	209920149	248525314	26787	0.1556
b45678cd-7050-4f06-81fb-8942b77fc7af	1	248546369	248646068	39	-0.8919
b45678cd-7050-4f06-81fb-8942b77fc7af	1	248661836	248930189	138	0.0659
b45678cd-7050-4f06-81fb-8942b77fc7af	2	12784	34497523	24056	0.0185
b45678cd-7050-4f06-81fb-8942b77fc7af	2	34497960	34511990	13	0.6962
b45678cd-7050-4f06-81fb-8942b77fc7af	2	34512096	35732770	858	0.0083
b45678cd-7050-4f06-81fb-8942b77fc7af	2	35732785	35762881	15	0.5585
b45678cd-7050-4f06-81fb-8942b77fc7af	2	35772407	50961701	11035	0.0175
b45678cd-7050-4f06-81fb-8942b77fc7af	2	50962717	50974065	9	-1.0027
b45678cd-7050-4f06-81fb-8942b77fc7af	2	50977482	52527362	1065	0.0252
b45678cd-7050-4f06-81fb-8942b77fc7af	2	52527423	52527743	4	-2.1124
b45678cd-7050-4f06-81fb-8942b77fc7af	2	52531615	87187229	21993	0.0127
b45678cd-7050-4f06-81fb-8942b77fc7af	2	87189966	87328818	47	-0.3677
b45678cd-7050-4f06-81fb-8942b77fc7af	2	87331138	88831554	523	0.0096
b45678cd-7050-4f06-81fb-8942b77fc7af	2	88833611	89984697	202	-0.2036
b45678cd-7050-4f06-81fb-8942b77fc7af	2	89986900	116727214	12298	0.0217
b45678cd-7050-4f06-81fb-8942b77fc7af	2	116727312	116727453	2	-3.461
b45678cd-7050-4f06-81fb-8942b77fc7af	2	116727503	152930971	22307	0.016
b45678cd-7050-4f06-81fb-8942b77fc7af	2	152939554	152940270	3	-1.6661
b45678cd-7050-4f06-81fb-8942b77fc7af	2	152944055	207490231	32692	0.0262
b45678cd-7050-4f06-81fb-8942b77fc7af	2	207490454	207491392	9	-1.3699
b45678cd-7050-4f06-81fb-8942b77fc7af	2	207493563	242147305	22030	0.0176
b45678cd-7050-4f06-81fb-8942b77fc7af	3	20930	28924665	21512	-0.1179
b45678cd-7050-4f06-81fb-8942b77fc7af	3	28925287	28963389	27	-0.5952
b45678cd-7050-4f06-81fb-8942b77fc7af	3	28965783	75519398	31021	-0.1207
b45678cd-7050-4f06-81fb-8942b77fc7af	3	75523398	75528153	3	-2.2526
b45678cd-7050-4f06-81fb-8942b77fc7af	3	75529707	87052597	6327	-0.1258
b45678cd-7050-4f06-81fb-8942b77fc7af	3	87054026	95737262	2777	0.0046
b45678cd-7050-4f06-81fb-8942b77fc7af	3	95748036	95749266	2	-2.2333
b45678cd-7050-4f06-81fb-8942b77fc7af	3	95749836	130028313	20529	0.009
b45678cd-7050-4f06-81fb-8942b77fc7af	3	130031363	130124370	61	-0.2747
b45678cd-7050-4f06-81fb-8942b77fc7af	3	130124631	162420194	19936	0.0083
b45678cd-7050-4f06-81fb-8942b77fc7af	3	162420211	162424900	7	-0.9075
b45678cd-7050-4f06-81fb-8942b77fc7af	3	162424917	162815162	275	0.0001
b45678cd-7050-4f06-81fb-8942b77fc7af	3	162816942	162822702	6	-1.4938
b45678cd-7050-4f06-81fb-8942b77fc7af	3	162827928	162996729	120	0.0743
b45678cd-7050-4f06-81fb-8942b77fc7af	3	162999939	163001774	2	-2.241
b45678cd-7050-4f06-81fb-8942b77fc7af	3	163008371	164148478	666	0.0038
b45678cd-7050-4f06-81fb-8942b77fc7af	3	164152282	164156232	5	-1.4743
b45678cd-7050-4f06-81fb-8942b77fc7af	3	164157293	184616962	12295	0.001
b45678cd-7050-4f06-81fb-8942b77fc7af	3	184620030	184624757	2	-4.3836
b45678cd-7050-4f06-81fb-8942b77fc7af	3	184629330	187877506	2260	0.0035
b45678cd-7050-4f06-81fb-8942b77fc7af	3	187877590	187877925	2	-1.5319
b45678cd-7050-4f06-81fb-8942b77fc7af	3	187877952	193155873	3810	-0.0047
b45678cd-7050-4f06-81fb-8942b77fc7af	3	193155915	193165114	22	-0.6253
b45678cd-7050-4f06-81fb-8942b77fc7af	3	193168646	197912956	2552	-0.0026
b45678cd-7050-4f06-81fb-8942b77fc7af	3	197915566	198169247	135	-0.1515
