GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	62920	86341	11	-0.5834
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	98588	13789833	6758	0.0041
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	13790733	13790746	2	-1.3959
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	13791381	16855942	1933	0.0038
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	16863509	16951445	57	-0.5898
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	16955930	21992508	3343	-0.0002
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	21996664	22010750	5	-1.4683
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	22011632	25256850	1914	0.0029
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	25266637	25319167	20	0.5107
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	25319693	72297687	28743	0.0063
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	72302735	72345465	48	-1.5684
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	72346221	74725098	1447	0.0116
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	74727351	74733606	3	-1.0274
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	74734100	103616762	18579	0.0061
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	103620877	103717410	5	-1.0212
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	103717617	105470754	918	0.0095
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	105476583	105479753	17	0.6254
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	105481433	109108688	2359	0.0075
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	109109521	109117063	2	-1.7897
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	109117281	109690352	274	-0.0009
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	109690415	109697556	12	-1.0478
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	109702376	112153343	1952	0.0113
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	112153465	112154619	22	-0.4243
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	112154754	144442342	5297	-0.0003
4efe6d61-8a44-4a32-bac5-c2c1766e330e	1	144445555	144503849	9	0.5837
