GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	62920	787937	25	0.0022
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	793228	3301765	713	-0.2674
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	3302046	3885264	314	-0.0171
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	3885647	4829765	800	0.3309
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	4830065	10031603	3167	0.1473
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	10036962	10042953	5	-1.0019
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	10046717	14983026	2755	0.1354
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	14983365	14986299	4	-1.1648
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	14986766	15823420	559	0.1402
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	15827002	15827430	6	1.0653
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	15827706	16643683	328	0.1762
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	16643816	16767532	20	-0.2563
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	16767571	16864367	12	0.3458
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	16868660	16931075	42	-0.4128
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	16931149	25003261	5079	0.1399
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	25003287	25007408	7	-0.6443
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	25009227	25092208	67	0.169
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	25096910	25097831	2	-1.4315
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	25098398	25256850	118	0.138
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	25266637	25320455	24	-1.7522
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	25336819	40555364	8152	0.1505
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	40556404	40562538	4	-1.0449
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	40563254	72284670	20568	0.147
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	72290430	72297687	9	-0.7606
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	72302735	72345465	48	0.9473
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	72346221	102213050	19283	0.1413
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	102214828	102378068	141	0.3127
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	102378414	103614695	603	0.1365
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	103614714	103717410	9	-0.9042
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	103717617	105470754	919	0.1501
1a04f32c-fe4e-4603-8a2f-c27fc86a9fc3	1	105476583	105479753	17	1.3855
