GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	62920	16685961	8654	-0.0634
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	16686246	16721984	8	-1.0303
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	16766762	16864367	16	0.01
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	16868660	16935752	53	-0.6131
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	16949746	34637053	10220	-0.0563
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	34637069	34637435	5	-0.8677
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	34637541	34638442	7	-0.3169
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	34638588	34638890	7	-0.671
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	34648667	58036971	13814	-0.0451
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	58037033	72303233	9893	-0.0182
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	72303253	72345450	44	-1.4321
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	72345465	102225293	19247	-0.0137
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	102225767	102364241	100	0.2084
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	102364324	109684893	4203	-0.0123
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	109690352	109697556	13	-1.2233
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	109702376	110833598	834	-0.028
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	110834746	110845604	39	-0.7223
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	110849445	112147704	1074	-0.0288
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	112153343	112163438	27	0.5111
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	112163440	152323056	7377	-0.0205
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	152325736	152326374	2	-1.796
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	152326462	152583291	200	-0.0031
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	152583319	152614118	33	0.7056
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	152618018	152784298	164	-0.0416
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	152784330	152796224	40	0.482
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	152801429	196769493	29398	-0.022
ab8f39f2-c77d-42e2-8036-850fde5d4b65	1	196769506	196854187	58	0.3706
