GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	62920	462894	19	-0.5539
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	599171	15822848	8307	0.0142
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	15823420	15828471	10	-1.36
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	15828515	16542868	299	0.0028
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	16544783	16788139	55	0.3821
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	16855942	25278567	5329	0.0098
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	25284629	25284961	2	1.4841
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	25289805	40555364	8159	0.0043
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	40556404	40562538	4	-1.0204
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	40563254	72303233	20566	0.005
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	72303253	72345465	45	-1.5838
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	72346221	95689620	15184	0.0028
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	95690160	95690510	2	-1.4036
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	95690660	105470754	5759	0.0003
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	105476583	105479753	17	-1.8335
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	105481433	105591623	90	0.0836
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	105593022	105594291	6	-0.6972
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	105596841	109684695	2536	0.0107
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	109684893	109697556	14	-1.0324
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	109702376	110561066	608	-0.003
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	110562111	110562435	2	-1.1973
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	110563954	110834746	227	0.0044
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	110834943	110845604	38	-0.5964
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	110849445	152583230	8697	0.0057
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	152583291	152613762	30	-1.8526
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	152613802	158896783	3820	0.0149
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	158898711	158899969	2	2.5802
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	158905028	160833752	1299	0.0026
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	160833928	160833945	2	-1.6066
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	160834012	175725225	10566	-0.0025
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	175725368	175754942	26	0.3343
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	175755086	176540105	415	0.0048
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	176540873	176540952	2	-1.3693
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	176541594	193753412	11582	-0.0007
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	193757206	193766389	3	-1.136
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	193768328	196745743	1940	0.0103
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	196758720	196832312	56	0.3655
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	196832525	234658679	25735	0.0008
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	234659492	234662348	5	-1.2523
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	234665663	238691981	2998	0.0022
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	238692338	238692794	3	-1.5869
f5c13560-46ef-4263-8957-ae71ff44a2ec	1	238699149	248930189	7052	0.0013
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	12784	13060017	9987	0.0035
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	13060284	13135672	40	0.4386
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	13139155	87260822	49156	0.0045
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	87261116	87528459	54	-0.3565
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	87542032	88831240	495	0.0156
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	88831554	89245860	173	-0.3015
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	89248581	97192190	1061	0.0125
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	97199600	97211436	14	0.5068
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	97310327	97359885	13	0.0782
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	97524284	97545247	8	-1.1673
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	97545726	146107615	29400	0.0043
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	146107675	146120238	17	0.7369
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	146120827	183220725	22838	-0.0034
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	183221060	183229270	10	-0.6957
f5c13560-46ef-4263-8957-ae71ff44a2ec	2	183229534	242147305	36190	0.0003
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	20930	104040	78	-0.0963
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	104374	1925365	1645	0.0831
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	1928254	6603914	4091	0.0078
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	6604856	6611645	24	-0.6049
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	6613391	59852882	34572	0.008
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	59853324	60838058	1146	0.0804
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	60838588	75519398	11142	0.0005
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	75523398	75537120	5	-1.6959
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	75537654	84649839	4978	0.0128
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	84650033	84652966	14	-0.7155
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	84652985	119160442	18337	-0.0007
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	119160496	119160687	3	-1.0385
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	119163758	125717394	3918	0.003
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	125724765	125734029	8	0.6878
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	125734394	130044016	2459	0.0052
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	130044855	130080824	36	-0.2936
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	130087209	130125709	19	0.1867
f5c13560-46ef-4263-8957-ae71ff44a2ec	3	130129574	130137637	3	0.8138
