GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
842ebc0b-723a-471e-82d3-2146b53885ec	1	62920	1575421	210	0.2328
842ebc0b-723a-471e-82d3-2146b53885ec	1	1696479	1741164	16	-0.3918
842ebc0b-723a-471e-82d3-2146b53885ec	1	1756148	6377001	2749	0.2459
842ebc0b-723a-471e-82d3-2146b53885ec	1	6379893	6385218	3	-0.7385
842ebc0b-723a-471e-82d3-2146b53885ec	1	6389578	10920523	2523	0.2588
842ebc0b-723a-471e-82d3-2146b53885ec	1	10923173	10924349	2	-0.9601
842ebc0b-723a-471e-82d3-2146b53885ec	1	10931159	15544008	2690	0.2555
842ebc0b-723a-471e-82d3-2146b53885ec	1	15544659	15823420	148	0.1511
842ebc0b-723a-471e-82d3-2146b53885ec	1	15827002	15828515	10	-1.1733
842ebc0b-723a-471e-82d3-2146b53885ec	1	15839166	57018014	23635	0.179
842ebc0b-723a-471e-82d3-2146b53885ec	1	57018990	72290491	10803	0.2037
842ebc0b-723a-471e-82d3-2146b53885ec	1	72293529	72345450	53	0.9273
842ebc0b-723a-471e-82d3-2146b53885ec	1	72345465	89009572	10943	0.2119
842ebc0b-723a-471e-82d3-2146b53885ec	1	89012275	89012522	2	-3.3842
842ebc0b-723a-471e-82d3-2146b53885ec	1	89015841	103613180	9088	0.2108
842ebc0b-723a-471e-82d3-2146b53885ec	1	103614539	103620877	7	-0.761
842ebc0b-723a-471e-82d3-2146b53885ec	1	103621165	108186662	2877	0.223
842ebc0b-723a-471e-82d3-2146b53885ec	1	108187137	108192255	3	-0.9836
842ebc0b-723a-471e-82d3-2146b53885ec	1	108194874	108223733	18	0.2424
842ebc0b-723a-471e-82d3-2146b53885ec	1	108226680	108274557	2	-2.7712
842ebc0b-723a-471e-82d3-2146b53885ec	1	108310648	109028555	384	0.2029
842ebc0b-723a-471e-82d3-2146b53885ec	1	109031904	109032025	2	-1.3673
842ebc0b-723a-471e-82d3-2146b53885ec	1	109061619	109679105	288	0.206
842ebc0b-723a-471e-82d3-2146b53885ec	1	109684695	109697556	15	1.1134
842ebc0b-723a-471e-82d3-2146b53885ec	1	109702376	112147704	1951	0.1948
842ebc0b-723a-471e-82d3-2146b53885ec	1	112153343	112154566	20	-0.5071
842ebc0b-723a-471e-82d3-2146b53885ec	1	112154576	121597150	5166	0.2071
842ebc0b-723a-471e-82d3-2146b53885ec	1	121598439	152583051	2445	0.2792
842ebc0b-723a-471e-82d3-2146b53885ec	1	152583230	152613802	32	-2.0352
842ebc0b-723a-471e-82d3-2146b53885ec	1	152614064	169247699	11493	0.2797
842ebc0b-723a-471e-82d3-2146b53885ec	1	169264736	169272528	7	-2.8796
842ebc0b-723a-471e-82d3-2146b53885ec	1	169273163	170434190	896	0.2691
842ebc0b-723a-471e-82d3-2146b53885ec	1	170437221	170438631	2	-2.0747
842ebc0b-723a-471e-82d3-2146b53885ec	1	170439564	188816525	11995	0.2797
842ebc0b-723a-471e-82d3-2146b53885ec	1	188817553	192265427	2221	0.3163
