GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	62920	15823420	8336	0.1453
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	15827002	15827430	6	-2.0613
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	15827706	16784801	353	0.1019
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	16785064	16932568	52	-0.4332
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	16934716	25159930	5221	0.1379
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	25161922	34626073	5017	0.0915
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	34637053	34648667	21	-0.7881
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	34649941	55047388	11381	0.0928
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	55047496	72303233	12386	0.1409
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	72303253	72345465	42	1.9132
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	72346221	103560608	19990	0.1404
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	103566616	103616762	27	1.0466
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	103620877	108187137	2880	0.1584
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	108191613	108192255	2	-1.8173
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	108194874	110833598	1542	0.0876
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	110834746	110845604	39	-0.8014
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	110849445	112153651	1078	0.1173
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	112153686	112153880	3	-1.2992
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	112153915	152583051	7611	0.1195
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	152583230	152614064	33	1.6005
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	152614100	161493797	5443	0.0846
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	161493811	167386651	4590	0.1354
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	167390070	167390684	2	-1.7469
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	167393312	187583465	13524	0.1286
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	187584685	189853551	1523	0.1905
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	189853778	196740093	4568	0.1422
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	196740316	196843377	65	0.4629
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	196843400	200871534	2546	0.1543
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	200874640	208130653	4741	0.0837
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	208130827	213657482	3935	0.1338
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	213657558	219571851	4343	0.1748
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	219574708	245671757	18195	0.1265
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	245671796	245962072	259	-0.1734
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	1	245962282	248930189	1783	0.1423
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	12784	4166610	2988	-0.2793
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	4168820	4176429	40	0.2078
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	4182472	34466002	21044	-0.2436
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	34474248	34485758	11	-1.0744
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	34485794	34492841	18	-0.2917
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	34492907	34511990	17	-1.4791
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	34512096	41011095	4792	-0.2376
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	41011303	41018747	22	-1.2383
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	41024093	57509144	11797	-0.2251
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	57515762	57650539	89	-0.7216
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	57650730	58630141	558	-0.1981
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	58630284	58630407	2	-2.5939
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	58630980	58842105	135	-0.1672
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	58846414	63035883	2494	0.1237
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	63036727	65403117	1329	0.3798
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	65408072	68572502	2350	-0.2247
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	68574174	74925803	3732	0.1096
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	74927809	79003571	2812	0.1544
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	79003637	79009963	11	-0.5446
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	79010218	84386819	3458	0.1468
e522b2b3-eabb-4e4e-b8a6-cee2f3dae0ee	2	84388261	87070602	1425	0.0931
