GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	62920	15823420	8332	0.0292
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	15827002	15827430	6	-1.8221
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	15827706	16627347	313	0.0094
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	16627800	16643961	18	-0.3977
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	16679239	25275368	5350	0.0295
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	25275481	25320455	17	0.5
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	25336819	30264526	2386	0.021
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	30265508	30266949	6	-1.521
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	30268649	72303233	26327	0.0315
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	72303253	72346221	46	-1.0761
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	72346757	103556030	19972	0.0264
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	103557298	103616762	30	0.4707
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	103620877	108223733	2897	0.0229
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	108226680	108274557	2	-2.8092
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	108310648	112147704	2639	0.0287
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	112153343	112163440	28	0.4003
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	112163460	152583051	7582	0.0275
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	152583230	152613802	32	1.0546
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	152614064	152789532	174	0.0225
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	152789570	152796224	33	0.6915
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	152801429	196758720	29425	0.0271
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	196761905	196846661	60	-0.4202
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	196847600	229675422	21813	0.0289
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	229681109	229684449	3	-2.4651
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	229684709	240228440	8107	0.0272
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	240230715	240230824	5	-1.9307
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	240230839	248446755	5658	0.0365
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	248447206	248473963	10	-0.9343
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	1	248475325	248930189	190	0.0468
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	12784	89956227	59893	-0.1767
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	89960252	97210040	1049	0.0542
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	97210463	97350393	8	-0.6126
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	97350874	97643270	41	0.8217
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	97645672	106263639	5546	0.0523
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	106264257	106266773	4	-1.1953
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	106266875	106268901	7	-2.8275
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	106270799	121932408	8936	0.0531
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	121933993	122724152	554	-0.1672
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	122724331	122724665	5	-1.0481
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	122726077	127292558	2998	-0.1549
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	127293465	146104517	11299	0.0452
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	146106836	146109366	24	0.6806
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	146120238	198008047	31144	0.0486
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	198008509	241098436	27405	-0.149
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	2	241105676	242147305	435	0.0433
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	3	20930	514377	464	0.017
e413eb6e-a0f0-4f65-b4bf-68ab47a2b6e7	3	514553	6308195	5114	-0.1702
