GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	62920	668210	21	-0.2474
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	771719	2614211	484	0.2949
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	2614790	21992508	11592	0.1536
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	21996664	22010750	5	-1.4001
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	22011632	23631293	1012	0.1694
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	23632431	23633123	2	-1.3112
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	23634378	25256850	899	0.1684
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	25266637	25320455	24	1.0761
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	25336819	34625993	4951	0.1607
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	34626037	34652324	26	-0.3315
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	34652430	58016357	13830	0.1585
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	58016644	58017548	6	-0.6655
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	58018605	70232591	8663	0.1705
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	70235296	72303233	1263	-0.1655
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	72303253	72345465	45	-1.284
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	72346221	91762651	12735	-0.1543
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	91765288	91768263	3	-1.5212
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	91768996	105470754	8201	-0.161
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	105476583	105479753	17	-1.6572
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	105481433	120141112	9680	-0.1563
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	120144437	143494500	106	0.1359
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	143541857	143927887	124	-0.5353
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	143928045	152583051	2315	0.1709
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	152583230	152613762	31	-1.4976
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	152613802	174827267	15011	0.167
f990b636-50f2-43e6-8eef-9b4e7e36d4cd	1	174827418	174828195	7	-1.112
