GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	62920	16544783	8647	0.0081
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	16569132	16604834	4	-0.9759
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	16605031	16863509	52	-0.233
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	16864367	16902211	16	0.1732
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	16909189	16949746	39	0.4002
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	16951445	25256850	5264	0.0068
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	25266637	25320198	22	-1.8074
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	25320253	34626073	4954	0.0036
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	34637053	34638890	20	-0.5251
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	34648667	109684893	47422	0.001
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	109690352	109697556	13	0.6003
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	109702376	146150530	7445	0.0035
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	146161924	146174153	2	-1.5945
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	146250588	152583230	2132	-0.0024
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	152583291	152614118	34	0.3701
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	152618018	152783832	161	0.0375
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	152783934	152796224	43	-0.3402
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	152801429	169247699	11284	-0.0008
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	169264736	169272528	6	-2.2447
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	169273163	174827128	3517	-0.0014
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	174827267	174832702	17	-0.6172
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	174832716	199138574	16076	-0.0012
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	199142235	199145110	10	-0.6585
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	199145262	248574146	34264	-0.001
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	248585893	248645808	34	-0.6879
631fbef0-fe03-4c48-a42c-8c84475a8c49	1	248646068	248930189	139	-0.0327
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	12784	24818	7	-0.0942
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	29443	34346	6	-0.707
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	36862	13060017	9988	0.0042
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	13060284	13140124	43	0.3137
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	13142715	49401195	24893	-0.0003
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	49401280	49423007	33	0.5491
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	49427443	52516787	2173	-0.0076
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	52527330	52554404	40	0.7279
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	52560811	87286164	22055	-0.0023
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	87287256	87295819	3	-1.2189
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	87299357	87516129	35	-0.0615
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	87516162	87528459	7	-0.7506
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	87542032	97192190	1729	0.0031
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	97199600	97210536	11	-0.5689
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	97211069	97359885	16	-0.1498
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	97524284	97545247	8	0.8537
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	97545726	107824280	6572	-0.0005
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	107830513	107864451	2	1.5693
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	107875632	127085066	11357	0.001
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	127085617	127085913	2	-1.6335
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	127091296	128879447	1032	-0.0085
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	128880353	128882723	16	-0.3294
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	128882741	129438938	466	0.0129
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	129439035	129439206	2	-1.0735
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	129439575	130036283	409	-0.0211
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	130036310	130116915	13	-0.5434
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	130117303	138008280	4563	-0.007
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	138019027	138020296	2	-1.7577
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	138029485	146106875	4968	-0.0009
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	146106889	146109366	21	-1.8582
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	146120238	207490231	36969	-0.0009
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	207490454	207494612	16	-0.7799
631fbef0-fe03-4c48-a42c-8c84475a8c49	2	207494752	242147305	22083	0.0006
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	20930	37935926	27626	-0.0016
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	37940617	37945437	18	-0.8286
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	37945615	61141148	14239	0.0052
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	61141532	61142344	3	-0.974
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	61145227	68674077	5904	0.0005
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	68675541	68699901	22	0.436
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	68699914	99218940	15908	0.003
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	99225614	99230470	37	-0.5817
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	99230577	130067910	18725	-0.0001
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	130068178	130087393	27	0.4095
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	130088081	162790480	20270	-0.0017
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	162794869	162908192	69	-1.3349
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	162908207	167941968	2804	-0.0061
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	167942969	167943348	2	1.2469
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	167948129	193160173	16364	0.0007
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	193160256	193162798	7	1.0403
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	193162937	195685341	1500	0.0079
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	195691392	195720051	20	-0.8009
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	195728637	198111566	1168	-0.0019
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	198118345	198119048	4	-2.4774
631fbef0-fe03-4c48-a42c-8c84475a8c49	3	198121231	198169247	13	-0.4799
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	68929	34777238	22710	0.0053
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	34777340	34828327	48	0.451
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	34828382	40698556	3877	0.0022
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	40701994	40702175	3	-1.6459
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	40702670	49214614	5090	-0.0063
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	49289175	49289338	2	-1.511
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	49295203	62802116	7018	0.0053
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	62804218	62813912	9	0.5424
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	62818784	63828222	555	-0.0166
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	63831751	63842540	28	-1.4555
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	63850713	69257792	3250	0.0006
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	69261926	69366406	56	-0.4849
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	69370433	137171085	40590	-0.0026
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	137171266	137172260	13	-0.5856
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	137173804	156380587	11865	-0.0033
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	156384225	156384770	12	-0.4573
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	156386889	184888489	18554	0.0016
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	184888634	184919948	16	-0.4147
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	184920179	188300104	2300	0.0052
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	188300206	188300221	2	-1.6681
631fbef0-fe03-4c48-a42c-8c84475a8c49	4	188300270	190106768	1143	-0.0016
631fbef0-fe03-4c48-a42c-8c84475a8c49	5	15532	12800777	10187	-0.0041
631fbef0-fe03-4c48-a42c-8c84475a8c49	5	12815668	12826538	11	0.615
631fbef0-fe03-4c48-a42c-8c84475a8c49	5	12833745	15718383	1973	0.0064
631fbef0-fe03-4c48-a42c-8c84475a8c49	5	15719113	15723237	12	-0.702
631fbef0-fe03-4c48-a42c-8c84475a8c49	5	15723376	46271828	18491	-0.0051
