GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	62920	3054366	639	0.1569
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	3054992	12779433	5853	-0.001
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	12792599	12867264	31	-0.7196
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	12868035	16679483	2159	0.0015
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	16685961	16935752	78	0.5898
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	16949746	72303233	34039	-0.0014
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	72303253	72345465	45	-1.6918
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	72346221	75585159	1931	0.0042
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	75589078	75589169	2	-2.9296
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	75593824	105470754	19022	0.0025
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	105476583	105479753	17	0.5958
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	105481433	109684893	2634	0.0071
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	109690352	109697556	13	-0.5959
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	109702376	112147704	1951	-0.0061
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	112153343	112154768	25	0.597
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	112163334	152582700	7604	0.0095
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	152583051	152614118	36	1.0507
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	152618018	152789447	168	-0.0263
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	152789463	152796224	36	0.3626
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	152801429	161509648	5258	-0.0001
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	161532067	161678447	17	0.4976
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	161678831	189679027	19462	-0.0025
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	189679353	189679397	2	-1.6718
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	189682917	196745743	4739	0.0071
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	196758720	196832525	57	0.756
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	196832720	217536548	14181	-0.0007
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	217537191	217537218	2	-1.5197
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	217546221	248550567	21473	0.0005
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	248572774	248633912	34	-0.5133
db5f92fc-bf37-44be-bbe1-c27dbec2edac	1	248645563	248930189	141	0.1116
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	12784	4158097	2987	0.0125
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	4166274	4176135	40	-0.6474
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	4176243	34466002	21066	0.0037
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	34474248	34511990	46	-0.3526
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	34512096	43910765	6907	0.0097
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	43910882	43922053	4	-1.2463
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	43922303	52514599	6097	0.0036
db5f92fc-bf37-44be-bbe1-c27dbec2edac	2	52516787	52554404	41	0.6992
