GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	62920	259407	14	0.538
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	259422	10482064	5248	0.0173
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	10483779	10484989	5	-1.4579
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	10488805	12294250	953	0.0077
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	12295430	12295446	2	-1.8151
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	12297031	15822848	2112	0.0002
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	15823420	15828515	11	-0.686
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	15839166	75252283	36238	0.0063
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	75253316	75257466	6	-0.9212
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	75264386	94668626	12658	0.003
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	94668661	94668773	3	-1.4516
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	94669551	105470754	6537	0.0081
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	105476583	105479753	17	0.6637
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	105481433	108951525	2291	0.0103
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	108954232	108955523	14	-0.9047
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	108961034	152583051	9929	0.0071
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	152583230	152614118	35	1.0012
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	152618018	155210675	1547	0.0023
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	155219369	155231273	11	0.9974
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	155241876	169247699	9927	0.0055
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	169264736	169273163	8	-0.7814
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	169285639	196745743	18184	0.0082
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	196758720	196762956	4	-1.8628
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	196769493	196926551	117	0.1759
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	196926717	199138574	1313	0.0046
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	199142235	199143883	8	-0.7563
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	199144712	209897717	7407	0.0025
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	209908268	209908720	2	-2.2847
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	1	209910639	248930189	27020	0.0041
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	12784	6128120	4653	0.0173
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	6128620	6128861	3	-2.3935
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	6132447	6144010	7	-0.1472
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	6144741	6149553	4	-1.2853
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	6150821	35750907	20344	0.0092
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	35752724	35762881	7	-2.5735
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	35772407	52516787	12126	0.0174
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	52527330	52554404	40	-0.6805
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	52560811	71115321	12264	0.0131
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	71119433	71119695	6	-1.0477
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	71120262	87211079	9763	0.012
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	87218694	87218834	2	-1.6545
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	87221597	89044490	686	0.0164
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	89055939	89055950	2	-2.6104
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	89058542	97359885	1132	0.0245
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	97524284	97545726	9	-1.2319
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	97550415	131458124	20298	0.0132
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	131464435	131468795	3	-1.8122
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	131472229	139437827	4991	0.0161
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	139439483	139450933	11	-1.2029
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	139460438	141069793	1027	0.03
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	141074770	141076218	2	-1.3659
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	141080710	146106875	3075	0.003
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	146106889	146109366	21	0.7503
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	146120238	160883265	8938	0.0096
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	160885451	160885540	2	-1.3428
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	160886874	179546427	11556	0.0105
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	179548635	179557410	32	-0.818
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	179560916	183732349	2653	0.0027
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	183738008	183738977	7	-1.3453
e67a5529-4c6c-468c-9d16-3e5fa1f0e7d3	2	183743192	188693186	2720	0.0216
