GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	62920	462894	19	0.0066
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	599171	2647902	497	0.5124
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	2777898	6117854	2356	0.172
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	6119693	6987540	417	0.5504
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	6990595	11023266	2268	0.1597
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	11026077	11188058	77	0.476
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	11188180	12068793	460	0.1553
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	12069512	12134394	41	-0.2027
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	12134555	15822848	2205	0.1766
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	15823420	15828515	11	0.742
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	15839166	15948586	43	0.2606
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	15948752	16184303	104	0.0697
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	16187686	16785682	203	0.2584
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	16787932	17069913	130	0.0313
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	17070003	64549569	28682	0.1974
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	64552557	64699197	113	0.4216
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	64699272	69793955	3633	0.1955
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	69795527	72303233	1497	-0.3086
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	72303253	72345465	45	-1.2497
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	72346221	103560608	19956	-0.3092
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	103566616	103761017	36	0.238
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	103764621	105476583	916	-0.3321
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	105476614	105479722	14	0.4671
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	105479738	105591623	92	-0.2759
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	105593022	105594291	5	-1.5939
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	105596841	112147704	4495	-0.3063
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	112153343	112154619	23	0.1877
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	112154754	121598439	5157	-0.2908
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	121601998	145793372	197	0.1129
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	145793816	145808023	6	1.3279
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	145808800	152787202	2442	0.1068
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	152789447	152796224	37	0.8807
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	152801429	169246873	11267	0.0884
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	169247699	169273163	9	0.9051
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	169285639	174213100	3221	0.0976
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	174222712	174288827	25	0.4602
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	174289739	174826737	261	0.0923
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	174826800	174835901	37	0.3965
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	174835918	185134141	6968	0.0996
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	185138722	185164934	13	0.7778
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	185165763	196758720	7621	0.0852
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	196761905	196846661	60	0.5991
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	196847600	199124222	1348	0.0961
241b179d-c08c-4d0d-bc13-9480aa0d638a	1	199124748	199125422	2	-1.3891
