GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	62920	259926	16	-0.4431
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	266187	1251122	109	-0.0183
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	1251144	1301071	37	-0.2264
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	1301762	1946351	159	0.0612
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	1948516	3298168	415	-0.0912
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	3301765	25256850	13286	0.0041
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	25266637	25277975	11	-0.314
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	25278567	25284961	3	-1.1333
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	25289805	27343668	854	0.0107
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	27345434	27570236	77	0.1846
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	27576831	29061137	618	0.0108
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	29062177	29376573	162	0.2357
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	29379511	30265508	687	-0.0043
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	30265585	30272363	10	-0.5268
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	30274729	33398209	1609	-0.0144
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	33399467	33699399	207	0.2284
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	33699942	34626073	737	-0.0014
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	34637053	34638890	20	-2.4632
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	34648667	72284670	23756	0.0151
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	72290430	72296993	8	-0.8793
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	72297687	105470754	21004	0.0246
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	105476583	105479753	17	0.7107
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	105481433	109640399	2622	0.0179
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	109642611	109697533	27	0.3296
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	109697556	110796338	807	0.0015
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	110797422	110845604	68	0.1866
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	110849445	112147704	1073	0.0025
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	112153343	112154591	22	0.4995
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	112154619	114289343	1328	0.0361
7a57fe6b-5109-4b90-b0b6-11a45609982e	1	114291004	114291088	2	-1.1674
