GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
facd8b02-4901-4233-ad36-f7083681a564	1	62920	98602	13	-1.0646
facd8b02-4901-4233-ad36-f7083681a564	1	259407	16617327	8645	0.005
facd8b02-4901-4233-ad36-f7083681a564	1	16627347	16855942	45	0.3149
facd8b02-4901-4233-ad36-f7083681a564	1	16863509	25256850	5312	0.0061
facd8b02-4901-4233-ad36-f7083681a564	1	25266637	25320198	22	0.633
facd8b02-4901-4233-ad36-f7083681a564	1	25320253	72297687	28728	0.0058
facd8b02-4901-4233-ad36-f7083681a564	1	72302735	72345465	48	-1.3845
facd8b02-4901-4233-ad36-f7083681a564	1	72346221	102233874	19298	0.006
facd8b02-4901-4233-ad36-f7083681a564	1	102233909	102364936	103	0.1755
facd8b02-4901-4233-ad36-f7083681a564	1	102365133	102371989	12	-0.1912
facd8b02-4901-4233-ad36-f7083681a564	1	102372326	102393290	15	0.3108
facd8b02-4901-4233-ad36-f7083681a564	1	102396750	105470754	1523	0.0045
facd8b02-4901-4233-ad36-f7083681a564	1	105476583	105479753	17	0.7442
facd8b02-4901-4233-ad36-f7083681a564	1	105481433	109690352	2636	0.0105
facd8b02-4901-4233-ad36-f7083681a564	1	109690415	109702376	13	1.3957
facd8b02-4901-4233-ad36-f7083681a564	1	109703504	112147704	1948	0.009
facd8b02-4901-4233-ad36-f7083681a564	1	112153343	112154591	22	-0.5537
facd8b02-4901-4233-ad36-f7083681a564	1	112154619	143927887	5289	0.0112
facd8b02-4901-4233-ad36-f7083681a564	1	143928045	143942271	2	-1.2646
facd8b02-4901-4233-ad36-f7083681a564	1	144432083	152583051	2314	0.0248
facd8b02-4901-4233-ad36-f7083681a564	1	152583230	152614118	35	-1.5691
facd8b02-4901-4233-ad36-f7083681a564	1	152618018	248525314	65364	0.0049
facd8b02-4901-4233-ad36-f7083681a564	1	248546369	248645808	38	-0.7291
facd8b02-4901-4233-ad36-f7083681a564	1	248646068	248930189	139	0.0456
facd8b02-4901-4233-ad36-f7083681a564	2	12784	4158097	2985	-0.0061
facd8b02-4901-4233-ad36-f7083681a564	2	4166274	4176429	42	-0.6017
facd8b02-4901-4233-ad36-f7083681a564	2	4182472	24384085	14905	0.0047
facd8b02-4901-4233-ad36-f7083681a564	2	24384113	24388259	14	-0.7666
facd8b02-4901-4233-ad36-f7083681a564	2	24388858	42406144	12131	0.0069
facd8b02-4901-4233-ad36-f7083681a564	2	42408238	42419010	8	-0.8289
facd8b02-4901-4233-ad36-f7083681a564	2	42423068	48042112	3946	0.0009
facd8b02-4901-4233-ad36-f7083681a564	2	48043986	48052766	2	-1.6067
facd8b02-4901-4233-ad36-f7083681a564	2	48053339	79054496	20300	0.0062
facd8b02-4901-4233-ad36-f7083681a564	2	79055280	79056326	2	-1.7614
facd8b02-4901-4233-ad36-f7083681a564	2	79069893	86710564	4756	0.0064
facd8b02-4901-4233-ad36-f7083681a564	2	86725947	86726731	2	1.7769
facd8b02-4901-4233-ad36-f7083681a564	2	86743283	86902080	64	-0.0194
facd8b02-4901-4233-ad36-f7083681a564	2	86910262	87070602	10	-0.4272
facd8b02-4901-4233-ad36-f7083681a564	2	87074984	87117615	10	0.1157
facd8b02-4901-4233-ad36-f7083681a564	2	87134049	87228594	28	0.638
facd8b02-4901-4233-ad36-f7083681a564	2	87229739	87321927	28	-0.0883
facd8b02-4901-4233-ad36-f7083681a564	2	87321941	87747102	61	0.3466
facd8b02-4901-4233-ad36-f7083681a564	2	87835245	97359885	1729	-0.0088
facd8b02-4901-4233-ad36-f7083681a564	2	97524284	97545726	9	-0.8036
facd8b02-4901-4233-ad36-f7083681a564	2	97550415	111598165	8228	0.0002
facd8b02-4901-4233-ad36-f7083681a564	2	111600472	111610248	2	1.3361
facd8b02-4901-4233-ad36-f7083681a564	2	111615592	116831010	3082	0.0106
facd8b02-4901-4233-ad36-f7083681a564	2	116832191	116832277	2	-1.9007
facd8b02-4901-4233-ad36-f7083681a564	2	116833669	146107526	18091	0.006
facd8b02-4901-4233-ad36-f7083681a564	2	146107615	146120238	18	0.8994
facd8b02-4901-4233-ad36-f7083681a564	2	146120827	183929673	23284	0.0013
facd8b02-4901-4233-ad36-f7083681a564	2	183929787	183937714	16	-0.8003
facd8b02-4901-4233-ad36-f7083681a564	2	183943862	207490231	13663	0.0078
facd8b02-4901-4233-ad36-f7083681a564	2	207490454	207494752	17	-0.8039
facd8b02-4901-4233-ad36-f7083681a564	2	207494795	212324642	3045	0.0066
facd8b02-4901-4233-ad36-f7083681a564	2	212325270	212325966	9	0.6302
facd8b02-4901-4233-ad36-f7083681a564	2	212326024	231567559	12427	0.0061
facd8b02-4901-4233-ad36-f7083681a564	2	231567587	231569283	4	-0.9915
facd8b02-4901-4233-ad36-f7083681a564	2	231569950	242147305	6587	-0.008
facd8b02-4901-4233-ad36-f7083681a564	3	20930	2718513	2352	0.0805
facd8b02-4901-4233-ad36-f7083681a564	3	2719100	26384700	17533	0.009
facd8b02-4901-4233-ad36-f7083681a564	3	26392633	26397852	5	-1.0965
facd8b02-4901-4233-ad36-f7083681a564	3	26404482	37940970	7740	0.0046
facd8b02-4901-4233-ad36-f7083681a564	3	37941181	37945437	16	-0.9391
facd8b02-4901-4233-ad36-f7083681a564	3	37945615	46008216	5060	0.0042
facd8b02-4901-4233-ad36-f7083681a564	3	46008344	46010221	2	-2.2006
facd8b02-4901-4233-ad36-f7083681a564	3	46010251	59725291	7589	0.0025
facd8b02-4901-4233-ad36-f7083681a564	3	59727665	61055218	1485	0.0685
facd8b02-4901-4233-ad36-f7083681a564	3	61057116	68697013	6006	0.0047
facd8b02-4901-4233-ad36-f7083681a564	3	68697108	68698262	14	1.4127
facd8b02-4901-4233-ad36-f7083681a564	3	68699607	99217783	15910	0.0059
facd8b02-4901-4233-ad36-f7083681a564	3	99218119	99232120	41	-0.5835
facd8b02-4901-4233-ad36-f7083681a564	3	99232539	130044855	18709	0.0033
facd8b02-4901-4233-ad36-f7083681a564	3	130047743	130088155	39	0.5687
facd8b02-4901-4233-ad36-f7083681a564	3	130089433	134315359	2769	0.0035
facd8b02-4901-4233-ad36-f7083681a564	3	134317451	134317578	2	-1.912
facd8b02-4901-4233-ad36-f7083681a564	3	134317872	162815162	17506	0.0093
facd8b02-4901-4233-ad36-f7083681a564	3	162816942	162822221	4	0.9077
facd8b02-4901-4233-ad36-f7083681a564	3	162822685	162822702	2	2.7287
facd8b02-4901-4233-ad36-f7083681a564	3	162827928	162908207	48	-0.311
facd8b02-4901-4233-ad36-f7083681a564	3	162908784	174266156	6875	0.0133
facd8b02-4901-4233-ad36-f7083681a564	3	174266292	174266424	2	-1.2484
facd8b02-4901-4233-ad36-f7083681a564	3	174267651	175383192	810	-0.0148
facd8b02-4901-4233-ad36-f7083681a564	3	175383442	176190279	496	0.1088
facd8b02-4901-4233-ad36-f7083681a564	3	176190293	193160173	10985	0.0066
facd8b02-4901-4233-ad36-f7083681a564	3	193160256	193165114	18	1.1255
