GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	62920	783283	24	0.8305
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	787937	3239225	690	0.1327
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	3239578	12778601	5774	0.0039
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	12779433	13270143	40	0.7122
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	13323538	15827041	1812	-0.0007
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	15827259	15828471	7	0.7144
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	15828515	16421284	254	-0.0108
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	16424738	16427406	3	-0.8699
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	16431335	16488499	32	0.0072
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	16489035	16955930	124	0.4125
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	16956580	25256850	5255	-0.004
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	25266637	25320455	24	0.6934
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	25336819	34622883	4945	0.0049
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	34625857	34648667	25	0.3906
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	34649941	40497632	3149	0
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	40500511	40503391	5	-1.0557
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	40503992	65431666	16108	0
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	65432064	65444442	10	-0.5817
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	65445924	68128798	1995	0.0043
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	68128957	68129267	3	-1.0394
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	68129910	72303233	2497	-0.0028
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	72303253	72345465	45	-1.2482
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	72346221	89009572	10939	0.0003
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	89012275	89012522	2	-3.4073
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	89015841	103615687	9089	0.0014
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	103616725	103717410	7	1.2087
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	103717617	105476614	921	0.0156
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	105476688	105479753	15	0.9063
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	105481433	108187137	1937	0.004
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	108191613	108192255	2	-4.5391
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	108194874	108223733	18	0.0113
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	108226680	108274557	2	-2.5792
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	108310648	109690352	677	-0.0056
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	109690415	109702376	13	-0.6496
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	109703504	110792420	805	-0.0093
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	110796338	110869657	102	0.1751
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	110872270	119566637	5788	-0.0087
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	119567888	119586838	30	0.4136
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	119586869	120146498	307	-0.0035
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	120370887	120885477	5	1.1803
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	120954128	121562160	84	0.0892
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	121562506	121601998	11	0.4324
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	121705338	143928045	128	0.7466
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	143942271	145674253	22	0.41
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	145677175	145995419	138	-0.0338
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	145998404	149849047	745	0.1048
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	149878801	152583051	1412	0.0038
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	152583230	152614118	35	1.568
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	152618018	152787202	167	0.004
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	152789447	152796224	37	0.9437
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	152801429	174827418	14812	-0.0011
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	174827561	174828472	12	-0.5474
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	174828549	175669485	626	-0.002
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	175670569	175711488	41	0.3071
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	175717494	190917377	10130	-0.0029
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	190917643	190920555	3	-1.3013
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	190921424	191807944	507	0.0111
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	191808235	191808711	7	-0.6991
5bc1a1ea-973c-4169-9ded-32d936b3e40e	1	191811253	194479104	1880	0.0072
