GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	62920	15163114	7914	-0.002
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	15163129	15163694	10	-0.5022
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	15163790	25276440	6111	0.0053
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	25277975	25292549	7	-0.7339
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	25301974	34637053	4960	0.0072
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	34637069	34638890	19	-0.5087
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	34648667	61647430	16469	0.0013
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	61648334	61652515	4	-0.8258
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	61654137	72302815	7297	-0.0017
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	72303233	72345465	46	-0.9285
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	72346221	78323769	3768	-0.001
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	78323890	78324107	2	1.051
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	78329348	81421910	2009	0.01
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	81422771	81422917	2	1.0298
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	81422920	81423039	5	-0.7468
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	81423183	105470132	15169	0.0031
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	105470754	105479738	17	0.5152
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	105479753	109690352	2639	0.0044
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	109690415	109697556	12	-1.0085
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	109702376	121573699	7125	0.0056
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	121580012	147620166	747	0.0731
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	147620693	152583051	1702	0.0059
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	152583230	152614100	34	-1.6915
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	152614118	152784330	165	0.0207
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	152785214	152796224	39	0.3732
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	152801429	157508748	2491	0.0002
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	157512664	157513157	2	-1.3572
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	157513483	169247699	8789	0.0048
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	169264736	169272528	7	0.7875
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	169273163	185444970	10729	0.0059
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	185447538	185447580	2	-1.2334
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	185451592	193186662	5047	-0.0039
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	193187149	193187218	4	0.8483
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	193190593	196843377	2454	0.0036
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	196843400	196846661	2	-2.9226
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	196847600	208313444	7469	0.0032
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	208316136	208316756	3	-1.4416
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	208317550	246109239	26673	0.0017
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	246109339	246123054	16	0.4249
0f8fda02-61f3-4bbf-b856-21cae97c281e	1	246123147	248930189	1652	0.0325
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	12784	35750907	25004	0.0057
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	35752724	35762850	6	-1.6977
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	35762881	52512079	12125	0.009
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	52514599	52554404	42	0.426
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	52560811	86901078	21980	0.0084
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	86902080	86934730	3	-1.3551
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	86945604	87082140	11	-0.3401
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	87082711	87211079	29	-0.0084
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	87218694	87218834	2	-1.0226
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	87221597	88940241	641	0.0059
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	88944108	89156391	70	0.167
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	89161562	89305244	36	-0.0683
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	89896149	91702815	139	-0.7734
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	91703526	106258266	6511	0
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	106263639	106268901	12	-2.2081
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	106270799	122719438	9494	0.0047
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	122722323	122724665	8	-0.849
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	122726077	134260216	6966	0.0107
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	134260317	134260544	3	-1.053
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	134261072	146106875	7353	0.0022
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	146106889	146109366	21	0.6613
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	146120238	207490231	36969	0.0023
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	207490454	207494612	16	-0.8052
0f8fda02-61f3-4bbf-b856-21cae97c281e	2	207494752	242147305	22080	0.0007
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	20930	1740119	1538	0.0501
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	1740840	1745897	6	-1.0917
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	1747474	6604856	4273	0.0235
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	6609441	6611645	23	-0.6439
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	6613391	35915749	20356	0.0088
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	35916139	35924454	5	-0.7948
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	35928447	37935926	1427	0.0094
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	37940617	37947137	26	-0.5695
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	37947245	59603515	12518	0.0073
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	59605809	59616161	4	-1.0203
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	59621492	59709868	109	0.0052
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	59714834	61015392	1463	0.0646
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	61015627	62681587	1369	0.0099
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	62684964	62685267	2	-1.0224
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	62685283	65202778	2192	0.0042
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	65203560	65224777	52	-0.6977
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	65230674	75519398	7364	0.0045
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	75523398	75547095	8	0.7512
0f8fda02-61f3-4bbf-b856-21cae97c281e	3	75559488	130044016	29720	0.0064
