GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
08620aad-0299-477a-ab8f-3339f5f45d60	1	62920	1362042	182	0.1437
08620aad-0299-477a-ab8f-3339f5f45d60	1	1362366	1517980	9	-0.7456
08620aad-0299-477a-ab8f-3339f5f45d60	1	1518222	2930411	380	0.1047
08620aad-0299-477a-ab8f-3339f5f45d60	1	2934155	72284670	42185	0.0003
08620aad-0299-477a-ab8f-3339f5f45d60	1	72290430	72303253	13	-0.5094
08620aad-0299-477a-ab8f-3339f5f45d60	1	72305460	72352916	49	0.4956
08620aad-0299-477a-ab8f-3339f5f45d60	1	72353096	75585159	1920	-0.008
08620aad-0299-477a-ab8f-3339f5f45d60	1	75589078	75589169	2	-2.1479
08620aad-0299-477a-ab8f-3339f5f45d60	1	75593824	105476583	18998	0.0073
08620aad-0299-477a-ab8f-3339f5f45d60	1	105476614	105479753	16	-1.8871
08620aad-0299-477a-ab8f-3339f5f45d60	1	105481433	110834746	3483	0.0053
08620aad-0299-477a-ab8f-3339f5f45d60	1	110834943	110845604	38	-0.7847
08620aad-0299-477a-ab8f-3339f5f45d60	1	110849445	112153571	1077	0.0125
08620aad-0299-477a-ab8f-3339f5f45d60	1	112153651	112154576	18	0.6055
08620aad-0299-477a-ab8f-3339f5f45d60	1	112154591	121528371	5134	0
08620aad-0299-477a-ab8f-3339f5f45d60	1	121528662	152787202	2675	0.1201
08620aad-0299-477a-ab8f-3339f5f45d60	1	152789447	152796224	37	0.7867
08620aad-0299-477a-ab8f-3339f5f45d60	1	152801429	196758720	29429	0.1006
08620aad-0299-477a-ab8f-3339f5f45d60	1	196761905	196771842	11	0.8333
08620aad-0299-477a-ab8f-3339f5f45d60	1	196771987	248446755	35644	0.0899
08620aad-0299-477a-ab8f-3339f5f45d60	1	248447206	248458096	3	-1.5463
08620aad-0299-477a-ab8f-3339f5f45d60	1	248458851	248930189	197	0.1377
08620aad-0299-477a-ab8f-3339f5f45d60	2	12784	34295406	23978	0.0087
08620aad-0299-477a-ab8f-3339f5f45d60	2	34298911	34300513	2	-2.1485
08620aad-0299-477a-ab8f-3339f5f45d60	2	34300900	34474248	96	0.0577
08620aad-0299-477a-ab8f-3339f5f45d60	2	34476327	34511990	45	0.7015
08620aad-0299-477a-ab8f-3339f5f45d60	2	34512096	41011095	4797	0.0077
08620aad-0299-477a-ab8f-3339f5f45d60	2	41011303	41018409	21	-0.7083
08620aad-0299-477a-ab8f-3339f5f45d60	2	41018747	95757191	31492	0.0145
08620aad-0299-477a-ab8f-3339f5f45d60	2	95778175	95805807	3	-1.8306
08620aad-0299-477a-ab8f-3339f5f45d60	2	95809811	95947151	37	-0.0207
08620aad-0299-477a-ab8f-3339f5f45d60	2	95954932	97124542	441	0.0918
08620aad-0299-477a-ab8f-3339f5f45d60	2	97128607	97160405	10	-0.5474
08620aad-0299-477a-ab8f-3339f5f45d60	2	97160480	97359885	44	0.1722
08620aad-0299-477a-ab8f-3339f5f45d60	2	97524284	97545726	9	-0.9386
08620aad-0299-477a-ab8f-3339f5f45d60	2	97550415	115125203	10288	0.0967
08620aad-0299-477a-ab8f-3339f5f45d60	2	115128221	115133537	4	-1.1149
08620aad-0299-477a-ab8f-3339f5f45d60	2	115133950	122724331	4773	0.0911
08620aad-0299-477a-ab8f-3339f5f45d60	2	122724526	122724665	4	-1.0399
08620aad-0299-477a-ab8f-3339f5f45d60	2	122726077	124102559	946	0.1015
08620aad-0299-477a-ab8f-3339f5f45d60	2	124103243	125248133	732	-0.1495
08620aad-0299-477a-ab8f-3339f5f45d60	2	125248397	132750736	4138	-0.1062
08620aad-0299-477a-ab8f-3339f5f45d60	2	132750807	137730530	3342	-0.1571
08620aad-0299-477a-ab8f-3339f5f45d60	2	137731957	137737677	2	1.4724
08620aad-0299-477a-ab8f-3339f5f45d60	2	137738322	140270088	1560	-0.1369
08620aad-0299-477a-ab8f-3339f5f45d60	2	140272945	141258057	620	-0.3789
08620aad-0299-477a-ab8f-3339f5f45d60	2	141260251	146104517	2965	-0.1526
08620aad-0299-477a-ab8f-3339f5f45d60	2	146106836	146109366	24	0.7719
08620aad-0299-477a-ab8f-3339f5f45d60	2	146120238	174026686	17088	-0.1535
08620aad-0299-477a-ab8f-3339f5f45d60	2	174030784	174098352	38	0.0336
08620aad-0299-477a-ab8f-3339f5f45d60	2	174098751	174429046	171	0.298
08620aad-0299-477a-ab8f-3339f5f45d60	2	174429882	186449347	7428	0.0795
08620aad-0299-477a-ab8f-3339f5f45d60	2	186450854	188320404	1006	0.2691
08620aad-0299-477a-ab8f-3339f5f45d60	2	188321039	188323803	3	-0.8976
08620aad-0299-477a-ab8f-3339f5f45d60	2	188323991	189455357	588	0.2795
08620aad-0299-477a-ab8f-3339f5f45d60	2	189456425	189456702	2	-1.3625
08620aad-0299-477a-ab8f-3339f5f45d60	2	189458650	205392509	9271	0.2738
08620aad-0299-477a-ab8f-3339f5f45d60	2	205393035	242147305	23430	0.0737
08620aad-0299-477a-ab8f-3339f5f45d60	3	20930	6609441	5812	-0.1322
08620aad-0299-477a-ab8f-3339f5f45d60	3	6609524	6611645	22	-0.6679
08620aad-0299-477a-ab8f-3339f5f45d60	3	6613391	11066166	3536	-0.128
08620aad-0299-477a-ab8f-3339f5f45d60	3	11066468	11074235	4	-1.2607
08620aad-0299-477a-ab8f-3339f5f45d60	3	11076973	11110819	17	-0.1932
08620aad-0299-477a-ab8f-3339f5f45d60	3	11111823	40001354	19566	-0.1074
08620aad-0299-477a-ab8f-3339f5f45d60	3	40003609	60081558	11776	-0.1261
08620aad-0299-477a-ab8f-3339f5f45d60	3	60081670	60992990	965	-0.1913
08620aad-0299-477a-ab8f-3339f5f45d60	3	60993838	60998932	5	-1.1708
08620aad-0299-477a-ab8f-3339f5f45d60	3	61001899	68676600	6043	-0.1309
08620aad-0299-477a-ab8f-3339f5f45d60	3	68682877	68698262	16	0.7646
08620aad-0299-477a-ab8f-3339f5f45d60	3	68699607	90453712	13043	-0.1215
08620aad-0299-477a-ab8f-3339f5f45d60	3	91390926	98327190	2342	0.06
08620aad-0299-477a-ab8f-3339f5f45d60	3	98327408	102611727	2413	0.143
08620aad-0299-477a-ab8f-3339f5f45d60	3	102612705	125717394	14350	0.051
08620aad-0299-477a-ab8f-3339f5f45d60	3	125724765	125739919	10	0.9696
08620aad-0299-477a-ab8f-3339f5f45d60	3	125743486	130044016	2457	0.046
08620aad-0299-477a-ab8f-3339f5f45d60	3	130044855	130067366	7	-0.7533
08620aad-0299-477a-ab8f-3339f5f45d60	3	130067443	130079892	25	-1.776
08620aad-0299-477a-ab8f-3339f5f45d60	3	130079938	130087393	6	-0.4639
08620aad-0299-477a-ab8f-3339f5f45d60	3	130088081	162405578	19977	0.0518
08620aad-0299-477a-ab8f-3339f5f45d60	3	162419812	162424900	13	-0.8097
08620aad-0299-477a-ab8f-3339f5f45d60	3	162424917	162790480	257	0.0647
08620aad-0299-477a-ab8f-3339f5f45d60	3	162794869	162908784	71	0.4643
08620aad-0299-477a-ab8f-3339f5f45d60	3	162908815	165323075	1313	0.0656
08620aad-0299-477a-ab8f-3339f5f45d60	3	165323760	165364151	65	-0.8971
08620aad-0299-477a-ab8f-3339f5f45d60	3	165367641	175227779	6127	0.0496
08620aad-0299-477a-ab8f-3339f5f45d60	3	175228122	175228137	2	-1.753
08620aad-0299-477a-ab8f-3339f5f45d60	3	175228157	175362803	136	0.0422
08620aad-0299-477a-ab8f-3339f5f45d60	3	175362822	175363437	5	-0.9201
08620aad-0299-477a-ab8f-3339f5f45d60	3	175363536	189642489	8996	0.0572
08620aad-0299-477a-ab8f-3339f5f45d60	3	189642965	189653199	13	-0.7844
08620aad-0299-477a-ab8f-3339f5f45d60	3	189653225	193169631	2520	0.0607
08620aad-0299-477a-ab8f-3339f5f45d60	3	193169962	193170898	4	1.1704
08620aad-0299-477a-ab8f-3339f5f45d60	3	193171175	195685341	1471	0.0473
08620aad-0299-477a-ab8f-3339f5f45d60	3	195691392	195747892	39	-0.4751
08620aad-0299-477a-ab8f-3339f5f45d60	3	195751823	198169247	1165	0.0515
08620aad-0299-477a-ab8f-3339f5f45d60	4	68929	178860	61	-0.1574
08620aad-0299-477a-ab8f-3339f5f45d60	4	181757	9455251	5098	-0.0099
08620aad-0299-477a-ab8f-3339f5f45d60	4	9459504	9477699	6	1.3493
08620aad-0299-477a-ab8f-3339f5f45d60	4	9484440	10208766	540	-0.0049
08620aad-0299-477a-ab8f-3339f5f45d60	4	10212536	10233383	33	-1.7413
08620aad-0299-477a-ab8f-3339f5f45d60	4	10233542	10388498	173	0.022
08620aad-0299-477a-ab8f-3339f5f45d60	4	10389091	10401122	19	0.5152
08620aad-0299-477a-ab8f-3339f5f45d60	4	10401140	34777432	16766	-0.003
08620aad-0299-477a-ab8f-3339f5f45d60	4	34784878	34823103	38	-2.0281
08620aad-0299-477a-ab8f-3339f5f45d60	4	34828250	49214614	8967	-0.0054
08620aad-0299-477a-ab8f-3339f5f45d60	4	49289175	49289338	2	-2.2047
08620aad-0299-477a-ab8f-3339f5f45d60	4	49295203	63828222	7574	0
08620aad-0299-477a-ab8f-3339f5f45d60	4	63831751	63842540	28	0.4656
08620aad-0299-477a-ab8f-3339f5f45d60	4	63850713	68418873	2853	-0.0169
08620aad-0299-477a-ab8f-3339f5f45d60	4	68422420	68422424	3	-2.1358
08620aad-0299-477a-ab8f-3339f5f45d60	4	68429081	68506285	12	0.0686
08620aad-0299-477a-ab8f-3339f5f45d60	4	68509223	68674307	72	0.4706
08620aad-0299-477a-ab8f-3339f5f45d60	4	68686026	84820793	9970	-0.0118
