GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	62920	98602	13	-0.5239
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	259407	953279	51	0.195
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	965731	2916595	496	-0.1525
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	2916767	5699431	2032	0.0646
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	5704819	16855942	6094	0
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	16863509	16997950	77	-0.2246
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	16999460	17675364	459	0.0178
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	17677451	18435006	634	0.0933
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	18435399	25256850	4146	-0.0001
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	25266637	25320198	22	-2.4192
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	25320253	72302735	28727	0.0233
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	72302815	72345465	47	-1.5016
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	72346221	81422771	5778	0.0311
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	81422917	81423009	5	1.1255
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	81423039	105470754	15167	0.0257
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	105476583	105479738	16	0.6191
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	105479753	112147704	4599	0.0301
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	112153343	112154576	21	-0.5447
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	112154591	147948640	6089	0.0224
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	148001943	151616339	930	-0.0698
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	151616994	152588065	589	0.0355
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	152588392	152607145	18	0.4397
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	152607349	152789532	178	0.0375
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	152789570	152795783	28	0.5443
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	152795805	153220702	336	0.0334
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	153221008	153225469	4	-0.9909
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	153228332	169247699	10945	0.0283
92fb927e-5d80-4090-ad89-5416cfd8f1dc	1	169264736	169272528	6	-2.038
