GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	62920	4361012	1387	-0.0133
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	4361945	4363836	3	-1.13
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	4364038	16627347	7271	0.0095
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	16627800	16855942	44	-0.2828
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	16863509	72297687	34092	0.0036
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	72302735	72345465	48	-1.6812
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	72346221	105470132	20960	0.0029
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	105470754	105479753	18	0.9006
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	105481433	109690352	2638	0.0089
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	109690415	109697556	12	-1.7851
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	109702376	110833598	836	0.0205
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	110834746	110841332	36	-0.5943
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	110841350	143708096	6344	0.0103
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	143708149	143811517	45	0.2819
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	143890323	152787202	2522	0.012
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	152789447	152796224	37	0.6716
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	152801429	153366548	460	0.0013
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	153368173	153368348	2	-1.1944
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	153371898	165422145	7849	0.0044
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	165422714	165423392	3	-1.3227
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	165424608	165865957	385	-0.0011
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	165866127	165866453	4	-0.784
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	165868741	189287661	15773	0.0041
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	189289682	189524906	141	0.1604
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	189528397	196745743	4859	0.0099
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	196758720	196820098	44	0.3151
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	196820637	196832720	14	-0.2764
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	196843377	196932623	65	-0.8463
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	196936029	248123690	35377	0.0029
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	248124486	248633821	245	0.1289
f3995834-5f3c-4c05-b34a-f20abfc82b9e	1	248633912	248930189	142	0.0051
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	12784	12163947	9301	0.004
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	12163964	12164245	5	-0.7984
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	12164352	34466002	14792	0.0034
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	34474248	34512096	47	0.4688
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	34512489	52527330	13010	0.0103
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	52527342	52554404	39	0.5414
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	52560811	66927524	9332	0.0002
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	66930028	66931184	2	-1.2379
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	66931923	86901078	12657	0.0041
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	86902080	86910262	2	-1.8738
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	86934730	97359885	1865	0.0135
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	97524284	97545247	8	0.8306
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	97545726	105767676	5149	0.0046
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	105768041	105768060	2	1.3696
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	105770408	113604438	4215	0.0097
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	113604837	113604839	2	-1.4684
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	113623244	116697381	1876	0.0027
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	116700116	117199130	295	0.091
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	117205997	124287092	4652	0.0016
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	124288541	125731502	893	0.0716
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	125734020	128880504	1890	0.0087
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	128880904	128882741	15	-0.8015
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	128882755	139603816	6407	0.0072
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	139608522	139615765	2	-3.795
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	139620979	146104517	4009	-0.001
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	146106836	146109366	24	-0.4328
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	146120238	183929673	23292	0.0015
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	183929787	183937714	16	-0.634
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	183943862	241546934	35590	0.0038
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	241547120	241547397	3	1.1711
f3995834-5f3c-4c05-b34a-f20abfc82b9e	2	241555977	242147305	178	0.0127
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	20930	2493088	2158	0.0689
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	2510881	32727697	22196	0.0106
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	32728734	32729267	2	-1.5287
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	32733262	33005364	128	0.0089
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	33005858	33007329	2	-4.0143
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	33009209	47358421	8987	-0.0009
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	47358841	47363961	3	-1.1663
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	47367722	81545929	22673	0.0068
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	81546941	81548156	3	-1.1117
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	81551646	99218940	7574	0.0127
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	99225614	99230470	37	-2.2768
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	99230577	105580934	3784	0.0002
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	105581401	105632179	35	-1.0228
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	105635104	130044016	14893	0.0008
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	130044855	130087393	38	-0.5619
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	130088081	146570803	10303	0.006
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	146571016	146571233	2	-3.0759
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	146571663	147958991	781	0.0508
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	147959483	162299535	8871	0.0057
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	162300761	162795304	320	0.0774
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	162795361	162807070	9	-0.5328
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	162810842	162822702	10	0.1466
f3995834-5f3c-4c05-b34a-f20abfc82b9e	3	162827928	162906065	44	-0.4072
