GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8b940711-2f9d-4b43-9101-03acfddaaa28	1	62920	86341	11	-0.9177
8b940711-2f9d-4b43-9101-03acfddaaa28	1	98588	3302359	727	0.0796
8b940711-2f9d-4b43-9101-03acfddaaa28	1	3303537	7871528	3161	0.2285
8b940711-2f9d-4b43-9101-03acfddaaa28	1	7871612	16569132	4747	0.5172
8b940711-2f9d-4b43-9101-03acfddaaa28	1	16570326	16686246	33	-0.0443
8b940711-2f9d-4b43-9101-03acfddaaa28	1	16689764	16902211	38	0.4942
8b940711-2f9d-4b43-9101-03acfddaaa28	1	16909189	16935752	38	0.77
8b940711-2f9d-4b43-9101-03acfddaaa28	1	16949746	17514507	403	0.4888
8b940711-2f9d-4b43-9101-03acfddaaa28	1	17516673	19588107	1487	0.2509
8b940711-2f9d-4b43-9101-03acfddaaa28	1	19595253	25088630	3249	0.5225
8b940711-2f9d-4b43-9101-03acfddaaa28	1	25089191	25090270	2	-1.0107
8b940711-2f9d-4b43-9101-03acfddaaa28	1	25092208	43780268	10284	0.5018
8b940711-2f9d-4b43-9101-03acfddaaa28	1	43780892	50067414	3448	0.2219
8b940711-2f9d-4b43-9101-03acfddaaa28	1	50068568	50149844	51	0.4741
8b940711-2f9d-4b43-9101-03acfddaaa28	1	50150117	50982747	404	0.2232
8b940711-2f9d-4b43-9101-03acfddaaa28	1	50983462	56029448	3080	-0.1401
8b940711-2f9d-4b43-9101-03acfddaaa28	1	56029695	56030972	3	-1.5398
8b940711-2f9d-4b43-9101-03acfddaaa28	1	56033778	68035200	9015	-0.1505
8b940711-2f9d-4b43-9101-03acfddaaa28	1	68037052	72284670	2569	-0.2147
8b940711-2f9d-4b43-9101-03acfddaaa28	1	72290430	72297687	9	-2.5085
8b940711-2f9d-4b43-9101-03acfddaaa28	1	72302735	72345465	48	0.7688
8b940711-2f9d-4b43-9101-03acfddaaa28	1	72346221	75585159	1930	-0.2125
8b940711-2f9d-4b43-9101-03acfddaaa28	1	75589078	75589169	2	-2.7647
8b940711-2f9d-4b43-9101-03acfddaaa28	1	75593824	89009572	8994	-0.194
8b940711-2f9d-4b43-9101-03acfddaaa28	1	89012275	89012522	2	-3.218
8b940711-2f9d-4b43-9101-03acfddaaa28	1	89015841	89895195	549	-0.201
8b940711-2f9d-4b43-9101-03acfddaaa28	1	89895823	95666291	3671	-0.1415
8b940711-2f9d-4b43-9101-03acfddaaa28	1	95671040	105476583	5781	-0.2096
8b940711-2f9d-4b43-9101-03acfddaaa28	1	105476614	105479753	16	-1.6728
8b940711-2f9d-4b43-9101-03acfddaaa28	1	105481433	107111598	1080	-0.1992
8b940711-2f9d-4b43-9101-03acfddaaa28	1	107112980	107118316	8	-6.3027
8b940711-2f9d-4b43-9101-03acfddaaa28	1	107118984	107120873	3	-2.5006
8b940711-2f9d-4b43-9101-03acfddaaa28	1	107122811	109684893	1541	-0.176
8b940711-2f9d-4b43-9101-03acfddaaa28	1	109690352	109697556	13	1.3369
8b940711-2f9d-4b43-9101-03acfddaaa28	1	109702376	111769532	1581	-0.1783
8b940711-2f9d-4b43-9101-03acfddaaa28	1	111769589	111769929	3	0.949
8b940711-2f9d-4b43-9101-03acfddaaa28	1	111770456	112147704	363	-0.15
8b940711-2f9d-4b43-9101-03acfddaaa28	1	112153343	112154619	23	-1.9269
8b940711-2f9d-4b43-9101-03acfddaaa28	1	112154754	143494500	5161	-0.1536
8b940711-2f9d-4b43-9101-03acfddaaa28	1	143541857	146788785	311	0.2334
8b940711-2f9d-4b43-9101-03acfddaaa28	1	147004967	152583668	2137	0.5114
8b940711-2f9d-4b43-9101-03acfddaaa28	1	152583938	152614118	29	-0.2463
8b940711-2f9d-4b43-9101-03acfddaaa28	1	152618018	152787202	167	0.5234
