GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	62920	15028627	7816	0.1144
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	15028745	15029533	2	-1.6574
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	15030069	15823420	517	0.1251
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	15827002	15827430	6	-0.668
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	15827706	16037445	89	0.1457
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	16041638	16052921	6	1.0916
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	16063071	16504088	202	0.1323
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	16504325	16951445	118	-0.2288
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	16955930	18819939	1405	0.1156
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	18827270	18827571	3	-0.9239
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	18829475	21433302	1608	0.134
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	21433632	21443394	2	-1.3364
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	21443504	25256352	2239	0.1186
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	25256800	25336853	28	-0.4346
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	25346663	33565974	4113	0.1138
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	33569049	33570879	4	-1.3395
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	33573344	40197207	3864	0.119
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	40197992	46870969	3757	0.403
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	46872530	72297687	16999	-0.0374
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	72302735	72345465	46	1.4359
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	72346221	81656251	6009	-0.0568
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	81657800	82247270	338	-0.1688
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	82247295	93058454	7023	-0.0367
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	93058782	93427646	166	-0.4412
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	93431208	93584371	76	-0.0206
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	93590333	103560166	6370	-0.4568
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	103560435	103760781	36	0.3474
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	103760879	105470132	916	-0.4734
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	105470754	105479753	18	-1.1323
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	105481433	108223733	1958	-0.4754
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	108226680	108274557	2	-2.5912
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	108310648	121705338	7811	-0.4367
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	143459641	152582700	2438	0.2995
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	152583051	152614118	36	1.6477
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	152618018	152787202	166	0.2929
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	152789447	152795487	31	0.6961
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	152795783	153701198	631	0.3191
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	153704086	153720772	7	0.9835
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	153722864	160963978	4371	0.2958
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	160967230	160969731	3	-1.5635
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	160970242	169247699	6269	0.2851
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	169264736	169272528	7	1.1956
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	169273163	196745743	18170	0.2804
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	196758720	196802150	43	0.5898
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	196820098	209897717	8803	0.2939
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	209908268	209910639	3	-2.0424
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	209913207	211747218	1274	0.2817
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	211750093	211750108	2	-1.0996
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	211752252	212518439	420	0.2802
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	212519903	218561292	4371	0.2362
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	218569402	222193326	2534	0.2922
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	222201492	222203662	2	-2.5307
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	222208792	236938058	9858	0.2912
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	236938304	238193777	1056	0.2457
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	238195156	238195286	2	-1.2375
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	238196414	241010985	2233	0.2273
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	241016788	241047009	34	-0.1112
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	241047168	241796829	602	0.2482
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	1	241800736	248930189	4630	0.2763
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	12784	12461536	9592	0.0552
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	12470279	14359968	1273	-0.1402
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	14360310	14360378	3	-1.3765
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	14363049	15063036	575	-0.1025
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	15065697	15071669	6	-0.9946
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	15075078	15510762	286	-0.1318
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	15511299	34466002	12354	0.0469
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	34474248	34515572	50	-0.4176
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	34515690	35750907	867	0.0308
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	35752724	35762881	7	0.8205
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	35772407	41011095	3921	0.051
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	41011303	41018747	22	-1.0654
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	41024093	50444360	6715	0.0619
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	50449169	50947496	384	-0.2969
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	50949616	50974065	16	-0.917
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	50977482	52527342	1064	-0.2952
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	52527362	52554384	37	0.2267
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	52554404	76990184	15830	-0.2484
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	76994194	76998804	5	-1.8475
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	76998855	85933931	5610	-0.2689
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	85938320	114833781	12553	-0.2096
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	114836033	116543752	994	0.0925
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	116548103	122092721	3459	-0.2251
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	122095850	130036283	5250	0.1162
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	130036310	132007187	646	-0.2499
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	132015614	132051740	10	0.495
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	132055162	142866131	7029	-0.2924
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	142866770	146104517	1848	0.3454
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	146106836	146109366	24	-1.7753
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	146120238	153932885	4823	0.3342
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	153934562	154328683	211	0.5919
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	154332011	154804595	312	0.3128
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	154807211	177186239	13724	0.59
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	177187206	177305102	58	1.1285
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	177306053	177490813	101	0.5309
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	177493505	178672235	730	0.9113
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	178673696	178722501	29	1.4223
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	178724323	178727602	5	0.8028
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	178731454	196892120	10594	0.0857
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	196892521	197780008	480	-0.06
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	197780987	220427395	14141	0.0827
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	220428070	220455824	25	-0.2722
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	220456023	228633999	5465	0.0808
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	228637029	229684719	735	-0.3211
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	229685128	230421191	405	0.075
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	230424272	230808024	218	-0.2868
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	230808510	231891818	516	0.0983
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	2	231893966	242147305	6462	-0.2802
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	20930	11449831	9601	-0.1962
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	11462716	12885134	1048	-0.3166
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	12887049	18302591	3500	-0.1778
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	18302641	28731062	7262	-0.2129
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	28731344	34703260	4010	-0.1776
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	34707917	34754096	24	0.473
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	34765191	37365600	1760	-0.2245
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	37365656	37791896	336	0.1492
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	37791982	42717136	3226	-0.1773
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	42720447	46164284	2032	0.1627
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	46164893	49853180	1566	-0.1649
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	49853291	50152664	118	0.0845
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	50158985	53240672	1406	-0.1844
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	53240857	54093848	558	-0.3033
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	54093924	62846555	6869	-0.1862
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	62860321	64845603	1614	0.4161
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	64847194	65202778	369	-0.1763
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	65203560	65224777	52	-2.3861
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	65230674	65259368	49	-0.2046
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	65259558	65390198	98	0.2256
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	65391035	68672176	2265	-0.2125
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	68672892	68698262	20	-0.8197
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	68699607	70548696	1467	-0.2006
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	70549043	73584176	2214	0.1625
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	73586869	75412686	1201	-0.2238
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	75413478	75546030	53	0.0926
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	75547095	80485207	2793	-0.2252
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	80495986	80511375	22	0.3577
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	80514561	81066678	276	-0.2307
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	81071233	81085898	12	0.4925
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	81086450	81630884	336	0.8205
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	81633840	90453712	4683	0.3821
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	91390926	93937051	62	-0.0588
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	93948926	94743024	361	-0.7251
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	94751969	95737262	575	-0.5411
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	95748036	95749266	2	-2.7457
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	95749836	96670804	464	-0.5553
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	96672102	96827664	83	-0.8443
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	96828567	100607461	2085	-0.2471
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	100621224	100723665	58	0.3654
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	100727772	120422996	12275	-0.2568
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	120426692	120605121	111	0.0719
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	120627161	120998007	187	-0.2393
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	121003386	122121166	547	0.3808
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	122129109	123899501	1106	0.0888
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	123900077	123919425	9	0.4143
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	123922038	124273400	214	-0.2285
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	124274763	124366127	75	0.3349
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	124369162	125364844	744	-0.2277
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	125366090	126152930	413	0.1382
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	126153450	128126107	1251	0.2429
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	128128360	128215518	45	0.1441
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	128217883	128315907	75	-0.0818
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	128316999	128340603	14	0.5352
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	128340767	129236146	466	-0.0568
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	129240470	130041779	367	0.2494
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130044016	130067896	11	-0.6789
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130067910	130087393	28	-1.7751
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130088081	130137903	21	0.0012
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130141782	130242636	43	0.2779
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130244079	130245951	5	-0.7119
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130248544	130252258	4	0.3879
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130253442	130282849	26	-0.3178
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130287777	130429916	145	-0.4469
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	130432654	132270503	1193	-0.6884
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	132273893	132276840	4	-1.9165
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	132281633	132986467	425	-0.6924
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	132986614	133314396	268	-0.451
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	133316329	133397144	57	-0.387
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	133398214	133629438	126	-0.1689
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	133630594	133633586	4	-0.5214
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	133634749	137091770	2016	-0.0866
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	137099021	137314218	164	-0.2495
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	137314418	137314421	3	1.1847
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	137314580	139347918	1051	-0.2752
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	139349622	139733086	261	-0.1095
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	139735317	142492771	1785	-0.2559
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	142500700	143482144	696	0.1133
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	143492904	148606324	3160	-0.2965
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	148616612	148628282	13	0.5093
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	148635419	151217318	1666	-0.2466
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	151220216	154880872	2315	0.1201
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	154881811	157460019	1537	0.3984
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	157463806	158406992	547	0.1169
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	158408493	158521108	52	-0.165
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	158525297	158525724	3	-1.0884
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	158526430	158632329	64	-0.2298
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	158633095	158633756	2	0.7676
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	158641083	159304354	447	-0.2517
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	159304662	159620593	206	0.1344
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	159620900	160763505	653	-0.2359
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	160770559	161839447	662	0.3588
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	161841092	161970513	87	-0.2643
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	161973347	162449608	310	0.0748
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	162453928	162795304	238	-0.2919
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	162795361	162807070	9	-2.8727
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	162810842	162908207	58	-1.2928
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	162908784	164330175	839	-0.3033
300aa27e-6c9c-41eb-b5d5-24dcc62064f3	3	164332629	169003942	2597	-0.1178
