GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	62920	3303537	740	-0.2152
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	3303596	16679281	7913	-0.0067
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	16679483	16721910	9	-0.7641
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	16721984	16855942	15	0.1489
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	16863509	16999460	78	-0.4923
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	17003142	25244778	5215	0.0084
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	25247980	25256850	7	-0.3442
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	25266637	25320455	24	-1.532
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	25336819	59232390	19728	-0.0006
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	59233818	64133606	3372	-0.3442
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	64136977	72284670	5531	-0.0367
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	72290430	72297687	9	-0.7642
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	72302735	72305684	6	0.1025
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	72305835	72357136	53	0.3092
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	72357153	109684893	23490	-0.0249
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	109690352	109697556	13	-1.2766
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	109702376	111349242	1288	-0.0179
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	111351887	111548700	160	0.1287
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	111549003	117999272	4246	-0.0253
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	117999806	119019801	594	-0.1986
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	119019934	143494500	822	0.0356
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	143541857	147121537	383	0.4142
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	147122964	147521551	286	0.5686
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	147525944	151697857	1225	0.4841
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	151707901	151979060	165	0.5921
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	151979219	152583051	368	0.3972
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	152583230	152614118	35	-1.6126
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	152618018	152787202	166	0.3585
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	152789447	152796224	37	-1.3676
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	152801429	153018584	168	0.3588
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	153023248	153028238	4	-0.6654
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	153028502	161175215	4917	0.368
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	161178226	164343325	2241	0.5925
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	164343481	164430445	74	0.4226
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	164430946	189289682	16965	0.1173
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	189289778	189578508	177	0.2528
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	189580467	189583727	5	-0.2468
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	189583741	189679027	74	0.1301
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	189679353	189679397	2	-1.1063
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	189682917	193186662	2322	0.1232
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	193187149	193187202	3	-0.9193
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	193187218	195250500	1408	0.108
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	195252090	195415915	104	0.2821
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	195416020	196736126	857	0.1065
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	196736390	196832720	69	0.4831
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	196843377	214463757	11833	0.1205
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	214463783	214465114	3	-1.6578
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	214465910	240228440	17995	0.1088
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	240230715	240230839	6	1.1303
e29c7621-be79-4953-8c3b-4af7ad1c654f	1	240232805	248930189	5844	0.1132
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	12784	1432868	947	0.0295
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	1433076	1876748	265	-0.1084
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	1880129	3128258	953	0.0659
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	3129126	3321152	174	-0.0848
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	3322432	34485661	21678	0.1055
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	34485743	34512096	38	-0.1739
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	34512489	41960121	5618	0.1235
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	41960577	42262451	224	0.3653
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	42263204	50839693	5971	0.11
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	50850431	51002568	99	0.287
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	51003136	52531630	1051	0.1104
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	52531652	52554404	31	0.7367
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	52560811	85105322	20883	0.1181
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	85105337	85106283	2	-1.5116
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	85106853	87228594	1074	0.1284
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	87229739	87835245	90	-0.1443
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	87853065	88836661	474	0.0909
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	88836672	89933871	183	-0.0248
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	89936810	90235899	125	-0.7333
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	90262403	97354016	937	-0.0085
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	97354835	97560849	21	-0.5734
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	97562741	97715475	59	-0.1081
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	97719673	114577351	9859	-0.008
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	114580849	116352037	1067	0.0546
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	116354994	117448749	674	0.0054
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	117449614	118880940	998	-0.0376
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	118881464	118882322	3	-1.0356
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	118882897	127071365	5198	-0.0213
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	127071706	127100370	18	-0.5141
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	127101070	146106875	11412	-0.037
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	146106889	146109366	21	-1.565
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	146120238	179546427	20418	-0.0325
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	179548635	179557410	32	-0.7076
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	179560916	183929673	2748	-0.0261
e29c7621-be79-4953-8c3b-4af7ad1c654f	2	183929787	183937576	14	-0.9099
