GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2331ba04-0f17-48c2-af69-87fb867293e0	1	62920	855169	43	-0.1232
2331ba04-0f17-48c2-af69-87fb867293e0	1	855630	3305906	703	0.0864
2331ba04-0f17-48c2-af69-87fb867293e0	1	3306063	19392969	9753	0.018
2331ba04-0f17-48c2-af69-87fb867293e0	1	19393598	19405164	16	-1.0664
2331ba04-0f17-48c2-af69-87fb867293e0	1	19407467	25256850	3492	0.0182
2331ba04-0f17-48c2-af69-87fb867293e0	1	25266637	25319693	21	-1.914
2331ba04-0f17-48c2-af69-87fb867293e0	1	25320198	25320455	3	-0.7668
2331ba04-0f17-48c2-af69-87fb867293e0	1	25336819	30265508	2386	0.0201
2331ba04-0f17-48c2-af69-87fb867293e0	1	30265585	30272363	10	-0.5999
2331ba04-0f17-48c2-af69-87fb867293e0	1	30274729	34626073	2549	0.0187
2331ba04-0f17-48c2-af69-87fb867293e0	1	34637053	34638890	20	-0.5558
2331ba04-0f17-48c2-af69-87fb867293e0	1	34648667	40878947	3361	0.0196
2331ba04-0f17-48c2-af69-87fb867293e0	1	40880756	40910828	18	0.5821
2331ba04-0f17-48c2-af69-87fb867293e0	1	40918052	72284670	20307	0.0088
2331ba04-0f17-48c2-af69-87fb867293e0	1	72290430	72297687	9	-0.8554
2331ba04-0f17-48c2-af69-87fb867293e0	1	72302735	72345465	48	1.0206
2331ba04-0f17-48c2-af69-87fb867293e0	1	72346221	109679105	23512	0
2331ba04-0f17-48c2-af69-87fb867293e0	1	109684695	109697556	15	1.1498
2331ba04-0f17-48c2-af69-87fb867293e0	1	109702376	112147704	1946	0.0032
2331ba04-0f17-48c2-af69-87fb867293e0	1	112153343	112154768	25	-0.5307
2331ba04-0f17-48c2-af69-87fb867293e0	1	112163334	152583051	7584	0.0074
2331ba04-0f17-48c2-af69-87fb867293e0	1	152583230	152614118	35	-0.8893
2331ba04-0f17-48c2-af69-87fb867293e0	1	152618018	152790039	177	0.002
2331ba04-0f17-48c2-af69-87fb867293e0	1	152790180	152796094	25	-0.5987
2331ba04-0f17-48c2-af69-87fb867293e0	1	152796224	174827418	14753	0.0077
2331ba04-0f17-48c2-af69-87fb867293e0	1	174827561	174832702	15	-0.8799
2331ba04-0f17-48c2-af69-87fb867293e0	1	174832716	248574146	50177	-0.0011
2331ba04-0f17-48c2-af69-87fb867293e0	1	248585893	248633912	32	-0.7178
2331ba04-0f17-48c2-af69-87fb867293e0	1	248645563	248930189	141	0.0381
2331ba04-0f17-48c2-af69-87fb867293e0	2	12784	14563570	11019	0.0008
2331ba04-0f17-48c2-af69-87fb867293e0	2	14564825	14569897	11	-0.9451
2331ba04-0f17-48c2-af69-87fb867293e0	2	14570240	17493526	2120	-0.0051
2331ba04-0f17-48c2-af69-87fb867293e0	2	17494468	17494692	2	-2.2027
2331ba04-0f17-48c2-af69-87fb867293e0	2	17496781	34466002	10874	0.0008
2331ba04-0f17-48c2-af69-87fb867293e0	2	34474248	34512096	46	-1.7728
2331ba04-0f17-48c2-af69-87fb867293e0	2	34512489	35742319	866	-0.055
2331ba04-0f17-48c2-af69-87fb867293e0	2	35742970	35762881	9	0.7412
2331ba04-0f17-48c2-af69-87fb867293e0	2	35772407	36112411	285	-0.017
2331ba04-0f17-48c2-af69-87fb867293e0	2	36123960	36341991	196	-1.0656
2331ba04-0f17-48c2-af69-87fb867293e0	2	36343322	50601893	10285	-0.0033
2331ba04-0f17-48c2-af69-87fb867293e0	2	50602006	51128355	381	-0.0971
2331ba04-0f17-48c2-af69-87fb867293e0	2	51130564	52038525	628	-0.013
2331ba04-0f17-48c2-af69-87fb867293e0	2	52039769	52046762	2	-1.7122
2331ba04-0f17-48c2-af69-87fb867293e0	2	52047691	52531615	318	-0.0502
2331ba04-0f17-48c2-af69-87fb867293e0	2	52531630	52554157	24	0.5799
2331ba04-0f17-48c2-af69-87fb867293e0	2	52554188	57167750	3349	-0.0062
2331ba04-0f17-48c2-af69-87fb867293e0	2	57167767	57207744	60	-0.2451
2331ba04-0f17-48c2-af69-87fb867293e0	2	57211026	78473831	13322	-0.0014
2331ba04-0f17-48c2-af69-87fb867293e0	2	78474950	78490936	11	-1.0324
2331ba04-0f17-48c2-af69-87fb867293e0	2	78492107	86710564	5129	-0.0077
2331ba04-0f17-48c2-af69-87fb867293e0	2	86725947	86726731	2	-1.9028
2331ba04-0f17-48c2-af69-87fb867293e0	2	86743283	97359885	1929	-0.0019
2331ba04-0f17-48c2-af69-87fb867293e0	2	97524284	97545247	8	-1.2019
2331ba04-0f17-48c2-af69-87fb867293e0	2	97545726	146106861	29321	-0.006
2331ba04-0f17-48c2-af69-87fb867293e0	2	146106875	146109366	22	0.9317
2331ba04-0f17-48c2-af69-87fb867293e0	2	146120238	179196928	20209	-0.0006
2331ba04-0f17-48c2-af69-87fb867293e0	2	179202465	179214417	3	-2.1988
2331ba04-0f17-48c2-af69-87fb867293e0	2	179218864	179548644	218	-0.0051
2331ba04-0f17-48c2-af69-87fb867293e0	2	179553484	179557179	28	-0.8613
2331ba04-0f17-48c2-af69-87fb867293e0	2	179557394	183220725	2310	-0.0062
2331ba04-0f17-48c2-af69-87fb867293e0	2	183221060	183224996	9	-5.6164
2331ba04-0f17-48c2-af69-87fb867293e0	2	183229270	184286588	688	-0.0138
2331ba04-0f17-48c2-af69-87fb867293e0	2	184290169	184298268	7	-0.6537
2331ba04-0f17-48c2-af69-87fb867293e0	2	184299028	185477556	700	-0.0492
2331ba04-0f17-48c2-af69-87fb867293e0	2	185477693	186010569	254	-0.167
2331ba04-0f17-48c2-af69-87fb867293e0	2	186014481	194334020	4606	-0.0033
2331ba04-0f17-48c2-af69-87fb867293e0	2	194334695	195345584	583	-0.0892
2331ba04-0f17-48c2-af69-87fb867293e0	2	195351205	207490231	7235	-0.004
2331ba04-0f17-48c2-af69-87fb867293e0	2	207490454	207494612	15	-1.024
2331ba04-0f17-48c2-af69-87fb867293e0	2	207494752	242147305	22023	-0.0062
2331ba04-0f17-48c2-af69-87fb867293e0	3	20930	307688	273	0.0158
2331ba04-0f17-48c2-af69-87fb867293e0	3	311648	2022666	1520	-0.048
2331ba04-0f17-48c2-af69-87fb867293e0	3	2022963	46760374	31282	-0.0004
2331ba04-0f17-48c2-af69-87fb867293e0	3	46760471	46807689	37	-0.8529
2331ba04-0f17-48c2-af69-87fb867293e0	3	46808099	99218119	30400	-0.0008
2331ba04-0f17-48c2-af69-87fb867293e0	3	99218940	99230577	39	-0.8293
2331ba04-0f17-48c2-af69-87fb867293e0	3	99232120	162405578	38626	0.0002
2331ba04-0f17-48c2-af69-87fb867293e0	3	162419812	162420211	7	-1.0284
2331ba04-0f17-48c2-af69-87fb867293e0	3	162420319	162424917	7	-0.5993
2331ba04-0f17-48c2-af69-87fb867293e0	3	162426460	175362822	7953	-0.0096
2331ba04-0f17-48c2-af69-87fb867293e0	3	175362958	175363536	5	-1.2087
2331ba04-0f17-48c2-af69-87fb867293e0	3	175368999	195691392	12967	-0.0037
2331ba04-0f17-48c2-af69-87fb867293e0	3	195695418	195747892	38	-0.3805
2331ba04-0f17-48c2-af69-87fb867293e0	3	195751823	198169247	1165	0.0314
2331ba04-0f17-48c2-af69-87fb867293e0	4	68929	10221792	5690	-0.0034
2331ba04-0f17-48c2-af69-87fb867293e0	4	10222004	10232642	29	-1.8411
2331ba04-0f17-48c2-af69-87fb867293e0	4	10232984	34785333	16924	-0.0025
2331ba04-0f17-48c2-af69-87fb867293e0	4	34785368	34823103	36	0.3192
2331ba04-0f17-48c2-af69-87fb867293e0	4	34828250	49086623	8931	-0.0032
2331ba04-0f17-48c2-af69-87fb867293e0	4	49087342	51823373	42	-0.3037
2331ba04-0f17-48c2-af69-87fb867293e0	4	51830626	63816428	7527	-0.0013
2331ba04-0f17-48c2-af69-87fb867293e0	4	63818451	63842540	38	-0.3968
2331ba04-0f17-48c2-af69-87fb867293e0	4	63850713	68509237	2859	-0.0147
2331ba04-0f17-48c2-af69-87fb867293e0	4	68509442	68530744	9	0.9119
2331ba04-0f17-48c2-af69-87fb867293e0	4	68530748	68548225	9	-0.002
2331ba04-0f17-48c2-af69-87fb867293e0	4	68554305	68620261	45	0.5277
2331ba04-0f17-48c2-af69-87fb867293e0	4	68623617	114252544	27604	-0.0049
2331ba04-0f17-48c2-af69-87fb867293e0	4	114254167	114261019	23	0.5802
2331ba04-0f17-48c2-af69-87fb867293e0	4	114263073	114586468	224	0.0208
2331ba04-0f17-48c2-af69-87fb867293e0	4	114587010	114589298	3	-1.0825
2331ba04-0f17-48c2-af69-87fb867293e0	4	114593270	116915365	1384	-0.0094
2331ba04-0f17-48c2-af69-87fb867293e0	4	116915403	116974036	57	-0.2688
2331ba04-0f17-48c2-af69-87fb867293e0	4	116976502	132375518	8869	-0.0061
2331ba04-0f17-48c2-af69-87fb867293e0	4	132375635	132375715	2	-1.5374
2331ba04-0f17-48c2-af69-87fb867293e0	4	132380796	143659487	6936	-0.0085
2331ba04-0f17-48c2-af69-87fb867293e0	4	143665264	143667053	4	-1.24
2331ba04-0f17-48c2-af69-87fb867293e0	4	143668344	188300104	28366	-0.0037
2331ba04-0f17-48c2-af69-87fb867293e0	4	188300206	188300221	2	-2.2825
2331ba04-0f17-48c2-af69-87fb867293e0	4	188300270	190106768	1143	-0.0125
2331ba04-0f17-48c2-af69-87fb867293e0	5	15532	12824299	10168	0.0127
2331ba04-0f17-48c2-af69-87fb867293e0	5	12826538	12838421	4	1.1264
2331ba04-0f17-48c2-af69-87fb867293e0	5	12849089	20455032	4935	-0.0057
2331ba04-0f17-48c2-af69-87fb867293e0	5	20455052	20458796	14	-0.4834
2331ba04-0f17-48c2-af69-87fb867293e0	5	20459219	21451168	549	-0.0127
2331ba04-0f17-48c2-af69-87fb867293e0	5	21451855	21452387	4	-1.0059
2331ba04-0f17-48c2-af69-87fb867293e0	5	21454830	27509213	3511	-0.0072
2331ba04-0f17-48c2-af69-87fb867293e0	5	27509274	27525848	10	-0.6155
2331ba04-0f17-48c2-af69-87fb867293e0	5	27525863	46010245	11329	-0.0019
2331ba04-0f17-48c2-af69-87fb867293e0	5	46018979	46099451	11	-0.9229
2331ba04-0f17-48c2-af69-87fb867293e0	5	46099678	50260304	82	-0.2825
2331ba04-0f17-48c2-af69-87fb867293e0	5	50264459	58033288	5024	0.0068
2331ba04-0f17-48c2-af69-87fb867293e0	5	58033703	58037706	28	-0.3483
