GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	62920	1570655	207	0.0702
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	1570718	1756605	23	-0.6142
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	1756619	12792599	6222	-0.0102
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	12797714	13397641	49	0.5189
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	13406956	16689764	2131	-0.01
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	16718963	16935752	75	0.5318
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	16949746	72303233	33881	-0.0013
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	72303253	72345465	45	-1.1881
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	72346221	105459540	20871	-0.0018
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	105470132	105481448	21	0.7003
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	105481468	108223733	1947	0.0058
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	108226680	108274557	2	-2.2665
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	108310648	121581632	7784	0.0083
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	121593055	144503864	149	0.3119
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	144932423	152787202	2492	0.0247
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	152789447	152796224	37	-1.2595
25ec1a83-ed40-429f-9d8f-65a4172c7441	1	152801429	248930189	65042	-0.0021
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	12784	5595907	4169	-0.0094
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	5596189	5596375	2	-2.537
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	5596981	34466002	19815	-0.0045
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	34474248	34511990	46	-1.8468
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	34512096	41011095	4774	0.0086
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	41011303	41024677	29	-0.5914
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	41024876	88932284	30738	0.0023
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	88933156	94675825	308	0.2
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	94675975	97069220	803	0.0009
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	97078611	97609151	97	0.3453
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	97624729	129484044	19404	-0.0024
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	129484927	129484957	2	-2.843
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	129488165	131951621	988	0.0198
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	131956771	132379187	88	0.2821
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	132383025	179548644	29260	-0.0013
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	179553484	179557410	30	-0.8065
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	179560916	198927650	11259	-0.0004
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	198928154	198928650	3	-2.5933
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	198930854	207486030	5142	-0.0015
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	207490188	207494752	18	-0.8202
25ec1a83-ed40-429f-9d8f-65a4172c7441	2	207494795	242147305	21976	-0.0032
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	20930	5356237	4692	0.0408
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	5358483	5358553	2	-3.1282
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	5358607	38375220	23092	0.0104
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	38375854	38375876	2	-3.2584
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	38376154	75483280	24708	0.0066
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	75489692	75843802	84	0.4357
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	75845381	99225788	10888	0.0066
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	99225919	99230577	30	-0.5303
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	99232120	130028313	18621	0.004
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	130031363	130089968	50	0.7172
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	130092370	162834280	20209	0.0075
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	162834293	162908207	44	-0.4247
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	162908784	168591469	3182	0.0061
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	168596712	168596894	2	-1.9365
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	168602323	173510078	3153	0.0148
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	173510096	173571725	29	0.689
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	173571809	182524124	5498	0.0082
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	182524825	182526045	2	-2.2692
25ec1a83-ed40-429f-9d8f-65a4172c7441	3	182526259	198169247	9947	0.0191
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	68929	3877891	1560	0.0026
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	3884081	4175446	76	0.5348
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	4176082	8714811	3425	-0.0056
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	8717863	9450197	63	0.2866
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	9455251	9477699	7	1.1229
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	9484440	9584689	27	0.5352
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	9585140	10208766	509	0.0295
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	10221792	10229173	22	1.8528
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	10229188	49080266	25892	0.0032
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	49083136	49656206	36	0.5197
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	49656595	68395346	10405	0.0011
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	68416487	68422424	5	-1.2438
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	68429081	68506285	12	0.1564
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	68509223	68639397	67	-1.2674
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	68640616	69445657	414	0.1662
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	69447253	114252544	27185	0.0043
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	114254167	114261019	23	0.7007
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	114263073	172066777	34928	0.0039
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	172067997	172068382	12	-1.5003
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	172074828	177173842	2967	0.0121
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	177176329	177179575	2	-2.4269
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	177182228	189864410	9007	0.0369
25ec1a83-ed40-429f-9d8f-65a4172c7441	4	189870388	190106768	59	0.4428
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	15532	685633	306	0.067
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	698256	779766	28	0.6813
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	800724	11054399	8611	0.019
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	11055043	11055809	2	-2.6935
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	11056026	12800777	1193	0.0262
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	12815668	12826538	11	-1.1863
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	12833745	46271006	20386	0.0141
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	46271828	46273400	6	-1.7897
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	46278110	103688305	31309	0.0153
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	103692243	103693035	2	-3.3397
25ec1a83-ed40-429f-9d8f-65a4172c7441	5	103693070	181363319	50562	0.0097
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	149661	271856	111	0.0287
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	277360	382559	91	0.3341
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	382897	29868859	21341	0.0112
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	29868926	29882419	20	-0.6258
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	29882497	31318528	664	-0.015
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	31318754	31328674	9	-1.414
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	31342147	32485152	498	0.0432
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	32486498	32605994	31	0.7229
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	32606237	80575307	28363	0.0064
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	80575322	80579817	24	-0.929
25ec1a83-ed40-429f-9d8f-65a4172c7441	6	80584624	170741917	58006	0.0064
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	43355	3570211	1610	0.0267
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	3570671	3575168	26	-1.1886
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	3578378	56733561	38260	0.0066
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	56740039	63018120	630	0.1668
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	63018135	88529003	13618	0.0101
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	88533510	90216589	1124	0.1068
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	90217022	112489180	13218	0.0052
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	112489278	112699547	106	0.2317
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	112699587	126404869	8115	-0.0054
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	126404920	126414344	21	0.6836
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	126415133	132073573	3314	-0.0161
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	132074517	132077420	3	-1.7327
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	132079371	134054837	1330	-0.0141
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	134058640	134113790	66	0.4652
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	134113805	154598185	12809	0.002
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	154601461	154607903	4	-1.7529
25ec1a83-ed40-429f-9d8f-65a4172c7441	7	154609120	159334314	3218	0.0176
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	81254	6602062	7186	0.0112
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	6602667	6606537	4	-2.1362
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	6609087	7001884	407	-0.0446
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	7002140	8269115	196	0.3006
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	8269267	11987997	3150	0.0105
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	11988973	12697234	93	0.3928
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	12698533	25116961	10336	-0.004
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	25117007	25122039	12	1.0725
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	25122389	43912083	11631	0.003
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	43923771	46503558	129	0.2743
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	46503648	111282809	39122	0.0021
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	111282852	111283031	4	-2.279
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	111288052	115890115	2626	-0.0056
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	115890244	115891415	4	-1.9049
25ec1a83-ed40-429f-9d8f-65a4172c7441	8	115892093	145072769	20178	0.0011
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	46587	23361807	20314	0.0064
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	23363117	23373486	8	-1.9698
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	23378490	24493496	787	-0.0036
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	24493556	24517684	27	-0.8099
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	24519686	26624873	1534	0.0077
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	26625222	26626083	2	-2.6303
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	26626731	38989381	8297	0.0022
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	38996106	41639988	153	0.257
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	41644133	41666811	8	1.2782
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	41703463	64813222	242	0.2441
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	64839518	103804216	24748	-0.0106
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	103806415	103807009	2	-3.5489
25ec1a83-ed40-429f-9d8f-65a4172c7441	9	103808421	138200944	22997	-0.0134
25ec1a83-ed40-429f-9d8f-65a4172c7441	10	45792	24083828	19096	-0.0008
25ec1a83-ed40-429f-9d8f-65a4172c7441	10	24086334	24088751	7	-2.0782
25ec1a83-ed40-429f-9d8f-65a4172c7441	10	24088753	46792335	12471	-0.0063
25ec1a83-ed40-429f-9d8f-65a4172c7441	10	46792344	46901552	6	1.7612
25ec1a83-ed40-429f-9d8f-65a4172c7441	10	46967412	133654968	58655	-0.0037
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	198510	4946420	2405	0.0166
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	4947280	4955042	30	-1.5138
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	4955781	49859841	31243	-0.0052
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	49866959	56135085	1048	0.1468
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	56138532	67546364	5796	0.004
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	67550364	67981787	139	0.2518
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	67981851	80827567	7375	-0.0044
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	80827874	80829833	3	-3.0516
25ec1a83-ed40-429f-9d8f-65a4172c7441	11	80830912	135074876	38401	0.0004
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	51460	8191365	5493	0.0081
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	8194012	8409838	72	0.5159
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	8410039	9486096	566	-0.0025
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	9488785	9562969	20	0.6604
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	9575696	27493059	12347	0.0063
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	27494808	27498429	28	-0.8412
25ec1a83-ed40-429f-9d8f-65a4172c7441	12	27504228	133201603	65941	0.0003
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	18452809	20920640	1317	0.0209
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	20920703	20921370	2	-2.7526
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	20922397	37496998	12095	-0.0022
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	37497899	37510620	16	0.6581
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	37514193	57139102	12469	-0.0009
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	57139232	57215580	44	-0.6947
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	57215875	68668123	6860	0.0001
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	68674167	68695164	41	-0.582
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	68695475	95334764	17482	-0.0026
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	95335104	95341912	8	-1.8824
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	95346760	105664476	7428	-0.0081
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	105664543	105664629	3	-1.9585
25ec1a83-ed40-429f-9d8f-65a4172c7441	13	105667023	114342922	6128	0.0002
25ec1a83-ed40-429f-9d8f-65a4172c7441	14	18239283	19864412	115	-0.011
25ec1a83-ed40-429f-9d8f-65a4172c7441	14	19864638	19954424	51	-0.4662
25ec1a83-ed40-429f-9d8f-65a4172c7441	14	19955213	106416146	54773	0.0005
25ec1a83-ed40-429f-9d8f-65a4172c7441	14	106418444	106462144	47	-0.5835
25ec1a83-ed40-429f-9d8f-65a4172c7441	14	106462169	106877229	197	0.1151
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	19811075	22299523	206	0.7524
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	22385639	24429740	993	0.0416
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	24429986	24486725	36	-0.5234
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	24488093	27955383	2553	-0.0145
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	27956393	30658799	1075	0.0945
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	30664012	54843637	15199	-0.004
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	54843764	54844308	3	-2.0884
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	54844491	76599170	13719	-0.0059
25ec1a83-ed40-429f-9d8f-65a4172c7441	15	76599286	76599884	9	-1.9961
