GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	62920	16689764	8684	0.0107
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	16718963	16721984	6	0.7376
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	16766762	34626073	10306	0.0108
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	34637053	34638890	20	-0.6099
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	34648667	72302815	23769	0.0032
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	72303233	72345450	45	-0.922
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	72345465	105476748	20963	0.0035
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	105476861	105479753	13	0.4585
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	105481433	109690352	2638	0.0058
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	109690415	109697556	12	-0.7444
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	109702376	121601998	7135	0.008
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	121705338	149904595	1046	0.0667
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	149906351	152583051	1397	0.0066
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	152583230	152614100	34	-1.7571
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	152614118	152787202	167	0.0032
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	152789447	152789479	3	0.6084
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	152789532	152790191	10	0.1633
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	152790286	152796224	24	0.5513
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	1	152801429	248930189	65344	0.0031
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	12784	1839022	1187	0.0573
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	1841768	3634441	1329	0.0036
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	3635391	3680971	53	0.0804
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	3684956	3685683	4	-0.9729
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	3688948	34483565	21525	0.0045
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	34483583	34511990	39	-0.2811
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	34512096	35750907	872	-0.0007
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	35752724	35762881	7	-1.3465
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	35772407	38727353	2303	0.0128
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	38728724	38745684	9	0.4891
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	38747742	48914699	7235	0.001
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	48915711	48919948	2	-1.5274
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	48920245	52527743	2581	0.0068
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	52531615	52554404	33	0.574
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	52560811	82910383	19720	0.0028
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	82919311	82919486	2	-1.0403
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	82920339	86901078	2257	0.0035
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	86902080	87074984	12	-0.1686
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	87079825	87082140	2	-1.8299
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	87082711	89305244	778	0.0231
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	89896149	90235899	130	-0.8238
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	90262403	106263639	6522	0.004
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	106264257	106268901	11	-2.4237
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	106270799	122719438	9494	0.0029
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	122722323	122724665	8	-0.789
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	122726077	130026710	4775	0.0116
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	130031187	130268092	50	0.2383
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	130271208	146107615	9502	0.0044
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	146107675	146109366	16	0.7582
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	146120238	154033296	4886	-0.0031
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	154039462	154039969	2	-2.7958
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	154043710	154843285	486	0.011
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	154846256	154847046	3	-1.222
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	154847163	193823021	23495	0
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	193825580	193829074	2	1.1088
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	193837590	207486030	8098	-0.0001
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	207490188	207494612	18	-0.8036
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	2	207494752	242147305	22083	0.0021
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	20930	1740119	1537	0.033
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	1740840	1745897	6	-1.1684
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	1747474	6604856	4274	0.0194
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	6609441	6613391	24	-0.6779
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	6613561	35914935	20350	0.0066
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	35915749	35924454	6	-0.7031
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	35928447	37935926	1428	0.0014
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	37940617	37945437	18	-0.7617
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	37945615	42023513	2656	0.0005
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	42032465	42202359	113	0.1204
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	42203130	59427975	9595	-0.0036
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	59429378	61010124	1742	0.0478
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	61010264	65202778	3568	0.0078
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	65203560	65224777	52	-0.7232
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	65230674	68697013	2423	0.0003
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	68697108	68698262	14	0.4838
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	68699607	75310772	4837	0.0017
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	75313598	75519398	92	0.1687
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	75523398	75547095	8	0.8378
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	75559488	79902628	2465	0.0031
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	79910590	79910602	2	-1.1934
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	79910744	82815398	1636	-0.0058
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	82823628	82823892	6	-0.7453
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	82831894	99225614	6864	0.0077
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	99225632	99232120	38	0.3016
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	99232539	130044016	18711	0.0047
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	130044855	130067366	7	-0.7254
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	130067443	130087393	31	-1.5827
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	130088081	136300257	4027	0.0023
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	136304109	136306584	2	-2.4802
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	136319699	162815162	16250	0.0069
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	162816942	162818795	2	1.9575
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	162819035	169012392	3495	0.0026
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	169015614	169020840	2	-2.3511
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	169022039	183384064	8989	0.003
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	183384850	183816483	259	0.0935
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	183819593	189642965	3977	0.0038
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	189645889	189653199	12	-0.8122
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	189653225	193156958	2489	0.0105
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	193160113	193162684	8	0.683
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	193162798	195691392	1500	0.0126
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	195695418	195719958	18	0.3459
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	3	195720051	198169247	1185	0.0234
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	68929	10389091	5907	0.0141
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	10390730	10399044	16	-0.5925
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	10401094	34777382	16784	0.0043
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	34777403	34822561	40	0.5162
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	34823103	63828222	16561	0.0023
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	63831751	63852325	31	-0.4599
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	63856498	68395346	2854	0.0133
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	68416487	68422424	5	-0.7265
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	68429081	68478894	9	0.0551
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	68494770	68686026	76	0.3515
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	68725894	69257792	307	0.0815
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	69261926	69363716	53	-0.5937
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	69366081	114252544	27333	0.0017
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	114254167	114261019	23	0.691
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	114263073	114586468	226	0.0217
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	114587010	114589298	3	-1.161
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	114593270	116399089	1061	0.0042
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	116403674	116403794	3	-1.1514
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	116411655	124538250	4806	0.0069
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	124539196	124541780	3	-1.1813
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	124541870	172501371	29203	0.0049
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	172503796	172507492	7	0.6992
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	172519981	188300104	10696	0.0143
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	188300206	188300270	3	1.5035
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	188300285	188515761	210	0.0415
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	188515932	188516256	8	-0.7994
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	4	188518718	190106768	924	0.0523
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	15532	698357	308	0.0657
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	698390	808932	30	0.7217
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	817735	896700	33	0.1714
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	905586	908425	3	-1.0294
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	913276	7169363	5348	0.0169
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	7177225	7189812	26	-0.9367
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	7202522	20436985	9369	0.0099
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	20437092	20444193	20	-0.9017
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	20448382	46251204	15538	0.0051
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	46270906	46271828	3	-0.93
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	46272419	46273400	5	-2.6026
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	46278110	58023655	5073	0.0045
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	58025759	58037706	34	-0.5147
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	58042530	95899812	21800	0.0043
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	95900711	95900763	2	-1.6561
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	95901481	104515520	5038	0.004
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	104524672	104524903	4	-1.5551
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	104525348	115135373	7162	0.002
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	115135757	115135858	2	1.1981
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	115140689	118052727	2225	0.0131
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	118052915	118053390	10	-0.6248
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	118068645	153194405	22070	0.0004
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	153196537	153196755	2	-2.1961
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	153200230	156048095	1976	0.0036
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	156049762	156068247	16	-0.7117
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	156068249	176033084	14080	0.0051
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	176038686	176042504	2	1.1101
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	176043321	177739139	721	0.02
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	177740962	177771448	3	-1.0517
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	177800550	178680821	450	0.0076
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	178682974	178691854	4	-0.8764
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	178692757	180947523	1343	0.011
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	180951710	180991103	19	-2.2152
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	5	181006225	181363319	170	0.0613
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	149661	323326	134	0.0588
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	323576	384546	73	0.2753
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	385056	788506	333	0.0611
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	788882	29875657	21125	0.0061
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	29876257	29881490	7	-0.9766
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	29882419	31279344	625	0.0363
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	31280094	32486746	552	0.1066
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	32488906	32533522	13	1.6526
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	32540699	32606604	20	0.4381
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	32610305	33970222	828	0.0291
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	33970966	33974928	7	-0.7659
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	33976809	54066353	12891	0.0062
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	54066432	54067057	6	-1.473
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	54070550	55454687	887	0.0084
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	55454878	55458632	6	-0.6817
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	55458648	65684197	4033	0.0095
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	65689589	65697234	24	-0.6834
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	65697317	66328153	416	-0.0033
a47573b1-ae91-41df-9d2d-12cf0b1c35e7	6	66331020	66333299	7	0.6515
