GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	62920	25256850	14012	-0.0015
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	25266637	25320455	24	-1.4777
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	25336819	34626073	4951	-0.0054
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	34637053	34638890	20	-0.5618
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	34648667	72303233	23746	0.0013
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	72303253	72345450	44	-1.0846
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	72345465	105476583	20929	0.0038
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	105476614	105479753	16	0.6694
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	105481433	152583051	12208	0.0022
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	152583230	152614118	35	0.9569
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	152618018	152789447	168	-0.0157
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	152789463	152796224	36	0.5383
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	152801429	161647612	5261	-0.0008
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	161647641	161680704	13	-0.4796
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	161680831	196745743	24155	0.0048
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	196758720	196832525	57	-0.6646
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	196832720	199142393	1380	0.0049
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	199142562	199143396	4	-1.0478
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	199143883	209897717	7399	0.0019
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	209908268	209910639	3	1.1038
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	209913207	212831113	1946	-0.0075
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	212831670	212833055	6	-0.8549
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	212837094	229786621	11176	0.0029
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	229786849	229789777	2	-1.692
aacb3aaa-fe24-4fae-9ccb-13190a53774f	1	229791098	248930189	13877	0.0049
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	12784	4158097	2984	-0.0057
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	4166274	4175922	37	-0.6206
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	4175977	30705290	18564	0.0057
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	30706307	30707492	3	-1.1738
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	30707740	34466002	2478	0.0019
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	34474248	34511990	46	0.6461
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	34512096	183929124	89514	0.0023
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	183929673	183943862	18	-0.5542
aacb3aaa-fe24-4fae-9ccb-13190a53774f	2	183944067	242147305	35717	0.0032
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	20930	6604856	5808	-0.0005
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	6609441	6611557	22	-0.7897
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	6611645	23937812	12015	0.003
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	23939938	23940837	2	-3.9223
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	23940839	26541729	2124	-0.0049
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	26546950	26547166	2	-1.515
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	26547373	37935209	7619	-0.0002
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	37935926	37945437	19	-0.6455
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	37945615	64631394	17087	0.0034
aacb3aaa-fe24-4fae-9ccb-13190a53774f	3	64631693	64635119	4	-1.3132
