GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	62920	1939881	318	-0.0632
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	1939898	3298168	418	-0.1832
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	3301765	9517810	4071	-0.0326
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	9520592	9536806	8	-0.9615
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	9542315	16864367	3884	-0.0149
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	16868660	16956580	57	-0.4735
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	16958425	25256850	5255	-0.0153
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	25266637	25320455	24	0.6136
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	25336819	72302735	28727	-0.0046
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	72302815	72345465	47	-1.6528
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	72346221	91727707	12706	0.0188
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	91728105	91730095	2	-2.7844
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	91730496	112147704	12862	0.0227
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	112153343	112163591	37	0.3862
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	112163596	143713930	5242	0.0145
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	143714499	144503864	50	0.4358
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	144932423	150830551	1336	0.0022
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	150836413	150836640	2	-1.4647
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	150838529	152789532	1169	0.0159
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	152789570	152795487	27	0.7867
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	152795783	161648901	5273	0.0293
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	161649069	161649268	6	1.0307
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	161678447	167557236	4692	0.0144
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	167557271	167557438	2	1.362
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	167557586	167736395	156	0.0478
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	167743841	167744279	2	-1.0381
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	167745689	169247699	1158	0.0063
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	169264736	169269507	6	0.9675
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	169272528	189679027	13440	0.0184
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	189679353	189679397	2	1.3298
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	189682917	195970782	4247	0.0317
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	195970918	195971379	3	-1.6623
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	195972161	196762956	490	0.0308
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	196769493	196846661	57	-0.4529
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	196847600	197041809	118	0.1318
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	197042447	247586338	34939	0.0174
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	247586668	248574146	578	0.1036
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	248585893	248661962	37	0.5515
8126d3e5-3669-44d9-a7c6-5659ffb354d2	1	248662519	248930189	136	0.0722
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	12784	295136	178	0.1044
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	295255	296852	4	-1.2345
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	300879	706428	318	0.0478
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	706646	977423	161	-0.1433
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	981130	7987785	5636	0.0184
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	7989207	7995913	8	-0.9152
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	7996487	34466002	17782	0.0243
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	34474248	34511990	46	0.6501
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	34512096	35742319	869	0.0396
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	35742970	35762881	9	1.0672
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	35772407	40169156	3225	0.0236
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	40170111	40173172	4	-1.452
8126d3e5-3669-44d9-a7c6-5659ffb354d2	2	40179378	128880504	51746	0.0309
