GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	62920	259422	15	-0.8146
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	259926	16604834	8628	-0.0441
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	16605031	16721984	37	-0.4419
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	16766762	109684695	57688	-0.0561
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	109684893	109702376	15	1.0483
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	109703504	121598439	7124	-0.0591
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	121601998	143657500	60	-0.7079
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	143657621	143714499	36	-0.1376
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	143714665	143796140	26	-0.7867
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	143811517	145690729	34	-0.0357
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	145691969	147216069	285	0.224
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	147216189	152381144	1836	0.3421
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	152381528	152583230	162	0.1134
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	152583291	152613762	30	-1.4947
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	152613802	153802207	870	0.1701
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	153804190	199142562	30203	0.3444
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	199142844	199143883	4	-1.1155
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	199144712	212831670	9349	0.3359
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	212831776	212832002	4	-1.0052
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	212833055	248897422	25037	0.3442
d0614ea5-41e1-43d8-9080-20e49c8c63f3	1	248897533	248930189	17	0.0837
d0614ea5-41e1-43d8-9080-20e49c8c63f3	2	12784	4168862	2989	0.1348
d0614ea5-41e1-43d8-9080-20e49c8c63f3	2	4168879	4176429	37	-0.527
d0614ea5-41e1-43d8-9080-20e49c8c63f3	2	4182472	34466002	21042	0.1347
d0614ea5-41e1-43d8-9080-20e49c8c63f3	2	34474248	34511990	46	0.7763
d0614ea5-41e1-43d8-9080-20e49c8c63f3	2	34512096	52510912	12992	0.1415
d0614ea5-41e1-43d8-9080-20e49c8c63f3	2	52511902	52554188	39	0.591
