GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fd212b09-f511-4394-a59d-9921ecc8b686	1	62920	259407	14	0.3974
fd212b09-f511-4394-a59d-9921ecc8b686	1	259422	7994229	3957	0.1351
fd212b09-f511-4394-a59d-9921ecc8b686	1	7996294	10286798	1174	0.0853
fd212b09-f511-4394-a59d-9921ecc8b686	1	10288619	11287435	531	0.1246
fd212b09-f511-4394-a59d-9921ecc8b686	1	11291667	12654349	725	0.5386
fd212b09-f511-4394-a59d-9921ecc8b686	1	12654994	15823420	1934	0.1304
fd212b09-f511-4394-a59d-9921ecc8b686	1	15827002	15828515	10	-0.3743
fd212b09-f511-4394-a59d-9921ecc8b686	1	15839166	16518437	295	0.0959
fd212b09-f511-4394-a59d-9921ecc8b686	1	16525019	16583114	6	-0.5864
fd212b09-f511-4394-a59d-9921ecc8b686	1	16604834	25266637	5370	0.1234
fd212b09-f511-4394-a59d-9921ecc8b686	1	25269390	25292440	15	-0.3241
fd212b09-f511-4394-a59d-9921ecc8b686	1	25292549	25932053	268	0.13
fd212b09-f511-4394-a59d-9921ecc8b686	1	25938753	28855229	1203	0.0645
fd212b09-f511-4394-a59d-9921ecc8b686	1	28858581	30254028	919	0.1328
fd212b09-f511-4394-a59d-9921ecc8b686	1	30258675	30266949	13	-0.4255
fd212b09-f511-4394-a59d-9921ecc8b686	1	30268649	30778417	418	0.1611
fd212b09-f511-4394-a59d-9921ecc8b686	1	30778851	33546843	1283	0.0926
fd212b09-f511-4394-a59d-9921ecc8b686	1	33547547	34190783	518	0.1538
fd212b09-f511-4394-a59d-9921ecc8b686	1	34191211	34191702	2	-0.776
fd212b09-f511-4394-a59d-9921ecc8b686	1	34196051	34626073	336	0.1721
fd212b09-f511-4394-a59d-9921ecc8b686	1	34637053	34638890	20	-0.4655
fd212b09-f511-4394-a59d-9921ecc8b686	1	34648667	45812173	6201	0.1214
fd212b09-f511-4394-a59d-9921ecc8b686	1	45812188	49516208	2216	0.1719
fd212b09-f511-4394-a59d-9921ecc8b686	1	49516847	54795536	2743	0.1368
fd212b09-f511-4394-a59d-9921ecc8b686	1	54795717	68636254	10457	0.1828
fd212b09-f511-4394-a59d-9921ecc8b686	1	68636551	72302815	2147	-0.4883
fd212b09-f511-4394-a59d-9921ecc8b686	1	72303233	72345465	46	0.454
fd212b09-f511-4394-a59d-9921ecc8b686	1	72346221	74711600	1439	-0.4879
fd212b09-f511-4394-a59d-9921ecc8b686	1	74718734	74720685	2	-3.2822
fd212b09-f511-4394-a59d-9921ecc8b686	1	74721817	110263681	22511	-0.487
fd212b09-f511-4394-a59d-9921ecc8b686	1	110267273	110332473	64	0.1352
fd212b09-f511-4394-a59d-9921ecc8b686	1	110332802	110341295	6	-0.7324
fd212b09-f511-4394-a59d-9921ecc8b686	1	110343114	110412675	34	0.171
fd212b09-f511-4394-a59d-9921ecc8b686	1	110415087	110488893	64	-0.5516
fd212b09-f511-4394-a59d-9921ecc8b686	1	110489009	110797422	280	0.1527
fd212b09-f511-4394-a59d-9921ecc8b686	1	110799868	110804285	4	-0.5481
fd212b09-f511-4394-a59d-9921ecc8b686	1	110805407	110857543	75	0.1753
fd212b09-f511-4394-a59d-9921ecc8b686	1	110858171	112147704	1062	-0.5127
fd212b09-f511-4394-a59d-9921ecc8b686	1	112153343	112153686	5	-2.29
fd212b09-f511-4394-a59d-9921ecc8b686	1	112153851	112153950	5	-0.1044
fd212b09-f511-4394-a59d-9921ecc8b686	1	112153993	112154375	7	-1.446
fd212b09-f511-4394-a59d-9921ecc8b686	1	112154390	119337229	4518	-0.4966
fd212b09-f511-4394-a59d-9921ecc8b686	1	119337400	143494500	647	0.1645
fd212b09-f511-4394-a59d-9921ecc8b686	1	143541857	145881866	237	0.6138
fd212b09-f511-4394-a59d-9921ecc8b686	1	145883561	146062439	68	0.9169
fd212b09-f511-4394-a59d-9921ecc8b686	1	146150530	146250588	4	-0.3616
fd212b09-f511-4394-a59d-9921ecc8b686	1	146716041	147238323	159	0.7828
fd212b09-f511-4394-a59d-9921ecc8b686	1	147238513	149906351	575	0.9247
fd212b09-f511-4394-a59d-9921ecc8b686	1	149907993	150555480	271	0.8273
fd212b09-f511-4394-a59d-9921ecc8b686	1	150560316	150825804	155	0.4883
fd212b09-f511-4394-a59d-9921ecc8b686	1	150828008	150941402	45	0.7835
fd212b09-f511-4394-a59d-9921ecc8b686	1	150943117	151731536	396	0.4915
fd212b09-f511-4394-a59d-9921ecc8b686	1	151734728	152583408	533	0.8658
fd212b09-f511-4394-a59d-9921ecc8b686	1	152583587	152614100	30	0.1481
fd212b09-f511-4394-a59d-9921ecc8b686	1	152614118	152787202	167	0.8651
fd212b09-f511-4394-a59d-9921ecc8b686	1	152789447	152796224	37	-0.1139
