GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	62920	1570600	206	-0.0394
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	1570655	1741164	19	-0.9067
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	1756148	16542868	8407	-0.0052
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	16544783	16868660	59	0.2807
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	16877002	25275481	5319	0.0013
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	25276376	25320455	16	-0.5783
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	25336819	72302815	28709	-0.0037
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	72303233	72345450	45	-1.1324
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	72345465	103560435	19985	0.0022
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	103560608	103765074	40	0.4474
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	103765489	105476583	912	-0.0041
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	105476614	105481448	18	0.3967
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	105481468	108186662	1934	-0.0076
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	108187137	108194874	4	-1.0497
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	108196482	108223733	17	-0.0904
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	108226680	108274557	2	-2.3022
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	108310648	109684893	674	-0.0048
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	109690352	109697556	13	-1.3751
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	109702376	112153343	1950	0.0035
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	112153465	112163440	27	-0.3736
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	112163460	116651576	2876	0.0049
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	116651953	116657782	3	-0.9265
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	116663714	143547055	2281	0.0071
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	143547139	143942271	121	-0.594
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	144432083	152790414	2528	0.0113
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	152790427	152796224	22	0.5321
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	152801429	169247699	11269	-0.0029
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	169264736	169272528	7	-2.6962
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	169273163	190003002	13702	-0.0025
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	190005624	190005826	2	-1.3275
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	190005973	193186662	2061	0.0027
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	193187149	193187202	3	-1.0051
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	193187218	196745743	2394	-0.0014
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	196758720	196832720	58	0.2826
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	196843377	223446392	18065	-0.0035
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	223454848	223472019	60	0.5395
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	223473439	229675422	3687	-0.0075
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	229681109	229684449	3	-2.6363
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	229684709	248424525	13760	-0.0029
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	248429571	248477891	18	0.4756
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	248520099	248574146	15	-0.1162
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	248585893	248645808	34	-0.8297
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	1	248646068	248930189	139	-0.0333
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	2	12784	3680971	2567	-0.0161
a72b7b9c-b14d-42c6-ae5d-259d9fb3b9eb	2	3684956	3685683	4	-1.2526
