GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	62920	4072822	1166	0.1535
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	4073181	4079871	5	-1.1084
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	4080474	16018760	7259	0.1071
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	16037445	16052921	7	0.9651
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	16063071	16679281	239	0.1381
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	16679483	16721984	10	-0.3382
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	16766762	18250457	1023	0.1225
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	18250616	18275416	28	-0.9785
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	18279110	25256850	4279	0.1269
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	25266637	25320455	24	0.708
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	25336819	32628062	3661	0.1362
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	32632867	34884665	1450	-0.4191
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	34887338	35406745	223	0.2064
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	35409605	35657009	118	0.7386
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	35657668	35663464	5	0.3952
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	35677856	36476150	349	-0.4097
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	36478492	37221817	510	-0.0562
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	37225197	37357318	112	-0.4398
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	37374921	37476352	60	0.1884
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	37481254	37569685	51	0.2513
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	37569888	37880791	147	0.5664
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	37884283	38441769	339	-0.4254
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	38443781	42352973	2245	-0.0608
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	42353448	42732223	221	0.2004
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	42737428	50049296	4087	-0.0459
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	50050652	52171266	959	-0.1921
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	52179289	52753304	285	-0.0424
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	52753393	56775561	2861	-0.2126
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	56775732	57975995	1078	0.1081
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	57980095	59157206	956	-0.2233
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	59165365	66162049	5053	-0.1884
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	66162276	72092893	3835	-0.224
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	72093456	72302735	127	0.1863
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	72302815	72346757	48	-0.7687
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	72351072	85941385	8871	0.1423
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	85941417	105478597	12077	0.1754
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	105478759	105479738	9	-0.4285
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	105479753	109690352	2639	0.1772
8fac7059-d7b3-4043-a7cb-0968cf8b540e	1	109690431	109697556	11	-0.3163
