GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	62920	787937	25	0.3379
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	793228	1306962	140	-0.1015
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	1307088	34626037	18829	-0.0211
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	34626073	34638890	21	-0.6272
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	34648667	62583411	17131	-0.018
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	62583880	72284670	6627	-0.1304
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	72290430	72297687	9	-1.2365
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	72302735	75585159	1978	-0.1318
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	75589078	75589169	2	-3.1489
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	75593824	76870991	1031	-0.1358
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	76871319	76871332	2	-1.3666
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	76873947	80270839	2036	-0.1303
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	80271317	89154109	6038	-0.0171
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	89160087	102514945	8469	-0.1299
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	102515539	102579966	36	0.0804
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	102580065	102580099	2	1.059
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	102585861	103616762	488	0.0581
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	103620877	103717410	5	0.9612
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	103717617	109679105	3570	0.054
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	109684695	109702376	16	0.5394
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	109703504	112153343	1949	0.0682
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	112153465	112163506	30	0.3909
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	112163518	152583051	7598	0.0602
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	152583230	152614118	35	-2.3931
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	152618018	196745743	29676	0.0585
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	196758720	196802150	43	0.4065
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	196820098	199138574	1393	0.0641
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	199142235	199144712	9	-0.7167
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	199145110	199573828	305	0.0537
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	199573897	199577059	5	-1.1474
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	199577780	228667018	19441	0.0579
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	228671781	228671795	2	-1.4948
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	228672619	240228440	8822	0.0597
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	240230715	240230824	5	-2.1396
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	240230839	242895843	2080	0.0625
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	242895940	242922374	16	-0.3333
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	242922588	243690894	398	0.0608
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	243697622	243697759	5	-1.3328
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	243699806	246780043	2122	0.0514
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	246780235	246782363	3	-1.3106
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	246782442	248546369	1062	0.0594
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	248550567	248661962	40	0.4847
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	1	248662519	248930189	136	0.0673
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	12784	10497223	8055	0.0546
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	10499539	13115931	1980	-0.1343
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	13117292	29489899	10686	0.0432
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	29492346	29493501	5	-5.7759
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	29494716	146104517	69711	0.0478
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	146106836	146109366	24	-2.2397
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	146120238	152364175	3814	0.054
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	152365322	152366104	4	-0.8818
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	152369135	159100008	3969	0.0466
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	159100384	159104461	6	-0.7852
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	159106775	164178765	3011	0.0496
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	164179099	164180252	6	-0.6213
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	164180785	179555026	9701	0.0463
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	179555716	179556785	11	-0.5396
e1d94da9-ee6f-4075-af4f-3f3b2d775dc8	2	179557019	181287425	1175	0.0477
