GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	62920	805477	27	0.1838
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	806913	3424291	790	-0.1925
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	3426577	16689764	7847	-0.0555
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	16718963	16788139	19	-0.5543
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	16855942	16935737	55	0.2816
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	16935752	20556710	2538	-0.0697
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	20556929	20557323	4	-0.9937
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	20558448	24160596	2000	-0.0638
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	24161372	25292440	724	-0.3143
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	25292549	25320253	7	0.5716
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	25320455	26866557	674	-0.3069
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	26870577	30268649	1719	-0.0521
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	30268809	30272363	3	-1.195
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	30274729	37346105	4019	-0.0584
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	37348458	37472740	65	-0.2687
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	37476352	38604814	641	-0.0635
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	38604869	38604889	2	-1.7192
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	38605187	41737186	1744	-0.0485
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	41739884	45852675	2313	-0.3084
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	45854795	52981291	3712	-0.0453
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	52988029	54533609	1034	-0.3288
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	54539057	72331209	12791	-0.04
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	72331343	72351338	24	0.2986
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	72352916	103560166	19961	-0.0292
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	103560435	103697364	32	0.5453
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	103717410	105476583	921	-0.0204
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	105476614	105479722	14	-0.5052
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	105479738	109690352	2636	-0.0253
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	109690415	109697556	12	0.8639
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	109702376	113209810	2650	-0.0318
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	113212158	119192607	3725	-0.2997
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	119192703	121551153	724	-0.0265
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	121552111	143547578	30	0.289
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	143550417	143751744	99	0.5834
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	143751765	152583051	2325	0.3612
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	152583230	152614118	35	-1.8109
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	152618018	152787202	167	0.3835
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	152789447	152796224	37	-0.3469
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	152801429	154360394	895	0.3411
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	154360663	156984592	1250	0.1569
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	156985100	157120827	92	0.3305
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	157120968	157377340	165	0.4913
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	157378672	158896783	1208	0.3611
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	158898711	158899969	2	-0.7803
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	158905028	169247699	7653	0.3554
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	169264736	169272528	6	1.0315
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	169273163	174021418	3158	0.3553
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	174029656	177842171	2365	0.1693
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	177842220	177842236	2	-1.0635
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	177842364	185614736	5321	0.1659
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	185615168	187017759	836	0.3577
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	187019066	194479104	5018	0.3774
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	194482281	194485888	2	1.7241
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	194487886	199271296	2975	0.3895
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	199275120	203935975	3070	0.3418
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	203937000	203945276	11	-0.2552
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	203952540	209897717	4228	0.3584
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	209908268	209910639	3	1.1947
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	209913207	212831113	1945	0.3376
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	212831670	212833055	6	-4.3385
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	212837094	214464465	1142	0.3484
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	214465093	214465114	2	-1.4147
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	214465910	228339589	9138	0.3553
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	228344757	228514917	70	0.1506
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	1	228515588	248930189	14700	0.3581
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	12784	1750975	1131	-0.0008
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	1751160	1751388	3	-1.1793
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	1751515	4158097	1849	0.0049
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	4166274	4176429	42	-0.6731
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	4182472	29692339	17838	0.0246
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	29693682	29798816	88	-0.6409
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	29800071	52512042	16136	0.0304
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	52512079	52563002	44	0.4883
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	52563355	65491681	8235	0.0389
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	65492705	65492807	2	-1.8192
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	65496822	76617340	7271	0.0221
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	76618047	76618300	5	-1.0472
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	76620460	86710564	6358	0.0304
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	86725947	86743283	3	-1.0204
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	86744622	87203730	100	0.0675
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	87207015	87228594	11	0.4511
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	87229739	88848037	587	0.0065
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	88848170	88998582	83	-0.2306
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	89002385	97124542	1091	0.0233
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	97128607	97211436	41	0.3072
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	97310327	113604438	9378	0.0212
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	113604837	113604839	2	-1.5221
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	113623244	127071365	8540	0.0304
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	127071706	127103254	20	-0.458
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	127104330	137918929	6409	0.0205
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	137919219	138307553	233	0.1438
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	138308319	143211942	3151	0.0333
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	143212280	143673261	286	-0.5832
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	143684114	185175384	25440	0.035
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	185177882	186018260	411	0.1334
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	186019397	230173687	27149	0.0341
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	2	230174194	242147305	7351	0.0058
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	20930	5474740	4804	-0.2575
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	5474770	5993266	436	0.0095
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	5995416	6303328	324	0.2224
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	6308195	6429531	88	-0.0441
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	6429744	6611645	166	0.104
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	6613391	16199049	7049	-0.0498
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	16199122	16199672	5	-2.4466
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	16199818	22439855	4054	-0.0169
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	22440598	22440614	2	-2.1486
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	22441277	22911909	310	-0.0241
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	22914394	23597162	400	0.1822
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	23597909	59800306	22690	-0.0373
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	59800616	60998932	1340	0.0321
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	61001899	65207706	3576	-0.0503
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	65210570	65213590	17	-0.5046
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	65213747	68697013	2447	-0.0283
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	68697108	68698262	14	-1.318
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	68699607	75519398	4924	-0.0388
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	75523398	75537654	6	-1.6359
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	75546030	85439590	5441	-0.0182
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	85441637	85572010	79	0.1853
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	85573513	99218940	5436	-0.0162
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	99225614	99230470	37	0.4673
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	99230577	128411510	17908	-0.0389
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	128415138	128956464	313	0.1739
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	128957427	129941216	402	-0.0449
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	129944074	134827250	3167	0.1786
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	134827553	135489586	531	-0.05
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	135490792	143264088	4528	0.1733
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	143265404	143757569	392	-0.0073
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	143758168	146676270	1876	0.2145
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	146676880	147060872	197	0.324
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	147061623	149484196	1497	0.2102
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	149485362	149731949	161	-0.0492
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	149732159	161160149	6928	0.1822
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	161165119	161312253	72	-0.0274
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	161312654	162794951	989	0.2265
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	162795304	162910826	71	0.7316
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	162910855	162996729	69	0.3039
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	162999939	163001774	2	1.5167
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	163008371	170532186	4329	0.2133
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	170532611	173485316	1922	-0.0365
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	173485440	175362822	1324	0.1847
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	175362958	175363536	5	-1.3862
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	175368999	175821487	306	0.3187
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	175821536	178794132	1820	0.1845
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	178795401	180753918	1216	-0.042
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	180755037	180761369	5	0.6541
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	180761700	182744773	1051	-0.0232
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	182745626	183857995	651	0.1393
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	183862683	193156958	6444	-0.0347
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	193160113	193165114	20	-0.7797
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	193168646	195729177	1515	-0.0542
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	195730018	195747892	11	-0.7142
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	3	195751823	198169247	1163	-0.0177
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	4	68929	712312	245	0.0108
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	4	721147	886910	66	-0.2921
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	4	888855	8718442	4770	-0.0686
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	4	8720526	9477699	67	-0.6274
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	4	9484440	10208766	537	-0.0573
5c79b823-af1a-4fa9-9cbb-1f1224d852c3	4	10212536	10229874	29	-1.8571
