GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	62920	86341	11	-0.7628
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	98588	826738	25	0.1826
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	833413	3427651	786	-0.0871
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	3428581	72280898	41831	0.0252
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	72284165	72297687	11	-0.6842
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	72302735	72346221	49	0.597
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	72346757	75585159	1926	0.036
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	75589078	75589169	2	-2.053
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	75593824	81422771	3837	0.0471
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	81422917	81422920	2	1.7114
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	81422982	107595813	16624	0.0296
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	107596150	107596877	2	-1.8846
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	107596903	109690352	1149	0.0366
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	109690415	109697556	12	0.5976
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	109702376	112147704	1947	0.0289
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	112153343	112154591	22	-1.712
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	112154619	143494500	5148	0.027
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	143541857	143708229	76	-0.3213
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	143709115	144432313	52	0.0159
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	144442092	152583319	2309	0.2797
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	152583408	152613641	27	1.2448
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	152613762	174827267	14981	0.2803
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	174827418	174832702	16	-0.4301
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	174832716	196769652	14615	0.2927
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	196769851	196802150	35	0.9551
ccfc1960-0dc4-4b30-a50b-67babdf20a60	1	196820098	248930189	35734	0.2842
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	12784	265970	161	-0.3379
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	266184	619575	251	0.0086
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	619754	1080998	325	-0.3085
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	1081282	14934582	10536	0.028
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	14935156	23623566	6240	-0.297
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	23631258	32797478	5198	0.033
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	32803610	32805863	4	1.2483
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	32808398	41011095	6131	0.039
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	41011303	41018409	21	-0.4989
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	41018747	89960252	30924	0.0358
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	89963133	90224032	117	-0.7181
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	90228220	97359885	947	0.0348
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	97524284	97545726	9	-1.0405
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	97550415	106263639	5562	0.0283
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	106264257	106268901	11	0.765
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	106270799	111686555	2710	0.036
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	111686882	111689789	3	-1.5145
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	111693810	113604438	1067	0.0333
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	113604837	113604839	2	-1.852
ccfc1960-0dc4-4b30-a50b-67babdf20a60	2	113623244	124447840	6915	0.0368
