GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b8db5862-cc40-4276-90ca-13324afd43c2	1	62920	833413	37	-0.3011
b8db5862-cc40-4276-90ca-13324afd43c2	1	841742	4020704	1089	0.0719
b8db5862-cc40-4276-90ca-13324afd43c2	1	4020720	15822848	7205	0.1167
b8db5862-cc40-4276-90ca-13324afd43c2	1	15823420	15827430	7	-0.4774
b8db5862-cc40-4276-90ca-13324afd43c2	1	15827706	16785682	354	0.1439
b8db5862-cc40-4276-90ca-13324afd43c2	1	16787932	16934753	52	-0.108
b8db5862-cc40-4276-90ca-13324afd43c2	1	16934768	25256850	5266	0.1203
b8db5862-cc40-4276-90ca-13324afd43c2	1	25266637	25320455	24	0.4558
b8db5862-cc40-4276-90ca-13324afd43c2	1	25336819	72284670	28710	0.1279
b8db5862-cc40-4276-90ca-13324afd43c2	1	72290430	72297687	9	-1.2566
b8db5862-cc40-4276-90ca-13324afd43c2	1	72302735	72345465	48	0.6122
b8db5862-cc40-4276-90ca-13324afd43c2	1	72346221	77338793	3246	0.1565
b8db5862-cc40-4276-90ca-13324afd43c2	1	77338877	82633931	3355	0.1056
b8db5862-cc40-4276-90ca-13324afd43c2	1	82634755	89009572	4322	0.1535
b8db5862-cc40-4276-90ca-13324afd43c2	1	89012275	89012522	2	-2.9414
b8db5862-cc40-4276-90ca-13324afd43c2	1	89015841	101668582	7938	0.1384
b8db5862-cc40-4276-90ca-13324afd43c2	1	101669531	103613180	1131	-0.311
b8db5862-cc40-4276-90ca-13324afd43c2	1	103614539	103717410	11	-1.3459
b8db5862-cc40-4276-90ca-13324afd43c2	1	103717617	105470754	919	-0.3393
b8db5862-cc40-4276-90ca-13324afd43c2	1	105476583	105479753	17	0.0954
b8db5862-cc40-4276-90ca-13324afd43c2	1	105481433	108187137	1934	-0.3234
b8db5862-cc40-4276-90ca-13324afd43c2	1	108191613	108194874	3	-3.1952
b8db5862-cc40-4276-90ca-13324afd43c2	1	108196482	109690705	698	-0.3021
b8db5862-cc40-4276-90ca-13324afd43c2	1	109690949	109702376	9	0.1979
b8db5862-cc40-4276-90ca-13324afd43c2	1	109703504	110788378	801	-0.3343
b8db5862-cc40-4276-90ca-13324afd43c2	1	110789023	110858617	90	-0.1295
b8db5862-cc40-4276-90ca-13324afd43c2	1	110858700	112147626	1058	-0.3112
