GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	62920	16504325	8638	0.0005
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	16505368	16864367	62	-0.4074
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	16868660	72303233	34053	0.0029
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	72303253	72345465	45	-0.9018
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	72346221	74803600	1505	0.0184
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	74805388	74808182	2	1.8642
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	74808303	121597150	29218	0.01
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	121598439	143754062	116	-0.7281
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	143754077	152583051	2322	0.0327
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	152583230	152614064	33	2.6293
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	152614100	169247699	11473	0.0091
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	169264736	169272528	7	-1.8135
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	169273163	193186662	15755	0.0063
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	193187149	193187218	4	1.6771
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	193190593	196745743	2392	0.0118
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	196758720	196771842	12	-0.8068
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	196771987	218529739	14869	0.0072
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	218531745	218846993	204	0.4532
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	218847270	241042133	15521	0.0055
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	241042311	241042374	2	1.7935
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	241045696	243143622	1523	-0.0051
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	243144364	243187175	14	0.7634
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	243189078	248574146	3522	0.0339
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	248585893	248631988	30	-1.7924
97a63eca-610a-4039-a2cf-4bcb1bce2855	1	248633821	248930189	143	0.0441
