GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	62920	668210	21	0.4067
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	771719	3259896	702	-0.0781
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	3260916	4298134	587	0.0868
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	4299323	5427147	1040	-0.0371
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	5427994	6119693	521	0.0696
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	6131071	6630080	196	0.0925
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	6631059	7188754	360	0.2823
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	7191300	14573858	4006	0.1496
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	14573923	16679483	1228	0.0766
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	16685961	16949746	79	-0.3858
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	16951445	18302090	996	0.1201
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	18302248	19243289	655	0.2321
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	19243410	21820786	1591	0.0998
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	21825156	21833764	3	-0.9299
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	21837671	21966764	75	0.1814
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	21966905	22103853	75	-0.0989
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	22105284	25256850	1855	0.1321
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	25266637	25320198	22	0.6993
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	25320253	30253727	2378	0.1075
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	30253846	33763529	1890	-0.0026
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	33765616	37949643	2423	0.1206
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	37954598	44046671	3570	0.1535
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	44049788	52069650	4197	0.1033
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	52069823	56300921	2816	0.0585
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	56300954	56925756	512	-0.0302
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	56929578	56961578	28	0.118
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	56962666	57181451	203	-0.0573
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	57181792	58254237	930	-0.2111
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	58257886	58267654	13	0.4257
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	58276798	70971064	8901	-0.1742
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	70972456	72303233	780	-0.1162
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	72303253	72345465	45	-1.3068
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	72346221	72379161	20	-0.2897
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	72379884	74982174	1568	-0.1026
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	74985519	75774336	463	-0.2266
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	75774375	77342662	1185	-0.0435
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	77348674	77694209	208	0.083
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	77697244	78863109	627	-0.0452
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	78863664	78864015	3	-1.3449
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	78864224	79033875	88	0.018
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	79034400	88636365	6504	-0.1609
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	88636388	90792979	1349	-0.2327
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	90793015	95682626	3103	-0.3094
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	95682817	104907600	5432	-0.2328
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	104907739	104908473	2	-1.9554
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	104909154	109690431	2951	-0.2316
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	109690640	109703508	13	-1.0055
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	109707613	115566237	4086	-0.2132
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	115569308	117938653	1587	-0.0854
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	117964606	118594257	364	-0.04
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	118596180	152583051	3496	0.0791
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	152583230	152614118	35	-1.4378
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	152618018	152787202	166	0.1112
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	152789447	152789918	8	-0.4504
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	152789962	152790427	8	0.1196
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	152790502	152795487	15	-0.5882
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	152795783	196758720	29338	0.0869
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	196761905	196762956	3	-1.7199
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	196769493	196843377	55	0.1708
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	196843400	196846661	2	4.4856
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	196847600	196916555	54	-0.3701
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	196917579	217536548	14051	0.0796
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	217537191	217537218	2	-2.8345
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	217546221	217903655	218	0.133
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	217903957	232945045	9906	0.0816
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	232945847	232954418	6	-1.045
b4dd2dba-4c89-48e8-b74a-bb8d55e85b25	1	232961185	238136329	3916	0.0932
