GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	62920	16863509	8667	0.0088
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	16864367	16971203	64	-0.395
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	16972001	25256850	5236	0.0144
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	25266637	25320455	24	0.9774
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	25336819	65432318	24168	0.0159
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	65437762	65440582	2	-3.4517
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	65441079	72297687	4479	0.0111
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	72302735	72346221	49	-1.6221
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	72346757	105470754	20878	0.0149
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	105476583	105481448	19	0.9677
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	105481468	109690352	2621	0.0092
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	109690415	109691788	7	-1.0509
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	109691933	110831471	836	0.0257
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	110832944	110845604	42	0.3099
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	110849445	143541857	6235	0.0208
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	143545399	143927536	122	-0.6807
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	143927887	248585918	67499	0.013
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	248586259	248633912	30	-0.7028
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	1	248645563	248930189	140	0.026
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	12784	34466002	24000	0.0113
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	34474248	34511990	46	0.6687
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	34512489	52527743	12971	0.0145
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	52531615	52554404	33	0.8082
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	52560811	54401984	1388	-0.0047
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	54402189	54406340	2	-2.3258
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	54407107	79357930	15933	0.0134
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	79361063	79362751	3	-1.6325
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	79362794	87074984	4596	0.0123
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	87079825	87082140	2	-1.6736
fb3ba5d2-2183-4042-bcf8-f0054ff972f9	2	87082711	88918008	661	0.0175
