GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
16a37b71-7609-47aa-bd78-4131adb890bd	1	62920	46044681	25262	-0.0018
16a37b71-7609-47aa-bd78-4131adb890bd	1	46046603	46048154	2	2.8059
16a37b71-7609-47aa-bd78-4131adb890bd	1	46053881	72297687	17353	0.0007
16a37b71-7609-47aa-bd78-4131adb890bd	1	72302735	72323161	22	0.6038
16a37b71-7609-47aa-bd78-4131adb890bd	1	72323928	74330842	1189	0.0034
16a37b71-7609-47aa-bd78-4131adb890bd	1	74333184	74333893	3	1.6001
16a37b71-7609-47aa-bd78-4131adb890bd	1	74334349	81422771	4581	-0.0068
16a37b71-7609-47aa-bd78-4131adb890bd	1	81422917	81422920	2	1.7628
16a37b71-7609-47aa-bd78-4131adb890bd	1	81422982	83375306	1310	-0.0077
16a37b71-7609-47aa-bd78-4131adb890bd	1	83384675	83384707	2	2.1213
16a37b71-7609-47aa-bd78-4131adb890bd	1	83387968	143494500	23545	-0.0007
16a37b71-7609-47aa-bd78-4131adb890bd	1	143541857	144432083	127	-0.6293
16a37b71-7609-47aa-bd78-4131adb890bd	1	144432313	152602985	2322	0.0122
16a37b71-7609-47aa-bd78-4131adb890bd	1	152606973	152606992	2	2.2017
16a37b71-7609-47aa-bd78-4131adb890bd	1	152607145	196788990	29566	0.0061
16a37b71-7609-47aa-bd78-4131adb890bd	1	196789019	196789029	2	2.2912
16a37b71-7609-47aa-bd78-4131adb890bd	1	196790144	196843377	22	0.2718
16a37b71-7609-47aa-bd78-4131adb890bd	1	196843400	196846661	2	3.847
16a37b71-7609-47aa-bd78-4131adb890bd	1	196847600	231671142	23141	0.0017
16a37b71-7609-47aa-bd78-4131adb890bd	1	231672536	231676735	2	2.3526
16a37b71-7609-47aa-bd78-4131adb890bd	1	231677572	248572774	12329	0.0023
16a37b71-7609-47aa-bd78-4131adb890bd	1	248574146	248645563	34	-0.6086
16a37b71-7609-47aa-bd78-4131adb890bd	1	248645808	248930189	140	0.0467
16a37b71-7609-47aa-bd78-4131adb890bd	2	12784	127094445	78650	-0.0013
16a37b71-7609-47aa-bd78-4131adb890bd	2	127099470	127100187	2	2.584
