GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
07431666-42ca-495b-a72d-81bd9332ef79	1	62920	259422	15	-0.333
07431666-42ca-495b-a72d-81bd9332ef79	1	259926	2026474	327	0.0217
07431666-42ca-495b-a72d-81bd9332ef79	1	2038310	3259074	380	-0.1334
07431666-42ca-495b-a72d-81bd9332ef79	1	3259896	16570326	7928	0.0009
07431666-42ca-495b-a72d-81bd9332ef79	1	16583114	16864367	55	-0.3652
07431666-42ca-495b-a72d-81bd9332ef79	1	16868660	16935752	53	0.5809
07431666-42ca-495b-a72d-81bd9332ef79	1	16949746	22062398	3364	-0.0026
07431666-42ca-495b-a72d-81bd9332ef79	1	22062412	34626073	6855	0.0896
07431666-42ca-495b-a72d-81bd9332ef79	1	34637053	34648667	21	-0.6302
07431666-42ca-495b-a72d-81bd9332ef79	1	34649941	41251474	3555	0.0892
07431666-42ca-495b-a72d-81bd9332ef79	1	41256904	61648334	12864	-0.0466
07431666-42ca-495b-a72d-81bd9332ef79	1	61649279	61652515	2	-3.0205
07431666-42ca-495b-a72d-81bd9332ef79	1	61654137	72284670	7262	-0.0431
07431666-42ca-495b-a72d-81bd9332ef79	1	72290430	72297687	9	-1.1878
07431666-42ca-495b-a72d-81bd9332ef79	1	72302735	72343689	42	0.5451
07431666-42ca-495b-a72d-81bd9332ef79	1	72343748	89009572	10903	-0.0431
07431666-42ca-495b-a72d-81bd9332ef79	1	89012275	89012522	2	-2.6324
07431666-42ca-495b-a72d-81bd9332ef79	1	89015841	105457777	9962	-0.045
07431666-42ca-495b-a72d-81bd9332ef79	1	105458321	105479753	25	0.5653
07431666-42ca-495b-a72d-81bd9332ef79	1	105481433	109690431	2631	-0.041
07431666-42ca-495b-a72d-81bd9332ef79	1	109690640	109691788	5	-1.4155
07431666-42ca-495b-a72d-81bd9332ef79	1	109691933	112153686	1957	-0.0516
07431666-42ca-495b-a72d-81bd9332ef79	1	112153851	112163518	27	0.4311
07431666-42ca-495b-a72d-81bd9332ef79	1	112163527	121581632	5137	-0.035
07431666-42ca-495b-a72d-81bd9332ef79	1	121593055	144442092	137	-0.6521
07431666-42ca-495b-a72d-81bd9332ef79	1	144442098	152583051	2302	0.0963
07431666-42ca-495b-a72d-81bd9332ef79	1	152583230	152613802	32	1.8767
07431666-42ca-495b-a72d-81bd9332ef79	1	152614064	152778761	161	0.0736
07431666-42ca-495b-a72d-81bd9332ef79	1	152782154	152806050	49	0.5006
07431666-42ca-495b-a72d-81bd9332ef79	1	152806082	248446755	64920	0.0878
07431666-42ca-495b-a72d-81bd9332ef79	1	248447206	248463796	7	-1.0284
07431666-42ca-495b-a72d-81bd9332ef79	1	248467495	248930189	193	0.1159
07431666-42ca-495b-a72d-81bd9332ef79	2	12784	12654852	9722	0.0906
07431666-42ca-495b-a72d-81bd9332ef79	2	12655474	12663827	3	-1.751
07431666-42ca-495b-a72d-81bd9332ef79	2	12664310	14205667	976	0.1041
07431666-42ca-495b-a72d-81bd9332ef79	2	14208790	14218033	22	0.7659
07431666-42ca-495b-a72d-81bd9332ef79	2	14218046	14219898	7	0.1864
07431666-42ca-495b-a72d-81bd9332ef79	2	14219975	14239203	34	0.7805
07431666-42ca-495b-a72d-81bd9332ef79	2	14239371	34466002	13265	0.1021
07431666-42ca-495b-a72d-81bd9332ef79	2	34474248	34511990	45	-1.3951
07431666-42ca-495b-a72d-81bd9332ef79	2	34512096	52510045	12958	0.1051
07431666-42ca-495b-a72d-81bd9332ef79	2	52510874	52554404	48	0.8582
07431666-42ca-495b-a72d-81bd9332ef79	2	52560811	113604438	33149	0.0989
07431666-42ca-495b-a72d-81bd9332ef79	2	113604837	113604839	2	-2.7567
07431666-42ca-495b-a72d-81bd9332ef79	2	113623244	116831010	1936	0.1
07431666-42ca-495b-a72d-81bd9332ef79	2	116832191	116832277	2	-2.3339
07431666-42ca-495b-a72d-81bd9332ef79	2	116833669	123191878	4120	0.1061
07431666-42ca-495b-a72d-81bd9332ef79	2	123191894	123194716	2	-2.4274
07431666-42ca-495b-a72d-81bd9332ef79	2	123194798	146106875	13918	0.0942
07431666-42ca-495b-a72d-81bd9332ef79	2	146106889	146109366	21	-1.5391
07431666-42ca-495b-a72d-81bd9332ef79	2	146120238	242147305	58902	0.098
07431666-42ca-495b-a72d-81bd9332ef79	3	20930	6604856	5794	0.0143
07431666-42ca-495b-a72d-81bd9332ef79	3	6609441	6611645	23	-1.111
07431666-42ca-495b-a72d-81bd9332ef79	3	6613391	32776023	18466	-0.0068
07431666-42ca-495b-a72d-81bd9332ef79	3	32778692	37236557	2783	0.1256
07431666-42ca-495b-a72d-81bd9332ef79	3	37237583	37940617	461	0.0068
07431666-42ca-495b-a72d-81bd9332ef79	3	37940970	37945437	17	-1.2518
07431666-42ca-495b-a72d-81bd9332ef79	3	37945615	75519398	25030	-0.0066
07431666-42ca-495b-a72d-81bd9332ef79	3	75523398	75547095	8	-1.7087
