GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	62920	2536961	489	0.1125
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	2541819	16570326	8161	0.001
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	16583114	16643816	24	-0.4786
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	16643864	16864367	31	-0.0526
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	16868660	16951445	55	0.3473
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	16955930	25278567	5261	-0.0035
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	25284629	25284961	2	-1.7273
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	25289805	72284670	28667	-0.0029
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	72290430	72297687	9	-0.8538
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	72302735	72345465	48	1.2101
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	72346221	75585159	1920	-0.0015
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	75589078	75589169	2	-2.2223
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	75593824	109679105	21594	0.0011
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	109684695	109697556	15	-0.8553
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	109702376	112147704	1949	-0.0018
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	112153343	112154552	19	0.5629
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	112154566	152599241	7607	-0.0016
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	152599461	152613641	16	-1.0142
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	152613762	152790414	186	0.0106
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	152790427	152795471	15	-0.9186
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	152795487	169247699	11250	0.003
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	169264736	169272528	7	-2.0093
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	169273163	196758720	18114	0.0035
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	196761905	196832312	55	-0.7002
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	196832525	222193326	17347	0.0062
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	222201492	222203662	2	-3.1108
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	222208792	246548302	16991	0.001
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	246548342	246551374	2	-1.8866
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	246551894	248574146	1201	0.005
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	248585893	248633912	32	-0.7117
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	1	248645563	248930189	141	-0.0212
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	12784	4158097	2982	0.0194
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	4166274	4175977	38	-0.6864
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	4176105	35750907	21924	-0.0016
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	35752724	35762881	7	-1.7147
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	35772407	87286164	34128	-0.0009
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	87287256	87287267	2	-2.1055
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	87295819	89897956	726	0.0014
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	89920951	90281849	130	-0.8901
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	90282534	113604438	10298	-0.0043
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	113604837	113604839	2	-1.9845
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	113623244	128880904	9575	-0.0064
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	128880928	128882741	14	-0.8082
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	128882755	129027150	111	0.0153
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	129027826	129027847	2	-1.8101
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	129031535	159102108	18060	-0.0007
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	159103831	159104461	2	2.2462
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	159106775	179553484	12669	-0.0009
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	179553606	179556770	21	-1.0223
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	179556785	242016144	38347	-0.0002
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	2	242016173	242147305	91	-0.9339
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	3	20930	6604856	5794	-0.0051
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	3	6609441	6610989	17	-0.8814
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	3	6611381	28770519	15572	-0.0048
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	3	28770768	28777632	7	-1.0231
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	3	28779939	52988933	14220	-0.0024
3433bddd-8f36-4ee0-a3c6-318cc8645c2a	3	52989195	53004928	36	-0.374
