GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	62920	1889180	309	-0.042
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	1892483	3137542	355	-0.1818
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	3137704	16890908	8027	-0.0019
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	16890985	16935752	45	-0.5336
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	16949746	25244778	5237	0.0057
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	25247980	25320198	29	-0.5673
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	25320253	33312089	3938	0.0013
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	33323283	33324037	2	-1.85
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	33324926	54777917	12125	0.0223
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	54785779	54795278	5	-1.1664
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	54795419	72303233	12580	0.0292
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	72303253	72345465	45	-1.1899
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	72346221	75585159	1927	0.0076
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	75589078	75589169	2	-3.043
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	75593824	109690352	21650	0.026
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	109690415	109702376	13	1.8325
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	109703504	143541857	7120	0.0225
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	143545399	143928045	124	-0.5658
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	143942271	144442342	6	0.0509
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	144445555	152583291	2311	0.6404
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	152583319	152613762	29	1.2229
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	152613802	152789570	175	0.6298
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	152789781	152801429	33	1.1569
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	152804279	153220353	329	0.6859
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	153220702	153225469	6	0.0058
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	153228332	154154624	468	0.6215
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	154157895	154162236	3	-0.4342
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	154163290	156578372	1148	0.6507
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	156580437	159667333	2160	0.3755
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	159669141	161104811	961	0.6555
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	161104839	162584349	932	0.3908
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	162588915	163020096	424	0.6596
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	163027550	174827418	8372	0.3783
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	174827561	174832702	15	-2.8332
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	174832716	196843377	14693	0.3779
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	196843400	196846661	2	-1.5816
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	196847600	212803607	10706	0.3809
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	212803644	214369582	1058	0.022
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	214369976	214411953	37	-0.2968
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	214412192	222072248	5480	0.016
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	222089595	223023941	535	0.3696
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	223025800	223240423	101	0.0054
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	223240462	225477992	1423	0.3895
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	225478047	227152477	1021	0.0089
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	227156820	232159657	3262	0.3762
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	232159789	237323909	3938	0.0172
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	237326004	241857217	3627	0.3569
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	241858995	241865177	13	-0.1648
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	241866849	246477341	3130	0.3764
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	246479836	246482495	2	-1.371
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	246488245	246921569	282	0.391
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	246923580	248231040	809	0.0024
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	248238834	248461036	136	0.21
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	1	248463321	248930189	193	-0.0285
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	12784	1751160	1130	-0.0443
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	1751351	1751388	2	-2.6858
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	1751515	34466002	22906	0.0178
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	34474248	34511990	46	0.4965
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	34512096	52527423	12983	0.0289
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	52527590	52531615	4	-1.2176
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	52531630	52554404	32	0.5681
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	52560811	76701930	15574	0.0233
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	76708905	76729368	17	-0.9163
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	76729697	86710564	6281	0.0244
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	86725947	86726731	2	-1.6981
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	86743283	87462096	153	0.0391
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	87463778	87520299	17	-0.6296
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	87521464	97181113	1726	0.0031
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	97181150	97211436	18	0.5591
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	97310327	99524283	1031	-0.1947
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	99524887	104965547	3503	0.0013
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	104965885	105519180	393	-0.2565
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	105521668	105522355	2	-2.2741
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	105522759	106061767	494	-0.2562
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	106062150	106062259	2	-1.761
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	106062299	106265083	145	-0.2609
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	106265177	106268901	9	-2.2195
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	106270799	144511130	22784	-0.2275
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	144513025	145572861	611	0.2191
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	145578383	145843605	159	-0.2392
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	145843979	146181881	228	-0.8207
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	146183724	218192615	43757	-0.2301
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	218193087	218193125	2	-3.4886
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	218193194	236623439	11729	-0.2467
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	236626512	236636798	7	-2.368
5f2d5688-df45-46b2-aebf-2cd3c0b0e93a	2	236636869	242109214	3242	-0.297
