GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	62920	16542868	8628	0.0041
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	16544783	16935302	108	0.4261
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	16935393	72284670	33949	0.0029
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	72290430	72296993	8	-1.0588
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	72297687	72323161	23	0.4708
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	72323928	81422771	5793	0.0163
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	81422917	81422920	2	1.9455
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	81422982	105079911	14922	0.0037
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	105080318	105080931	2	1.7486
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	105084196	105470754	216	0.041
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	105476583	105486052	23	0.5833
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	105486456	109690352	2626	0.0127
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	109690415	109697556	12	1.2081
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	109702376	152583051	9550	0.0103
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	152583230	152613762	31	1.0884
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	152613802	155210675	1547	0.0077
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	155219369	155231273	11	1.1644
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	155241876	158547206	1935	-0.0061
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	158547283	158550505	15	-0.8501
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	158553881	174828177	11479	0.0049
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	174828195	174835884	27	0.4126
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	174835901	178689682	2487	0.0044
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	178690798	178707731	55	-0.6532
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	178707830	193186662	9658	0.0044
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	193187149	193187218	4	1.4675
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	193190593	196772186	2404	0.0104
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	196772237	196780691	12	-0.6801
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	196780705	199142235	1405	0.0108
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	199142298	199143343	5	-2.2544
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	199143396	210431514	7742	-0.0039
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	210431650	210441949	23	-0.9075
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	210446867	234658528	16555	-0.0008
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	234658679	234659492	2	-2.5613
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	234660117	240230732	4186	-0.0005
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	240230748	240230824	3	-1.9165
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	240230839	243143622	2138	0.0061
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	243144364	243187175	14	0.5969
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	243189078	246344394	2183	0.0094
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	246344681	246347477	3	1.7896
bcc99491-16da-45bc-89ad-e71461bf5ac8	1	246348722	248930189	1515	0.0267
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	12784	34474248	24044	0.009
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	34476327	34515960	52	0.6041
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	34517843	41011095	4794	0.0131
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	41011303	41018747	22	-0.4791
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	41024093	52527330	8162	0.0041
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	52527342	52554404	39	0.5096
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	52560811	68934999	10796	0.0065
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	68935023	68936617	2	-1.5428
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	68938957	86901078	11134	0.0053
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	86902080	86910262	2	-1.9471
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	86934730	97359885	1863	0.007
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	97524284	97624729	25	0.4575
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	97627711	106263639	5547	0.0066
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	106264257	106270799	12	-2.2066
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	106270952	113429370	3763	-0.0021
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	113429373	113429380	2	-1.6363
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	113478959	113604438	15	-0.1287
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	113604837	113604839	2	-1.9377
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	113623244	123123640	6012	0.0052
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	123126362	123133483	5	-1.3774
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	123135123	127094445	2536	0.0253
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	127099470	127100187	2	2.234
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	127100370	146104517	11436	0.0155
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	146106836	146120827	26	0.7588
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	146120842	179548644	20455	0.0059
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	179553484	179557161	27	-2.3419
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	179557179	188703060	5383	0.0035
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	188703229	188713901	22	-0.7599
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	188714106	208364430	11535	0.0076
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	208374882	208382659	40	-0.5122
bcc99491-16da-45bc-89ad-e71461bf5ac8	2	208383008	242147305	21481	0.0045
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	20930	477480	440	0.0403
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	479956	485540	3	1.7447
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	486218	46751887	32680	0.0101
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	46760327	46808099	40	-0.6539
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	46817989	68676600	14531	0.0049
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	68682877	68698262	16	1.0273
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	68699607	99225754	15882	0.0031
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	99225775	99230470	32	0.5308
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	99230577	114936935	9444	-0.0021
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	114941745	114942097	6	-2.638
bcc99491-16da-45bc-89ad-e71461bf5ac8	3	114950103	126001805	6889	0.0007
