GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	62920	2541819	490	0.1347
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	2551482	10307286	4675	0.0041
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	10310344	10321730	20	0.4468
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	10321821	16643505	3488	0.0048
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	16643683	16935302	83	-0.4257
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	16935393	20567472	2561	-0.0001
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	20567957	20568124	2	-1.8899
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	20568125	21992508	784	0.0171
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	21996664	22010750	5	-0.93
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	22011632	25129034	1826	-0.0012
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	25129401	25129543	4	0.8989
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	25129556	25266637	83	0.0157
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	25269390	25318693	18	0.6996
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	25319167	64685914	23598	0.0036
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	64688825	64689092	2	-1.6866
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	64689632	72329532	5174	0.0073
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	72331180	72344159	18	0.4167
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	72345255	75585159	1935	0.0142
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	75589078	75589169	2	-2.6941
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	75593824	94021798	11987	0.0034
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	94021870	94022770	2	-3.0634
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	94022842	105470754	7036	0.0031
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	105476583	105479753	17	-1.9841
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	105481433	109690415	2639	0.0094
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	109690431	109697556	11	0.7062
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	109702376	152784298	9782	0.0137
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	152784330	152804279	42	0.4249
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	152805967	165422145	8307	0.0001
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	165422714	165423392	3	-1.2202
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	165424608	175921494	7326	0.0068
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	175922486	175931669	12	0.5797
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	175934051	189679027	9085	0.0023
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	189679353	189679397	2	-1.6874
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	189682917	196762956	4741	0.0077
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	196769493	196792690	36	-0.5327
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	196798282	248463321	35653	0.007
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	248463796	248477891	6	-0.8457
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	1	248520099	248930189	188	0.0765
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	12784	41011478	28948	0.0141
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	41011533	41018747	17	-0.7949
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	41024093	52516787	8180	0.0087
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	52527330	52554404	40	0.745
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	52560811	146104517	53270	0.0091
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	146106836	146120827	26	0.6732
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	2	146120842	242147305	59079	0.0074
e178a83b-ee95-4ea4-a61a-e51bfddb87e6	3	20930	37941181	27637	0.013
