GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9a553b6e-91d4-43fd-9042-a78124bbd000	1	62920	3301765	738	0.0774
9a553b6e-91d4-43fd-9042-a78124bbd000	1	3302046	12778601	5754	0.007
9a553b6e-91d4-43fd-9042-a78124bbd000	1	12779433	12832455	26	0.185
9a553b6e-91d4-43fd-9042-a78124bbd000	1	12850124	13326062	16	0.5987
9a553b6e-91d4-43fd-9042-a78124bbd000	1	13338980	16785682	2167	0.0031
9a553b6e-91d4-43fd-9042-a78124bbd000	1	16787932	16935752	58	0.5165
9a553b6e-91d4-43fd-9042-a78124bbd000	1	16949746	21820584	3252	-0.0007
9a553b6e-91d4-43fd-9042-a78124bbd000	1	21820786	21825701	3	0.9035
9a553b6e-91d4-43fd-9042-a78124bbd000	1	21833618	22001786	90	-0.0125
9a553b6e-91d4-43fd-9042-a78124bbd000	1	22002025	22010750	3	-1.3795
9a553b6e-91d4-43fd-9042-a78124bbd000	1	22011632	22323501	229	0.0222
9a553b6e-91d4-43fd-9042-a78124bbd000	1	22327057	22332234	4	0.6906
9a553b6e-91d4-43fd-9042-a78124bbd000	1	22338281	25256850	1681	-0.0007
9a553b6e-91d4-43fd-9042-a78124bbd000	1	25266637	25320455	24	-1.462
9a553b6e-91d4-43fd-9042-a78124bbd000	1	25336819	61647430	21423	0.0013
9a553b6e-91d4-43fd-9042-a78124bbd000	1	61648334	61652515	3	-2.0375
9a553b6e-91d4-43fd-9042-a78124bbd000	1	61654137	72302815	7289	0.0094
9a553b6e-91d4-43fd-9042-a78124bbd000	1	72303233	72345450	45	-1.2534
9a553b6e-91d4-43fd-9042-a78124bbd000	1	72345465	103620877	19996	0.0062
9a553b6e-91d4-43fd-9042-a78124bbd000	1	103621165	103760781	6	1.2499
9a553b6e-91d4-43fd-9042-a78124bbd000	1	103760879	109684893	3568	-0.0008
9a553b6e-91d4-43fd-9042-a78124bbd000	1	109690352	109697556	12	1.317
9a553b6e-91d4-43fd-9042-a78124bbd000	1	109702376	112153465	1950	0.0071
9a553b6e-91d4-43fd-9042-a78124bbd000	1	112153571	112163440	26	-0.3409
9a553b6e-91d4-43fd-9042-a78124bbd000	1	112163460	152583051	7601	0.0163
9a553b6e-91d4-43fd-9042-a78124bbd000	1	152583230	152614064	33	0.3204
9a553b6e-91d4-43fd-9042-a78124bbd000	1	152614100	152789447	169	-0.0101
9a553b6e-91d4-43fd-9042-a78124bbd000	1	152789463	152796224	36	-1.4244
9a553b6e-91d4-43fd-9042-a78124bbd000	1	152801429	193186662	27028	0.0036
9a553b6e-91d4-43fd-9042-a78124bbd000	1	193187149	193187202	3	-1.3344
9a553b6e-91d4-43fd-9042-a78124bbd000	1	193187218	196761905	2393	-0.0016
9a553b6e-91d4-43fd-9042-a78124bbd000	1	196762480	196762956	2	-1.5495
9a553b6e-91d4-43fd-9042-a78124bbd000	1	196769493	196854586	61	0.3702
9a553b6e-91d4-43fd-9042-a78124bbd000	1	196854706	248930189	35784	0.0065
9a553b6e-91d4-43fd-9042-a78124bbd000	2	12784	4152855	2983	0.0215
9a553b6e-91d4-43fd-9042-a78124bbd000	2	4153079	4175113	39	0.436
9a553b6e-91d4-43fd-9042-a78124bbd000	2	4175577	34466002	21051	0.0065
9a553b6e-91d4-43fd-9042-a78124bbd000	2	34474248	34511990	46	0.7379
9a553b6e-91d4-43fd-9042-a78124bbd000	2	34512096	86710564	34919	0.013
9a553b6e-91d4-43fd-9042-a78124bbd000	2	86725947	86726731	2	-2.2388
9a553b6e-91d4-43fd-9042-a78124bbd000	2	86743283	88960188	760	0.0096
9a553b6e-91d4-43fd-9042-a78124bbd000	2	88960628	92005257	284	0.1266
9a553b6e-91d4-43fd-9042-a78124bbd000	2	92060082	106258193	6456	0.0096
9a553b6e-91d4-43fd-9042-a78124bbd000	2	106258266	106270952	15	0.5411
9a553b6e-91d4-43fd-9042-a78124bbd000	2	106271414	128880904	13378	0.0063
9a553b6e-91d4-43fd-9042-a78124bbd000	2	128880928	128882741	14	-1.0543
9a553b6e-91d4-43fd-9042-a78124bbd000	2	128882755	146106875	10407	0.0102
9a553b6e-91d4-43fd-9042-a78124bbd000	2	146106889	146109366	21	-1.731
9a553b6e-91d4-43fd-9042-a78124bbd000	2	146120238	150174288	2264	0.0004
9a553b6e-91d4-43fd-9042-a78124bbd000	2	150174937	150181218	5	-1.0533
9a553b6e-91d4-43fd-9042-a78124bbd000	2	150182694	154033296	2613	0.0053
9a553b6e-91d4-43fd-9042-a78124bbd000	2	154039462	154039969	2	-1.9394
9a553b6e-91d4-43fd-9042-a78124bbd000	2	154043710	159102108	2897	0.0068
9a553b6e-91d4-43fd-9042-a78124bbd000	2	159103831	159104461	2	2.281
9a553b6e-91d4-43fd-9042-a78124bbd000	2	159106775	194122969	21202	0.0068
9a553b6e-91d4-43fd-9042-a78124bbd000	2	194123143	194124834	2	-1.2919
9a553b6e-91d4-43fd-9042-a78124bbd000	2	194124876	242147305	30026	0.0072
9a553b6e-91d4-43fd-9042-a78124bbd000	3	20930	26384700	19864	0.0125
9a553b6e-91d4-43fd-9042-a78124bbd000	3	26392633	26397852	5	-1.2261
9a553b6e-91d4-43fd-9042-a78124bbd000	3	26404482	29391608	2038	0.0005
9a553b6e-91d4-43fd-9042-a78124bbd000	3	29395914	29397082	6	-0.7567
9a553b6e-91d4-43fd-9042-a78124bbd000	3	29397969	52989195	13765	0.0044
9a553b6e-91d4-43fd-9042-a78124bbd000	3	52994359	53005100	37	-0.7052
9a553b6e-91d4-43fd-9042-a78124bbd000	3	53005201	59659466	4461	0.0053
9a553b6e-91d4-43fd-9042-a78124bbd000	3	59661597	60950040	1483	0.0523
9a553b6e-91d4-43fd-9042-a78124bbd000	3	60951377	65211623	3623	0.0062
9a553b6e-91d4-43fd-9042-a78124bbd000	3	65211639	65224777	34	0.344
9a553b6e-91d4-43fd-9042-a78124bbd000	3	65230674	68697013	2423	-0.0039
9a553b6e-91d4-43fd-9042-a78124bbd000	3	68697108	68698262	14	1.4195
9a553b6e-91d4-43fd-9042-a78124bbd000	3	68699607	75499583	4920	0.0054
9a553b6e-91d4-43fd-9042-a78124bbd000	3	75500567	75547095	14	0.5981
9a553b6e-91d4-43fd-9042-a78124bbd000	3	75559488	84053071	4661	0.0066
9a553b6e-91d4-43fd-9042-a78124bbd000	3	84056282	84057015	2	-3.577
9a553b6e-91d4-43fd-9042-a78124bbd000	3	84061816	99225614	6288	0.0013
9a553b6e-91d4-43fd-9042-a78124bbd000	3	99225632	99232990	40	0.3036
9a553b6e-91d4-43fd-9042-a78124bbd000	3	99233548	143566923	27081	0.0037
9a553b6e-91d4-43fd-9042-a78124bbd000	3	143566958	143567132	4	1.0039
9a553b6e-91d4-43fd-9042-a78124bbd000	3	143567959	162822702	11907	0.0053
9a553b6e-91d4-43fd-9042-a78124bbd000	3	162827928	162908207	48	-0.3697
9a553b6e-91d4-43fd-9042-a78124bbd000	3	162908784	162996729	72	0.0704
9a553b6e-91d4-43fd-9042-a78124bbd000	3	162999939	163001774	2	1.5448
