GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	62920	462894	19	0.4893
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	599171	2342007	399	-0.0283
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	2348984	2438059	43	-0.3084
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	2461209	3043846	173	-0.0051
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	3043940	3274375	89	-0.2005
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	3274912	16864367	7965	0.0003
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	16868660	16956580	57	-0.4115
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	16958425	25256850	5253	-0.0076
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	25266637	25336819	25	0.6108
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	25336853	30251780	2371	-0.0008
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	30253727	30264526	10	-0.6136
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	30265508	37433067	4073	-0.0024
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	37434572	37434814	2	-1.6526
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	37436534	72302815	22235	0.0126
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	72303233	72345465	46	0.4113
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	72346221	78897382	4114	0.0174
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	78902545	78985578	40	0.2734
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	78991263	90090349	7428	0.0194
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	90090592	90091422	2	-1.614
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	90093659	90766190	460	0.0176
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	90769886	90769932	2	-1.7806
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	90770021	94986370	2658	0.0132
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	94986940	94987030	2	-1.6491
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	94987718	103510026	5270	0.0156
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	103515125	103616762	39	0.3603
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	103620877	105476583	923	0.0159
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	105476614	105479753	16	-1.7044
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	105481433	109684893	2636	0.0157
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	109690352	109692006	10	1.054
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	109696900	143734438	7223	0.0151
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	143748012	143811517	24	0.5303
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	143890323	152575425	2301	0.0169
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	152575461	152614064	49	0.372
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	152614100	152787202	168	-0.0059
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	152789447	152796224	37	0.6487
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	152801429	174827267	14786	0.0152
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	174827418	174832716	17	-0.679
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	174832734	189679027	9890	0.0157
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	189679353	189679397	2	-1.4919
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	189682917	196745743	4733	0.0295
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	196758720	196762956	4	-2.0091
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	196769493	196843377	55	0.1706
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	196843400	196846661	2	1.7709
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	196847600	196926551	60	0.1281
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	196926717	248029809	35261	0.0191
f82ca804-42a4-44bf-9dab-cc518a0f2562	1	248032111	248930189	437	0.1092
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	12784	4158097	2983	0.0076
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	4166274	4182472	43	-0.5659
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	4187192	86250186	55741	0.0104
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	86250341	86251506	2	-1.9661
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	86251857	146104517	31558	0.0177
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	146106836	146109366	24	0.6914
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	146120238	163780342	10576	0.0181
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	163786978	163788616	5	-1.1651
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	163790132	179548644	9883	0.0183
f82ca804-42a4-44bf-9dab-cc518a0f2562	2	179553484	179556770	22	-0.9026
