GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
ca79024e-921f-4565-85eb-bbe47975af71	chr1	13116	263722	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	281912	2304217	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	2305258	2361727	2	1	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	2363405	7892344	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	7893386	9474992	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	9476438	16679951	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	16685746	16941432	4	3	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	16943497	83718376	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	83719893	91099077	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	91100900	93070804	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	93071870	95107004	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	95108281	107397486	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	107398561	118140398	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	118141888	118806210	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	118808293	121619151	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	121620345	121742438	1	1	0
ca79024e-921f-4565-85eb-bbe47975af71	chr1	143417573	151768977	7	5	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	151770018	152090274	8	6	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	152093390	153174856	7	5	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	153175926	153609591	9	7	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	153611510	154312418	11	9	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	154313885	156111681	9	7	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	156113260	163459017	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	163460180	167044658	5	3	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	167045947	170065277	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	170066790	171075842	7	5	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	171077290	175093364	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	175094435	175202532	7	4	3
ca79024e-921f-4565-85eb-bbe47975af71	chr1	175203803	176004845	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	176006983	193532293	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	193533479	197011530	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	197013024	204305128	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	204306470	207794374	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	207796674	207859031	8	5	3
ca79024e-921f-4565-85eb-bbe47975af71	chr1	207860361	212537516	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	212538533	212556035	7	5	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	212557080	217188277	6	4	2
ca79024e-921f-4565-85eb-bbe47975af71	chr1	217189306	235318892	5	4	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	235319986	243327424	4	3	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	243329265	245331403	6	5	1
ca79024e-921f-4565-85eb-bbe47975af71	chr1	245332617	248945703	4	3	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	10587	43701314	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	43702844	46673357	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	46674424	47758281	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	47759841	51131415	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	51133353	54316997	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	54318456	86895991	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	86899127	87959070	4	3	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	87961263	111780670	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	111781807	111803015	1	1	0
ca79024e-921f-4565-85eb-bbe47975af71	chr2	111806849	160747318	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	160748333	160866368	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	160868164	167333889	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	167335570	167461717	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	167463948	190799044	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	190800063	191337221	5	3	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	191338338	205684192	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	205685413	205733009	5	3	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	205734704	208487725	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	208488833	209269940	3	2	1
ca79024e-921f-4565-85eb-bbe47975af71	chr2	209271349	217133102	4	2	2
ca79024e-921f-4565-85eb-bbe47975af71	chr2	217134145	242183243	2	2	0
ca79024e-921f-4565-85eb-bbe47975af71	chr3	18519	3668868	4	2	2
