GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	62920	259422	15	-0.7265
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	259926	2066166	334	-0.0102
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	2083241	3203165	343	-0.143
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	3207177	16855942	8005	-0.008
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	16863509	16935752	55	-0.6854
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	16949746	34625993	10235	-0.0171
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	34626037	34650960	25	-0.4923
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	34652324	72303233	23742	-0.0042
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	72303253	72345465	45	-1.0417
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	72346221	81422771	5772	0.0007
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	81422917	81422920	2	1.5638
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	81422982	105470754	15153	-0.0065
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	105476583	105479753	17	0.6111
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	105481433	109684893	2633	-0.0077
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	109690352	109702376	14	1.1836
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	109703504	112153465	1952	-0.0086
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	112153571	112163460	27	0.4099
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	112163496	121601998	5146	-0.0192
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	121705338	144432083	130	-0.7088
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	144432313	195375108	31067	0.0176
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	195378610	195396646	15	0.5524
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	195396767	196740630	884	0.0158
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	196741937	196843377	63	0.3233
880ba01c-6344-401a-b1e7-346ab9b7cb7c	1	196843400	248930189	35793	0.0182
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	12784	4158097	2984	-0.0191
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	4166274	4176429	42	-0.6038
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	4182472	34295406	20946	0.0051
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	34298911	34300513	2	-1.6275
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	34300900	52527743	13144	0.0099
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	52531615	52554259	28	0.5018
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	52554274	86710564	21893	0.0086
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	86725947	86726731	2	-2.289
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	86743283	87489240	163	-0.0662
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	87489506	87528459	11	-0.9387
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	87542032	97128607	1702	-0.0222
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	97130080	97657168	92	-0.2357
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	97658064	154033296	34247	0.0054
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	154039462	154039969	2	-2.6117
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	154043710	207490231	32033	0.0142
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	207490454	207494612	16	-0.8409
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	207494752	212297443	3009	0.0073
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	212297575	212305296	14	0.5028
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	212306535	241973315	18911	-0.0015
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	241973401	242092368	102	-0.8468
880ba01c-6344-401a-b1e7-346ab9b7cb7c	2	242095460	242147305	24	-0.1081
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	20930	16197556	12879	0.0039
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	16199049	16199672	6	-2.4527
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	16199818	68697013	34857	0.0059
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	68697108	68699607	15	-0.7611
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	68699635	149245189	46553	-0.0051
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	149245608	149250334	25	-0.8146
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	149253293	161053331	7202	-0.0051
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	161056456	161060410	6	-0.9274
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	161061806	162790480	1110	0.0084
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	162794869	162908207	70	0.4609
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	162908784	187877506	15330	-0.007
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	187877590	187877925	2	1.5291
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	187877952	189642965	1324	-0.0048
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	189645889	189646849	11	-0.8543
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	189653199	193162798	2494	0.0073
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	193162937	193163053	3	-1.4467
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	193164615	195695418	1497	-0.0112
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	195695420	195737995	34	0.4321
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	195746925	195791789	16	-0.348
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	195792101	198111342	1133	-0.0223
880ba01c-6344-401a-b1e7-346ab9b7cb7c	3	198111467	198169247	19	-0.3636
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	68929	4164791	1634	-0.0488
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	4165256	4165270	2	-2.2976
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	4165406	5308576	887	0.0031
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	5308694	5319207	6	-0.9894
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	5321568	9455251	2625	-0.0199
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	9459504	9575821	30	-0.3998
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	9577703	10212536	516	-0.0009
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	10221792	10232984	31	0.4455
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	10233383	10388498	174	-0.0341
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	10389091	10399044	17	-0.5066
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	10401094	25961519	11286	0.0016
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	25967872	25980331	16	-0.8825
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	25983997	30064714	2661	0.0039
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	30065230	30072810	6	-0.9384
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	30074439	34777432	2797	-0.0073
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	34784878	34828327	42	0.3628
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	34828382	49087357	8947	0.0038
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	49091769	49146817	5	-1.1181
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	49146905	68418873	10463	0.002
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	68422420	68422424	3	-1.5538
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	68429081	68509237	14	0.1504
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	68509442	68774516	97	-0.2436
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	68774861	69257792	279	0.0019
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	69261926	69366406	56	-0.3035
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	69370433	103823578	20993	0.0011
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	103823914	103830480	8	0.8244
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	103830487	107150362	1873	-0.0004
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	107150455	107150731	3	1.1979
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	107152350	114254167	4417	-0.0012
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	114254188	114263110	25	0.5676
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	114263154	160959045	27942	0.005
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	160959151	160963448	16	-0.668
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	160963756	171453876	6662	0.0059
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	171455823	171456559	7	0.9072
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	171456573	172066777	398	-0.0301
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	172067997	172068382	12	0.9555
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	172074828	185474865	8959	0.0003
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	185477075	185500412	16	-0.8929
880ba01c-6344-401a-b1e7-346ab9b7cb7c	4	185500570	190106768	3093	-0.001
880ba01c-6344-401a-b1e7-346ab9b7cb7c	5	15532	896700	371	-0.1396
880ba01c-6344-401a-b1e7-346ab9b7cb7c	5	905586	908425	3	-1.5295
880ba01c-6344-401a-b1e7-346ab9b7cb7c	5	913276	1262498	151	-0.1208
880ba01c-6344-401a-b1e7-346ab9b7cb7c	5	1262548	12819201	9660	-0.0021
880ba01c-6344-401a-b1e7-346ab9b7cb7c	5	12819263	12838421	11	-1.1237
880ba01c-6344-401a-b1e7-346ab9b7cb7c	5	12849089	58025819	25524	0.0027
