GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	62920	98602	13	-0.9246
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	259407	1696979	199	0.1523
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	1710664	1741164	14	1.1079
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	1756148	12832455	6283	0.0697
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	12850124	12855993	5	0.9079
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	12867264	15253283	1483	0.0701
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	15253348	15257140	2	-1.2993
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	15258558	16525019	635	0.0818
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	16542868	16637050	17	-0.367
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	16637228	16767571	31	-0.0308
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	16773735	16935752	64	-0.4039
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	16949746	25266637	5258	0.0776
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	25269390	25320455	23	0.9741
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	25336819	27049799	729	0.0622
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	27051821	32783791	2990	-0.192
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	32783895	42885165	5845	0.1001
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	42886039	43088640	151	0.3596
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	43088980	43762345	407	-0.1928
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	43765214	44037956	152	0.0982
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	44042101	44247565	101	0.4763
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	44251149	56545989	7137	0.0883
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	56545994	56547526	2	-1.441
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	56547944	69485326	9495	0.0838
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	69485782	69486105	2	-1.2481
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	69494453	72303233	1701	0.0774
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	72303253	72345465	45	-1.4606
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	72346221	97338038	16158	0.0764
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	97338168	105470754	4776	-0.186
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	105476583	105479753	17	0.8078
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	105481433	121148007	9688	-0.1934
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	121154942	121601998	85	0.1228
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	121705338	143710767	88	-0.7461
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	143710781	143713930	6	-0.033
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	143714499	143751380	13	-0.8193
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	143751625	145670653	42	-0.267
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	145674253	152789447	2494	0.0836
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	152789463	152795783	31	0.4907
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	152795805	155904777	1660	0.0671
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	155907238	156305490	159	0.3231
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	156305517	156476088	81	0.1522
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	156477597	156869617	189	0.318
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	156870576	184488024	19346	0.0754
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	184493560	184659436	107	0.3123
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	184659811	187746723	1945	0.074
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	187748429	187752238	2	-1.7541
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	187755479	196761905	5959	0.0779
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	196762480	196762956	2	-1.5597
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	196769493	211339433	9828	0.0873
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	211341471	211605708	169	0.3171
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	211606105	220588265	6288	0.0717
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	220589182	220589568	2	-2.0939
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	220592537	220695102	47	0.043
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	220695166	220705910	2	-1.4548
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	220706275	234423220	9264	0.081
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	234423651	234833464	337	0.4047
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	234836331	235948144	590	0.0681
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	235953125	236186000	169	0.2265
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	236186069	248446755	8951	0.068
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	248447206	248546369	24	0.4673
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	248550567	248574146	3	-0.1477
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	248585893	248645563	33	-0.5839
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	248645808	248687302	21	0.3191
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	248691660	248714098	21	-0.3615
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	1	248715146	248930189	97	0.0789
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	12784	30777696	21658	-0.1953
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	30777777	30910535	99	0.1024
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	30911073	32501246	837	-0.1847
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	32505822	32526621	12	-0.0306
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	32526991	32733141	103	1.2004
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	32737757	33537896	611	0.6589
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	33540701	33543045	2	-0.6586
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	33545200	33746549	142	0.6517
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	33748954	34466002	590	0.2747
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	34474248	34515572	50	0.9558
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	34515690	34800403	205	0.2617
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	34800737	34803142	3	-0.9282
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	34809665	52527590	12791	0.3031
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	52527727	52554157	27	1.0647
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	52554188	53605415	879	0.292
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	53607930	86901078	21096	0.0694
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	86902080	86934730	3	-1.6815
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	86945604	87082140	11	-0.2615
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	87082711	106263639	7423	0.0612
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	106264257	106270799	12	-1.5953
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	106270952	113604438	3779	0.0548
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	113604837	113632200	7	-1.1101
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	113638792	122719438	5698	0.0754
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	122722323	122724665	8	-0.6807
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	122726077	128880504	3887	0.0608
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	128880904	128882723	14	0.684
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	128882741	146107615	10412	0.0631
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	146107675	146120842	19	1.2195
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	146120874	169635147	14212	0.0798
ec5e9622-939a-4afe-b60b-e9c18ddbe6b1	2	169635268	169819575	115	0.2783
